Date,BSOFT
2002-07-01,2.6832385063171387
2002-07-02,2.6832385063171387
2002-07-03,2.7752790451049805
2002-07-04,2.7518792152404785
2002-07-05,2.7237985134124756
2002-07-08,2.6988391876220703
2002-07-09,2.6364381313323975
2002-07-10,2.4929161071777344
2002-07-11,2.4305148124694824
2002-07-12,2.408674716949463
2002-07-15,2.2932326793670654
2002-07-16,2.2729523181915283
2002-07-17,2.2011914253234863
2002-07-18,2.3135125637054443
2002-07-19,2.2214720249176025
2002-07-22,2.0607893466949463
2002-07-23,1.7877854108810425
2002-07-24,1.779986023902893
2002-07-25,1.7643852233886719
2002-07-26,1.603703498840332
2002-07-29,1.4461402893066406
2002-07-30,1.2838984727859497
2002-07-31,1.2121376991271973
2002-08-01,1.2495774030685425
2002-08-02,1.2901382446289062
2002-08-05,1.3478587865829468
2002-08-06,1.3712599277496338
2002-08-07,1.6458234786987305
2002-08-08,1.5912224054336548
2002-08-09,1.820546269416809
2002-08-12,1.8486264944076538
2002-08-13,1.974988341331482
2002-08-14,1.8751468658447266
2002-08-15,1.8751468658447266
2002-08-16,1.942228078842163
2002-08-19,1.9453481435775757
2002-08-20,2.0467498302459717
2002-08-21,2.0405092239379883
2002-08-22,1.9921486377716064
2002-08-23,1.9812281131744385
2002-08-26,1.9905891418457031
2002-08-27,1.9001076221466064
2002-08-28,1.8751468658447266
2002-08-29,1.8876272439956665
2002-08-30,1.9515880346298218
2002-09-02,1.9625083208084106
2002-09-03,1.8798271417617798
2002-09-04,1.932867407798767
2002-09-05,1.9313076734542847
2002-09-06,1.8236663341522217
2002-09-09,1.8143055438995361
2002-09-10,1.8143055438995361
2002-09-11,1.8439465761184692
2002-09-12,1.890746831893921
2002-09-13,1.822106122970581
2002-09-16,1.800266146659851
2002-09-17,2.140350341796875
2002-09-18,2.0863819122314453
2002-09-19,1.9819802045822144
2002-09-20,2.237185478210449
2002-09-23,2.429417133331299
2002-09-24,2.281928300857544
2002-09-25,2.3283300399780273
2002-09-26,2.3681020736694336
2002-09-27,2.560333728790283
2002-09-30,2.427760362625122
2002-10-01,2.265357255935669
2002-10-02,2.265357255935669
2002-10-03,2.3067870140075684
2002-10-04,2.3482160568237305
2002-10-07,2.4377026557922363
2002-10-08,2.5288479328155518
2002-10-09,2.409531593322754
2002-10-10,2.4410176277160645
2002-10-11,2.638221263885498
2002-10-14,2.6581075191497803
2002-10-15,2.6581075191497803
2002-10-16,2.643192768096924
2002-10-17,2.6879355907440186
2002-10-18,2.6216490268707275
2002-10-21,2.500675678253174
2002-10-22,2.3913025856018066
2002-10-23,2.3962738513946533
2002-10-24,2.409531593322754
2002-10-25,2.3183865547180176
2002-10-28,2.232213258743286
2002-10-29,2.4111886024475098
2002-10-30,2.4410176277160645
2002-10-31,2.512275457382202
2002-11-01,2.4211318492889404
2002-11-04,2.434389352798462
2002-11-05,2.3962738513946533
2002-11-06,2.3962738513946533
2002-11-07,2.401245355606079
2002-11-08,2.409531593322754
2002-11-11,2.371415853500366
2002-11-12,2.3813586235046387
2002-11-13,2.384674310684204
2002-11-14,2.475818634033203
2002-11-15,2.5520479679107666
2002-11-18,2.6001060009002686
2002-11-19,2.6001060009002686
2002-11-20,2.535475969314575
2002-11-21,2.5139331817626953
2002-11-22,2.5089614391326904
2002-11-25,2.5967929363250732
2002-11-26,2.6713647842407227
2002-11-27,2.583534002304077
2002-11-28,2.643192768096924
2002-11-29,2.8254828453063965
2002-12-02,2.8354241847991943
2002-12-03,2.663079023361206
2002-12-04,2.512275457382202
2002-12-05,2.593477487564087
2002-12-06,2.673022508621216
2002-12-09,2.5719339847564697
2002-12-10,2.7243943214416504
2002-12-11,2.875197410583496
2002-12-12,2.779081344604492
2002-12-13,2.856968402862549
2002-12-16,2.706165075302124
2002-12-17,2.6017627716064453
2002-12-18,2.7045085430145264
2002-12-19,2.9481120109558105
2002-12-20,2.9050261974334717
2002-12-23,2.8188533782958984
2002-12-24,2.900054693222046
2002-12-25,2.900054693222046
2002-12-26,2.8669116497039795
2002-12-27,2.7873668670654297
2002-12-30,2.856968402862549
2002-12-31,2.8387393951416016
2003-01-01,2.851996898651123
2003-01-02,2.76250958442688
2003-01-03,2.7906808853149414
