Date,ASTERDM
2018-02-26,137.11520385742188
2018-02-27,132.31939697265625
2018-02-28,130.73338317871094
2018-03-01,130.3557586669922
2018-03-05,128.54315185546875
2018-03-06,128.5809326171875
2018-03-07,124.65363311767578
2018-03-08,124.31377410888672
2018-03-09,118.8759765625
2018-03-12,109.77525329589844
2018-03-13,109.20880889892578
2018-03-14,113.36268615722656
2018-03-15,115.43961334228516
2018-03-16,115.0619888305664
2018-03-19,121.10396575927734
2018-03-20,127.78790283203125
2018-03-21,131.75296020507812
2018-03-22,128.5809326171875
2018-03-23,128.80747985839844
2018-03-26,126.27740478515625
2018-03-27,123.89839172363281
2018-03-28,128.2410430908203
2018-04-02,126.2396469116211
2018-04-03,127.25922393798828
2018-04-04,126.76831817626953
2018-04-05,131.3753204345703
2018-04-06,131.63966369628906
2018-04-09,130.50677490234375
2018-04-10,129.7137908935547
2018-04-11,129.562744140625
2018-04-12,127.25922393798828
2018-04-13,126.39070129394531
2018-04-16,126.99488067626953
2018-04-17,125.71096801757812
2018-04-18,124.35151672363281
2018-04-19,128.01446533203125
2018-04-20,125.71096801757812
2018-04-23,125.48439025878906
2018-04-24,128.54315185546875
2018-04-25,127.37252044677734
2018-04-26,126.31517028808594
2018-04-27,129.10958862304688
2018-04-30,128.80747985839844
2018-05-02,126.16412353515625
2018-05-03,125.55992126464844
2018-05-04,130.3179931640625
2018-05-07,135.0005340576172
2018-05-08,142.02432250976562
2018-05-09,144.96978759765625
2018-05-10,141.4578857421875
2018-05-11,138.51242065429688
2018-05-14,137.19073486328125
2018-05-15,137.37953186035156
2018-05-16,139.45648193359375
2018-05-17,141.5711669921875
2018-05-18,141.94879150390625
2018-05-21,142.02432250976562
2018-05-22,135.79351806640625
2018-05-23,133.6788330078125
2018-05-24,135.64248657226562
2018-05-25,136.35997009277344
2018-05-28,135.75576782226562
2018-05-29,135.60472106933594
2018-05-30,135.26486206054688
2018-05-31,131.86624145507812
2018-06-01,134.32081604003906
2018-06-04,134.32081604003906
2018-06-05,132.2061004638672
2018-06-06,133.75437927246094
2018-06-07,136.171142578125
2018-06-08,135.86904907226562
2018-06-11,139.22991943359375
2018-06-12,141.15577697753906
2018-06-13,140.1361846923828
2018-06-14,140.85369873046875
2018-06-15,141.1180419921875
2018-06-18,135.52919006347656
2018-06-19,134.35855102539062
2018-06-20,132.2816162109375
2018-06-21,131.4130859375
2018-06-22,131.1110076904297
2018-06-25,129.29840087890625
2018-06-26,124.27601623535156
2018-06-27,120.99066162109375
2018-06-28,120.7263412475586
2018-06-29,122.91654968261719
2018-07-02,126.73056030273438
2018-07-03,127.25922393798828
2018-07-04,128.27880859375
2018-07-05,127.59909057617188
2018-07-06,126.16412353515625
2018-07-09,127.97669982910156
2018-07-10,129.44944763183594
2018-07-11,126.95713806152344
2018-07-12,124.88019561767578
2018-07-13,125.71096801757812
2018-07-16,123.59626770019531
