Date,JKCEMENT
2006-03-14,115.3255615234375
2006-03-16,112.06233215332031
2006-03-17,113.32312774658203
2006-03-20,113.54561614990234
2006-03-21,112.0993881225586
2006-03-22,112.76688385009766
2006-03-23,113.61975860595703
2006-03-24,115.06598663330078
2006-03-27,120.36873626708984
2006-03-28,120.85081481933594
2006-03-29,121.70372009277344
2006-03-30,123.1869888305664
2006-03-31,130.0101318359375
2006-04-03,130.1955108642578
2006-04-04,129.71343994140625
2006-04-05,131.75294494628906
2006-04-07,130.23260498046875
2006-04-10,136.31407165527344
2006-04-12,131.67881774902344
2006-04-13,128.26722717285156
2006-04-17,132.34628295898438
2006-04-18,133.458740234375
2006-04-19,134.126220703125
2006-04-20,136.09156799316406
2006-04-21,135.79493713378906
2006-04-24,136.46240234375
2006-04-25,135.6466064453125
2006-04-26,142.76637268066406
2006-04-27,144.39794921875
2006-04-28,139.6885528564453
2006-05-02,145.1766815185547
2006-05-03,144.84298706054688
2006-05-04,145.58460998535156
2006-05-05,145.43629455566406
2006-05-08,145.1396026611328
2006-05-09,144.17552185058594
2006-05-10,139.50311279296875
2006-05-11,139.9481201171875
2006-05-12,137.0557098388672
2006-05-15,129.6763916015625
2006-05-16,130.9371795654297
2006-05-17,133.82952880859375
2006-05-18,125.81982421875
2006-05-19,123.81737518310547
2006-05-22,110.4306869506836
2006-05-23,114.88057708740234
2006-05-24,118.44043731689453
2006-05-25,122.37117004394531
2006-05-26,117.73589324951172
2006-05-29,116.28971099853516
2006-05-30,113.17478942871094
2006-05-31,105.49878692626953
2006-06-01,103.83006286621094
2006-06-02,100.67810821533203
2006-06-05,104.75714111328125
2006-06-06,100.04769134521484
2006-06-07,88.66349029541016
2006-06-08,82.69324493408203
2006-06-09,89.66468811035156
2006-06-12,88.47808074951172
2006-06-13,83.02698516845703
2006-06-14,88.0701675415039
2006-06-15,88.5522232055664
2006-06-16,98.49026489257812
2006-06-19,106.09211730957031
2006-06-20,107.2045669555664
2006-06-21,115.28848266601562
2006-06-22,118.92255401611328
2006-06-23,118.18090057373047
2006-06-26,109.61490631103516
2006-06-27,106.64832305908203
2006-06-28,103.31094360351562
2006-06-29,104.08966827392578
2006-06-30,106.24043273925781
2006-07-03,103.53343200683594
2006-07-04,105.23918914794922
2006-07-05,104.8313217163086
2006-07-06,102.60636901855469
2006-07-07,105.35044860839844
2006-07-10,107.5012435913086
2006-07-11,108.39118957519531
2006-07-12,111.6544189453125
2006-07-13,108.91035461425781
2006-07-14,106.31461334228516
2006-07-17,106.4629135131836
2006-07-18,101.82766723632812
2006-07-19,104.52705383300781
2006-07-20,105.31437683105469
2006-07-21,102.3900375366211
2006-07-24,101.15279388427734
2006-07-25,102.24006652832031
2006-07-26,106.06421661376953
2006-07-27,111.65045928955078
2006-07-28,113.1876449584961
2006-07-31,114.94976806640625
2006-08-01,114.57485961914062
2006-08-02,116.78684997558594
2006-08-03,115.9995346069336
2006-08-04,114.72481536865234
2006-08-07,118.54896545410156
2006-08-08,122.07319641113281
2006-08-09,122.56058502197266
2006-08-10,123.68537902832031
2006-08-11,123.04801177978516
