Date,MHRIL
2009-07-16,126.30372619628906
2009-07-17,138.5780029296875
2009-07-20,141.9400177001953
2009-07-21,140.22918701171875
2009-07-22,139.47323608398438
2009-07-23,144.76487731933594
2009-07-24,150.5538787841797
2009-07-27,154.2142791748047
2009-07-28,152.3442840576172
2009-07-29,145.9385986328125
2009-07-30,143.2728729248047
2009-07-31,142.45724487304688
2009-08-03,136.74778747558594
2009-08-04,136.2703857421875
2009-08-05,139.13502502441406
2009-08-06,138.8565216064453
2009-08-07,136.131103515625
2009-08-10,133.34600830078125
2009-08-11,135.35525512695312
2009-08-12,131.87388610839844
2009-08-13,137.5435333251953
2009-08-14,134.4600372314453
2009-08-17,129.6060333251953
2009-08-18,131.29701232910156
2009-08-19,128.5914764404297
2009-08-20,130.24261474609375
2009-08-21,128.96945190429688
2009-08-24,138.71725463867188
2009-08-25,134.73855590820312
2009-08-26,134.7186737060547
2009-08-27,135.8127899169922
2009-08-28,134.4600372314453
2009-08-31,137.0661163330078
2009-09-01,133.16697692871094
2009-09-02,132.8486785888672
2009-09-03,131.893798828125
2009-09-04,132.57017517089844
2009-09-07,135.41493225097656
2009-09-08,134.95738220214844
2009-09-09,132.6298370361328
2009-09-10,131.67495727539062
2009-09-11,130.04368591308594
2009-09-14,130.64051818847656
2009-09-15,134.8380126953125
2009-09-16,134.47996520996094
2009-09-17,132.3911590576172
2009-09-18,131.5755157470703
2009-09-22,130.5609588623047
2009-09-23,128.25326538085938
2009-09-24,129.3673095703125
2009-09-25,134.818115234375
2009-09-29,138.25970458984375
2009-09-30,140.01036071777344
2009-10-01,136.38973999023438
2009-10-05,133.26644897460938
2009-10-06,133.08740234375
2009-10-07,132.4508056640625
2009-10-08,135.93215942382812
2009-10-09,134.28103637695312
2009-10-12,137.3446044921875
2009-10-13,137.3446044921875
2009-10-14,136.86717224121094
2009-10-15,141.3631134033203
2009-10-16,139.57269287109375
2009-10-20,142.45724487304688
2009-10-21,139.81141662597656
2009-10-22,136.2703857421875
2009-10-23,139.55279541015625
2009-10-26,139.13502502441406
2009-10-27,133.30625915527344
2009-10-28,133.60464477539062
2009-10-29,135.7531280517578
2009-10-30,137.08599853515625
2009-11-03,132.55029296875
2009-11-04,138.33929443359375
2009-11-05,136.19078063964844
2009-11-06,136.1510009765625
2009-11-09,137.04617309570312
2009-11-10,137.30482482910156
2009-11-11,138.69735717773438
2009-11-12,141.50234985351562
2009-11-13,141.72119140625
2009-11-16,143.39222717285156
2009-11-17,145.46116638183594
2009-11-18,147.01284790039062
2009-11-19,146.13751220703125
2009-11-20,145.30201721191406
2009-11-23,144.66542053222656
2009-11-24,144.16807556152344
2009-11-25,147.4902801513672
2009-11-26,148.50485229492188
2009-11-27,144.24765014648438
2009-11-30,144.78477478027344
2009-12-01,149.45974731445312
2009-12-02,152.76206970214844
2009-12-03,153.37876892089844
2009-12-04,153.49810791015625
2009-12-07,153.6373748779297
2009-12-08,156.74075317382812
2009-12-09,155.58692932128906
2009-12-10,157.01922607421875
2009-12-11,158.3123321533203
2009-12-14,159.26724243164062
2009-12-15,157.99407958984375
2009-12-16,156.72085571289062
2009-12-17,169.09458923339844
2009-12-18,172.29745483398438
2009-12-21,177.23104858398438
2009-12-22,176.73370361328125
2009-12-23,182.9205780029297
2009-12-24,182.76141357421875
2009-12-29,181.289306640625
2009-12-30,181.80653381347656
