Date,CCL
2004-06-07,4.929207801818848
2004-06-08,5.08724308013916
2004-06-09,5.297957420349121
2004-06-10,5.154972076416016
2004-06-11,5.034565448760986
2004-06-14,4.850189208984375
2004-06-15,4.959310054779053
2004-06-16,4.8087992668151855
2004-06-17,4.7523579597473145
2004-06-18,4.744832515716553
2004-06-21,4.560457706451416
2004-06-22,4.6658148765563965
2004-06-23,4.616898536682129
2004-06-24,4.616898536682129
2004-06-25,4.7786970138549805
2004-06-28,4.857715606689453
2004-06-29,4.944257736206055
2004-06-30,4.643237113952637
2004-07-01,4.628187656402588
2004-07-02,4.6018476486206055
2004-07-05,4.63571310043335
2004-07-06,4.654526233673096
2004-07-07,4.695917129516602
2004-07-08,4.552931308746338
2004-07-09,4.733543872833252
2004-07-12,4.605610370635986
2004-07-13,4.590560436248779
2004-07-14,4.556694507598877
2004-07-15,4.620662212371826
2004-07-16,4.64700174331665
2004-07-19,4.662051677703857
2004-07-20,5.057139873504639
2004-07-21,5.328059673309326
2004-07-22,5.644132137298584
2004-07-23,5.6968092918396
2004-07-26,5.768300533294678
2004-07-27,5.512435436248779
2004-07-28,5.568875789642334
2004-07-29,5.64789342880249
2004-07-30,5.899997711181641
2004-08-02,5.715623378753662
2004-08-03,5.519958972930908
2004-08-04,5.659181594848633
2004-08-05,5.753251552581787
2004-08-06,5.576401710510254
2004-08-09,5.50867223739624
2004-08-10,5.568875789642334
2004-08-11,5.576401710510254
2004-08-12,5.519958972930908
2004-08-13,5.4597554206848145
2004-08-16,5.614028453826904
2004-08-17,5.715623378753662
2004-08-18,5.572638511657715
2004-08-19,6.016643524169922
2004-08-20,6.445596694946289
2004-08-23,6.024168491363525
2004-08-24,6.103187084197998
2004-08-25,5.994064807891846
2004-08-26,6.39668083190918
2004-08-27,6.182203769683838
2004-08-30,6.80305814743042
2004-08-31,7.104079723358154
2004-09-01,7.815243721008301
2004-09-02,8.206565856933594
2004-09-03,8.22537612915039
2004-09-06,8.639284133911133
2004-09-07,9.056946754455566
2004-09-08,8.70324993133545
2004-09-09,8.304397583007812
2004-09-10,8.564027786254883
2004-09-13,8.232901573181152
2004-09-14,8.646809577941895
2004-09-15,8.812370300292969
2004-09-16,9.256375312805176
2004-09-17,9.109624862670898
2004-09-20,8.929012298583984
2004-09-21,9.045660972595215
2004-09-22,9.105862617492676
2004-09-23,9.561158180236816
2004-09-24,9.662752151489258
2004-09-27,9.297765731811523
2004-09-28,9.214983940124512
2004-09-29,8.98169231414795
2004-09-30,9.124676704406738
2004-10-01,9.184883117675781
2004-10-04,9.643938064575195
2004-10-05,10.057839393615723
2004-10-06,9.91485595703125
2004-10-07,10.411538124084473
2004-10-08,10.934561729431152
2004-10-11,12.059627532958984
2004-10-12,11.882779121398926
2004-10-14,12.47729206085205
2004-10-15,13.101908683776855
2004-10-18,12.642854690551758
2004-10-19,12.767022132873535
2004-10-20,12.846040725708008
2004-10-21,12.789603233337402
2004-10-22,12.789603233337402
2004-10-25,12.30044174194336
2004-10-26,12.782073974609375
2004-10-27,13.154589653015137
2004-10-28,13.564727783203125
2004-10-29,13.989916801452637
2004-11-01,14.377486228942871
2004-11-02,14.486599922180176
2004-11-03,14.456502914428711
2004-11-04,13.929712295532227
2004-11-05,13.602355003356934
2004-11-08,13.335200309753418
2004-11-09,13.26370906829834
2004-11-10,13.929712295532227
2004-11-11,14.62958812713623
2004-11-12,14.584432601928711
2004-11-15,14.584432601928711
2004-11-16,15.178948402404785
2004-11-17,15.31440258026123
2004-11-18,15.555221557617188
2004-11-19,14.829012870788574
2004-11-22,14.625822067260742
2004-11-23,14.682269096374512
2004-11-24,14.43016242980957
2004-11-25,13.858222961425781
