Date,ROUTE
2020-09-21,617.916259765625
2020-09-22,658.6646728515625
2020-09-23,782.0013427734375
2020-09-24,857.2839965820312
2020-09-25,890.6798095703125
2020-09-28,872.5114135742188
2020-09-29,785.2744750976562
2020-09-30,765.3983154296875
2020-10-01,743.2925415039062
2020-10-05,784.9898071289062
2020-10-06,765.3035278320312
2020-10-07,744.3363037109375
2020-10-08,757.9506225585938
2020-10-09,747.6094970703125
2020-10-12,725.883056640625
2020-10-13,738.2642211914062
2020-10-14,732.998779296875
2020-10-15,724.7921752929688
2020-10-16,672.0894165039062
2020-10-19,679.0626220703125
2020-10-20,683.4267578125
2020-10-21,714.1187133789062
2020-10-22,779.7243041992188
2020-10-23,762.0302734375
2020-10-26,754.6774291992188
2020-10-27,787.12451171875
2020-10-28,865.82275390625
2020-10-29,900.499267578125
2020-10-30,946.0863647460938
2020-11-02,1040.676025390625
2020-11-03,988.6848754882812
2020-11-04,939.25537109375
2020-11-05,892.292724609375
2020-11-06,878.7255859375
2020-11-09,885.6513671875
2020-11-10,867.6727294921875
2020-11-11,854.53271484375
2020-11-12,876.5910034179688
2020-11-13,872.321533203125
2020-11-14,885.7462768554688
2020-11-17,892.7196044921875
2020-11-18,883.46923828125
2020-11-19,896.8466186523438
2020-11-20,941.6744995117188
2020-11-23,925.4511108398438
2020-11-24,936.2669067382812
2020-11-25,907.2354736328125
2020-11-26,952.585205078125
2020-11-27,1000.2118530273438
2020-12-01,1050.2109375
2020-12-02,1047.1749267578125
2020-12-03,1099.4979248046875
2020-12-04,1154.4305419921875
2020-12-07,1125.3511962890625
2020-12-08,1131.2808837890625
2020-12-09,1135.028564453125
2020-12-10,1077.43994140625
2020-12-11,1068.5216064453125
2020-12-14,1053.009765625
2020-12-15,1059.366455078125
2020-12-16,1067.7625732421875
2020-12-17,1066.197265625
2020-12-18,1099.2606201171875
2020-12-21,1014.91748046875
2020-12-22,1007.8018798828125
2020-12-23,1067.2879638671875
2020-12-24,1063.54052734375
2020-12-28,1088.3502197265625
