Date,KPIGREEN
2021-07-27,13.886341094970703
2021-07-28,13.963062286376953
2021-07-29,14.039782524108887
2021-07-30,14.741222381591797
2021-08-02,15.475544929504395
2021-08-03,16.24822235107422
2021-08-04,17.059263229370117
2021-08-05,16.28110694885254
2021-08-06,16.538667678833008
2021-08-09,15.892024040222168
2021-08-10,15.09742259979248
2021-08-11,14.346662521362305
2021-08-12,14.12198257446289
2021-08-13,14.8234224319458
2021-08-16,15.56322193145752
2021-08-17,14.78506088256836
2021-08-18,14.138423919677734
2021-08-20,14.116503715515137
2021-08-23,13.415063858032227
2021-08-24,13.480819702148438
2021-08-25,13.990462303161621
2021-08-26,14.472702026367188
2021-08-27,14.12198257446289
2021-08-30,14.81246280670166
2021-08-31,15.020703315734863
2021-09-01,14.456262588500977
2021-09-02,13.9082612991333
2021-09-03,13.584942817687988
2021-09-06,13.519181251525879
2021-09-07,13.27806282043457
2021-09-08,13.360260963439941
2021-09-09,13.173940658569336
2021-09-13,13.119141578674316
2021-09-14,13.765782356262207
2021-09-15,14.45078182220459
2021-09-16,15.168663024902344
2021-09-17,14.790543556213379
2021-09-20,15.026182174682617
2021-09-21,14.335702896118164
2021-09-22,13.902782440185547
2021-09-23,14.582303047180176
2021-09-24,14.571342468261719
2021-09-27,14.374062538146973
2021-09-28,14.489142417907715
2021-09-29,14.363106727600098
2021-09-30,13.963062286376953
2021-10-01,14.100061416625977
2021-10-04,14.80150318145752
2021-10-05,14.626144409179688
2021-10-06,14.17678165435791
2021-10-07,14.116503715515137
2021-10-08,15.00974178314209
2021-10-11,15.94682788848877
2021-10-12,15.415263175964355
2021-10-13,15.755025863647461
2021-10-14,15.579665184020996
2021-10-18,15.475544929504395
2021-10-19,14.593262672424316
2021-10-20,14.565864562988281
2021-10-21,14.686421394348145
2021-10-22,14.478182792663574
2021-10-25,14.81246280670166
2021-10-26,16.29206657409668
2021-10-27,17.919628143310547
2021-10-28,18.59366798400879
2021-10-29,17.6949462890625
2021-11-01,18.577226638793945
2021-11-02,19.4759521484375
2021-11-03,20.4459171295166
2021-11-04,21.273391723632812
2021-11-08,20.758268356323242
2021-11-09,21.793996810913086
2021-11-10,22.87903594970703
2021-11-11,22.027189254760742
2021-11-12,21.653474807739258
2021-11-15,22.736146926879883
2021-11-16,23.527542114257812
2021-11-17,22.686681747436523
2021-11-18,23.071392059326172
2021-11-22,22.323957443237305
