Date,ORIENTCEM
2013-07-12,47.87630844116211
2013-07-15,45.48250198364258
2013-07-16,43.21466827392578
2013-07-17,41.15682601928711
2013-07-18,40.484886169433594
2013-07-19,40.44288635253906
2013-07-22,39.728939056396484
2013-07-23,38.97300720214844
2013-07-24,37.08314514160156
2013-07-25,38.00693130493164
2013-07-26,36.73121643066406
2013-07-29,32.64020538330078
2013-07-30,30.528717041015625
2013-07-31,29.033065795898438
2013-08-01,31.232540130615234
2013-08-02,31.320518493652344
2013-08-05,30.660673141479492
2013-08-06,28.85711097717285
2013-08-07,29.20902442932129
2013-08-08,30.484724044799805
2013-08-12,31.540470123291016
2013-08-13,33.21205520629883
2013-08-14,32.59621047973633
2013-08-16,31.628440856933594
2013-08-19,29.95684814453125
2013-08-20,29.86886978149414
2013-08-21,29.912860870361328
2013-08-22,30.79264259338379
2013-08-23,29.86886978149414
2013-08-26,29.42896842956543
2013-08-27,29.1650390625
2013-08-28,29.340993881225586
2013-08-29,29.033065795898438
2013-08-30,29.077056884765625
2013-09-02,29.1650390625
2013-09-03,28.725143432617188
2013-09-04,29.47296142578125
2013-09-05,29.340993881225586
2013-09-06,29.384979248046875
2013-09-10,29.824872970581055
2013-09-11,31.14455795288086
2013-09-12,30.132801055908203
2013-09-13,30.30876350402832
2013-09-16,30.088817596435547
2013-09-17,30.396743774414062
2013-09-18,30.088817596435547
2013-09-19,33.38802719116211
2013-09-20,32.55222702026367
2013-09-23,31.364511489868164
2013-09-24,31.892383575439453
2013-09-25,33.43202209472656
2013-09-26,33.34403991699219
2013-09-27,33.25605773925781
2013-09-30,33.25605773925781
2013-10-01,33.43202209472656
2013-10-03,33.6519660949707
2013-10-04,33.73994064331055
2013-10-07,34.13584899902344
2013-10-08,34.31180953979492
2013-10-09,34.22382736206055
2013-10-10,35.059627532958984
2013-10-11,36.11537170410156
2013-10-14,38.35883331298828
2013-10-15,37.74298095703125
2013-10-17,35.71946716308594
2013-10-18,35.19159698486328
2013-10-21,35.19159698486328
2013-10-22,35.32356643676758
2013-10-23,34.883670806884766
2013-10-24,34.04787826538086
2013-10-25,33.56399154663086
2013-10-28,32.59621047973633
2013-10-29,33.60797119140625
2013-10-30,32.99211883544922
2013-10-31,32.99211883544922
2013-11-01,34.44377136230469
2013-11-05,35.23558044433594
2013-11-06,36.59926986694336
2013-11-07,36.379310607910156
2013-11-08,35.98341751098633
2013-11-11,35.58750534057617
2013-11-12,35.455528259277344
2013-11-13,34.97165298461914
2013-11-14,34.575740814208984
2013-11-18,34.35579299926758
2013-11-19,33.695953369140625
2013-11-20,33.827911376953125
2013-11-21,33.91590118408203
2013-11-22,34.83967208862305
2013-11-25,35.10362243652344
2013-11-26,33.78392028808594
2013-11-27,34.22382736206055
2013-11-28,34.091854095458984
2013-11-29,34.31180953979492
2013-12-02,34.267822265625
2013-12-03,34.92765808105469
2013-12-04,35.147605895996094
2013-12-05,36.511287689208984
2013-12-06,36.423301696777344
2013-12-09,37.47904968261719
2013-12-10,37.039154052734375
2013-12-11,36.73121643066406
2013-12-12,36.29133987426758
2013-12-13,36.071380615234375
2013-12-16,35.27957534790039
2013-12-17,34.61973190307617
2013-12-18,34.7516975402832
2013-12-19,34.13584899902344
2013-12-20,34.7516975402832
2013-12-23,34.22382736206055
2013-12-24,34.92765808105469
2013-12-26,35.41154479980469
2013-12-27,35.10362243652344
2013-12-30,34.487770080566406
2013-12-31,34.399784088134766
2014-01-01,35.58750534057617
2014-01-02,34.399784088134766
