Date,AUBANK
2017-07-11,281.4027099609375
2017-07-12,312.3086242675781
2017-07-13,342.8673095703125
2017-07-14,297.0540771484375
2017-07-17,295.7146911621094
2017-07-18,292.14288330078125
2017-07-19,291.1755065917969
2017-07-20,289.017578125
2017-07-21,289.4392395019531
2017-07-24,290.9027404785156
2017-07-25,298.6664123535156
2017-07-26,295.16900634765625
2017-07-27,288.6455383300781
2017-07-28,291.9444274902344
2017-07-31,292.9862365722656
2017-08-01,290.6546630859375
2017-08-02,288.71990966796875
2017-08-03,277.06201171875
2017-08-04,274.97845458984375
2017-08-07,273.53985595703125
2017-08-08,281.9483947753906
2017-08-09,272.79571533203125
2017-08-10,269.27349853515625
2017-08-11,268.6286315917969
2017-08-14,268.0829162597656
2017-08-16,269.91839599609375
2017-08-17,269.6207580566406
2017-08-18,266.768310546875
2017-08-21,267.983642578125
2017-08-22,262.67559814453125
2017-08-23,260.5672607421875
2017-08-24,264.3374938964844
2017-08-28,266.8675537109375
2017-08-29,270.2656555175781
2017-08-30,273.2669677734375
2017-08-31,272.5724182128906
2017-09-01,273.98626708984375
2017-09-04,276.31787109375
2017-09-05,284.3296203613281
2017-09-06,281.7003479003906
2017-09-07,277.1612243652344
2017-09-08,275.0032653808594
2017-09-11,277.111572265625
2017-09-12,275.6481628417969
2017-09-13,276.56591796875
2017-09-14,274.8792419433594
2017-09-15,281.4027099609375
2017-09-18,279.1455383300781
2017-09-19,274.3583068847656
2017-09-20,272.79571533203125
2017-09-21,274.6808166503906
2017-09-22,270.8361511230469
2017-09-25,274.5815734863281
2017-09-26,277.8557434082031
2017-09-27,277.1364440917969
2017-09-28,276.3923034667969
2017-09-29,282.07244873046875
2017-10-03,279.07110595703125
2017-10-04,279.44317626953125
2017-10-05,290.5802307128906
2017-10-06,305.1154479980469
2017-10-09,293.3830871582031
2017-10-10,288.1246032714844
2017-10-11,288.52154541015625
2017-10-12,288.3974609375
2017-10-13,290.5554504394531
2017-10-16,301.2460021972656
2017-10-17,299.8073425292969
2017-10-18,293.5319519042969
2017-10-19,298.095947265625
2017-10-23,296.90533447265625
2017-10-24,294.37530517578125
2017-10-25,282.8909606933594
2017-10-26,288.3974609375
2017-10-27,293.5815124511719
2017-10-30,291.671630859375
2017-10-31,288.5959167480469
2017-11-01,292.3413391113281
2017-11-02,302.7342529296875
2017-11-03,305.04107666015625
2017-11-06,305.18988037109375
2017-11-07,303.32952880859375
2017-11-08,303.5279846191406
2017-11-09,309.43133544921875
2017-11-10,300.1050109863281
2017-11-13,304.94183349609375
2017-11-14,309.3569641113281
2017-11-15,310.522705078125
2017-11-16,320.2707824707031
2017-11-17,332.598388671875
2017-11-20,329.0018615722656
2017-11-21,323.1976013183594
2017-11-22,323.79296875
2017-11-23,330.1676330566406
2017-11-24,329.0266418457031
2017-11-27,331.65582275390625
2017-11-28,337.1375732421875
2017-11-29,342.04876708984375
2017-11-30,346.290283203125
2017-12-01,348.2994079589844
2017-12-04,341.131103515625
2017-12-05,339.61798095703125
2017-12-06,333.7890319824219
2017-12-07,336.1453857421875
2017-12-08,342.19757080078125
2017-12-11,353.6322326660156
2017-12-12,359.28765869140625
2017-12-13,346.9103698730469
2017-12-14,335.2276611328125
2017-12-15,332.598388671875
2017-12-18,331.5814514160156
2017-12-19,332.7224426269531
2017-12-20,339.7915954589844
2017-12-21,339.022705078125
2017-12-22,337.2615966796875
2017-12-26,336.9639587402344
2017-12-27,338.2289733886719
2017-12-28,336.12060546875
2017-12-29,330.7877197265625
2018-01-01,328.82818603515625
2018-01-02,328.1088562011719
