Date,LODHA
2021-04-19,230.33375549316406
2021-04-20,249.07237243652344
2021-04-22,259.295654296875
2021-04-23,262.7364501953125
2021-04-26,287.193115234375
2021-04-27,299.2235107421875
2021-04-28,304.7930603027344
2021-04-29,297.8620300292969
2021-04-30,293.9261474609375
2021-05-03,296.6986083984375
2021-05-04,295.906494140625
2021-05-05,300.0155944824219
2021-05-06,298.01055908203125
2021-05-07,312.7637634277344
2021-05-10,342.4682922363281
2021-05-11,342.44354248046875
2021-05-12,320.1404113769531
2021-05-14,320.7592468261719
2021-05-17,320.51171875
2021-05-18,313.308349609375
2021-05-19,314.0262145996094
2021-05-20,311.1795349121094
2021-05-21,319.001708984375
2021-05-24,318.927490234375
2021-05-25,313.2093811035156
2021-05-26,309.47149658203125
2021-05-27,304.446533203125
2021-05-28,314.4470520019531
2021-05-31,312.4667663574219
2021-06-01,310.0656433105469
2021-06-02,305.9565124511719
2021-06-03,308.2833557128906
2021-06-04,310.7587585449219
2021-06-07,331.72515869140625
2021-06-08,341.97320556640625
2021-06-09,329.81915283203125
2021-06-10,343.70599365234375
2021-06-11,333.1361389160156
2021-06-14,339.1760559082031
2021-06-15,350.9340515136719
2021-06-16,337.5423278808594
2021-06-17,332.022216796875
2021-06-18,337.1462097167969
2021-06-21,348.5577392578125
2021-06-22,346.4536437988281
2021-06-23,337.6660461425781
2021-06-24,340.6117858886719
2021-06-25,334.79461669921875
2021-06-28,340.2404479980469
2021-06-29,334.4975891113281
2021-06-30,338.45819091796875
2021-07-01,337.41851806640625
2021-07-02,334.7698669433594
2021-07-05,332.1707458496094
2021-07-06,322.2196960449219
2021-07-07,328.8537292480469
2021-07-08,340.5374755859375
2021-07-09,382.5198669433594
2021-07-12,391.3322448730469
2021-07-13,385.341796875
2021-07-14,391.6540222167969
2021-07-15,410.64013671875
2021-07-16,422.1011657714844
2021-07-19,411.8035583496094
2021-07-20,392.6936950683594
2021-07-22,423.9081726074219
2021-07-23,418.2642822265625
2021-07-26,417.5711975097656
2021-07-27,434.18096923828125
2021-07-28,422.3734436035156
2021-07-29,423.6853942871094
2021-07-30,422.6952209472656
2021-08-02,454.8998718261719
2021-08-03,456.1871032714844
2021-08-04,437.15142822265625
2021-08-05,429.7253112792969
2021-08-06,432.7452087402344
