Date,BOMDYEING
1996-01-01,37.96214294433594
1996-01-02,36.591949462890625
1996-01-03,37.07240295410156
1996-01-04,37.13764572143555
1996-01-05,36.787689208984375
1996-01-08,35.83863067626953
1996-01-09,36.11742401123047
1996-01-10,36.597877502441406
1996-01-11,36.77582550048828
1996-01-12,36.657203674316406
1996-01-15,36.61567687988281
1996-01-16,36.29536056518555
1996-01-17,36.1885986328125
1996-01-18,35.70814514160156
1996-01-19,34.75908279418945
1996-01-22,34.31421661376953
1996-01-23,33.276187896728516
1996-01-24,32.14918899536133
1996-01-25,30.96880340576172
1996-01-26,30.96880340576172
1996-01-29,31.8170166015625
1996-01-30,32.06614303588867
1996-01-31,32.68303298950195
1996-02-01,32.96775817871094
1996-02-02,34.195587158203125
1996-02-05,34.00577926635742
1996-02-06,32.68896484375
1996-02-07,32.68303298950195
1996-02-08,33.72698974609375
1996-02-09,36.58600997924805
1996-02-12,37.28001022338867
1996-02-13,37.825714111328125
1996-02-14,39.43910217285156
1996-02-15,38.82815170288086
1996-02-16,37.06053924560547
1996-02-19,36.98343276977539
1996-02-20,35.94540023803711
1996-02-21,35.94540023803711
1996-02-22,36.93004608154297
1996-02-23,36.27164077758789
1996-02-26,36.14707565307617
1996-02-27,35.808982849121094
1996-02-28,35.96913528442383
1996-02-29,34.587066650390625
1996-03-01,34.57521438598633
1996-03-04,34.80653762817383
1996-03-05,34.80653762817383
1996-03-06,35.114986419677734
1996-03-07,35.091251373291016
1996-03-08,34.62859344482422
1996-03-11,33.999847412109375
1996-03-12,34.01763916015625
1996-03-13,34.373538970947266
1996-03-14,34.28456115722656
1996-03-15,34.17779541015625
1996-03-18,34.16592788696289
1996-03-19,33.448204040527344
1996-03-20,33.448204040527344
1996-03-21,34.05915451049805
1996-03-22,33.638023376464844
1996-03-25,33.335506439208984
1996-03-26,33.20500183105469
1996-03-27,33.10417556762695
1996-03-28,33.48379898071289
1996-03-29,34.100677490234375
1996-04-01,34.0117073059082
1996-04-02,33.48973083496094
1996-04-03,33.709190368652344
1996-04-04,33.58462905883789
1996-04-05,33.58462905883789
1996-04-08,33.810028076171875
1996-04-09,33.673606872558594
1996-04-10,33.92865753173828
