Date,BAJAJFINSV
2002-08-12,443.4440002441406
2002-08-13,437.5268859863281
2002-08-14,425.2524108886719
2002-08-15,425.2524108886719
2002-08-16,418.2593994140625
2002-08-19,420.2154846191406
2002-08-20,428.03985595703125
2002-08-21,425.3991394042969
2002-08-22,418.7484130859375
2002-08-23,410.63067626953125
2002-08-26,408.5767517089844
2002-08-27,408.0389404296875
2002-08-28,408.7235107421875
2002-08-29,408.91912841796875
2002-08-30,409.2613830566406
2002-09-02,406.66961669921875
2002-09-03,406.96307373046875
2002-09-04,409.0658264160156
2002-09-05,410.48406982421875
2002-09-06,409.946044921875
2002-09-09,410.67962646484375
2002-09-10,410.67962646484375
2002-09-11,410.5329284667969
2002-09-12,410.8751525878906
2002-09-13,411.1685791015625
2002-09-16,410.7284851074219
2002-09-17,404.4689636230469
2002-09-18,392.5369873046875
2002-09-19,375.4700622558594
2002-09-20,368.8194274902344
2002-09-23,363.5380554199219
2002-09-24,372.4870910644531
2002-09-25,376.0570068359375
2002-09-26,373.9053039550781
2002-09-27,390.189697265625
2002-09-30,381.0938720703125
2002-10-01,370.922119140625
2002-10-02,370.922119140625
2002-10-03,359.8703308105469
2002-10-04,358.06103515625
2002-10-07,359.6746826171875
2002-10-08,376.30145263671875
2002-10-09,383.587890625
2002-10-10,396.84033203125
2002-10-11,391.16766357421875
2002-10-14,390.189697265625
2002-10-15,390.189697265625
2002-10-16,389.01605224609375
2002-10-17,386.57086181640625
2002-10-18,393.3682861328125
2002-10-21,395.5198974609375
2002-10-22,378.2086181640625
2002-10-23,392.8303527832031
2002-10-24,399.9700622558594
2002-10-25,401.8283386230469
2002-10-28,398.16070556640625
2002-10-29,411.3642272949219
2002-10-30,412.4890441894531
2002-10-31,414.44500732421875
2002-11-01,432.3431396484375
2002-11-04,438.4559631347656
2002-11-05,426.4749450683594
2002-11-06,426.4749450683594
2002-11-07,419.7754211425781
2002-11-08,423.4919128417969
2002-11-11,426.4259948730469
2002-11-12,426.27935791015625
2002-11-13,433.3701171875
2002-11-14,429.7025146484375
2002-11-15,442.8570861816406
2002-11-18,441.7812805175781
2002-11-19,441.7812805175781
2002-11-20,442.90606689453125
2002-11-21,467.1614990234375
2002-11-22,463.5427551269531
2002-11-25,466.96588134765625
2002-11-26,462.6136169433594
2002-11-27,455.9139709472656
2002-11-28,460.9019775390625
2002-11-29,460.9019775390625
2002-12-02,467.5038146972656
2002-12-03,468.9220275878906
2002-12-04,469.7532958984375
2002-12-05,462.2223815917969
2002-12-06,459.2393493652344
2002-12-09,463.9339294433594
2002-12-10,467.25933837890625
2002-12-11,454.78924560546875
2002-12-12,459.53277587890625
2002-12-13,465.4989013671875
2002-12-16,469.80218505859375
2002-12-17,470.193359375
2002-12-18,473.02984619140625
2002-12-19,482.8101501464844
2002-12-20,478.702392578125
2002-12-23,480.1204833984375
2002-12-24,477.57757568359375
