Date,CIPLA
1996-01-01,7.161149024963379
1996-01-02,7.070338726043701
1996-01-03,7.020608425140381
1996-01-04,6.947093963623047
1996-01-05,6.9297966957092285
1996-01-08,6.8108744621276855
1996-01-09,6.829253673553467
1996-01-10,6.885470390319824
1996-01-11,6.955740451812744
1996-01-12,7.076825141906738
1996-01-15,7.044389724731445
1996-01-16,7.255204677581787
1996-01-17,7.061690807342529
1996-01-18,7.049795627593994
1996-01-19,7.071416854858398
1996-01-22,7.15682315826416
1996-01-23,6.895201683044434
1996-01-24,6.511414051055908
1996-01-25,6.422764301300049
1996-01-26,6.422764301300049
1996-01-29,6.547089099884033
1996-01-30,6.4389801025390625
1996-01-31,6.546008110046387
1996-02-01,6.739523410797119
1996-02-02,6.834658622741699
1996-02-05,6.864930629730225
1996-02-06,6.936282157897949
1996-02-07,7.158987522125244
1996-02-08,7.21520471572876
1996-02-09,7.5092620849609375
1996-02-12,7.39574670791626
1996-02-13,7.44223165512085
1996-02-14,7.5081787109375
1996-02-15,7.416287899017334
1996-02-16,7.413043022155762
1996-02-19,7.62709903717041
1996-02-20,7.640073776245117
1996-02-21,7.640073776245117
1996-02-22,7.902779579162598
1996-02-23,8.127644538879395
1996-02-26,8.560081481933594
1996-02-27,8.189268112182617
1996-02-28,8.085482597351074
1996-02-29,7.886563777923584
1996-03-01,7.920073986053467
1996-03-04,8.098456382751465
1996-03-05,8.098456382751465
1996-03-06,8.18386459350586
1996-03-07,8.203325271606445
1996-03-08,8.111427307128906
1996-03-11,7.984939098358154
1996-03-12,7.9308881759643555
1996-03-13,8.051969528198242
1996-03-14,8.206565856933594
1996-03-15,8.219538688659668
1996-03-18,8.216293334960938
1996-03-19,8.236834526062012
1996-03-20,8.236834526062012
1996-03-21,8.400077819824219
1996-03-22,8.366565704345703
1996-03-25,8.318998336791992
1996-03-26,8.358996391296387
1996-03-27,8.548189163208008
1996-03-28,8.627108573913574
1996-03-29,8.563326835632324
1996-04-01,8.647650718688965
1996-04-02,8.576297760009766
1996-04-03,8.672515869140625
1996-04-04,8.607651710510254
1996-04-05,8.607651710510254
1996-04-08,8.746030807495117
