Date,MAXHEALTH
2020-08-21,111.04621887207031
2020-08-24,116.561279296875
2020-08-25,122.37443542480469
2020-08-26,123.21908569335938
2020-08-27,117.0581283569336
2020-08-28,111.24496459960938
2020-08-31,105.72992706298828
2020-09-01,105.03433227539062
2020-09-02,105.77960205078125
2020-09-03,111.04621887207031
2020-09-04,114.52418518066406
2020-09-07,112.63615417480469
2020-09-08,109.30724334716797
2020-09-09,110.74810791015625
2020-09-10,110.99654388427734
2020-09-11,130.72154235839844
2020-09-14,120.13860321044922
2020-09-15,118.00213623046875
2020-09-16,119.93985748291016
2020-09-17,116.95875549316406
2020-09-18,116.1141128540039
2020-09-21,110.20158386230469
2020-09-22,108.36323547363281
2020-09-23,110.25125885009766
2020-09-24,108.06512451171875
2020-09-25,109.20787048339844
2020-09-28,115.81599426269531
2020-09-29,112.73551940917969
2020-09-30,114.62355041503906
2020-10-01,115.17009735107422
2020-10-05,113.28205871582031
2020-10-06,114.82230377197266
2020-10-07,113.5801773071289
2020-10-08,111.9405517578125
2020-10-09,110.00283813476562
2020-10-12,107.86638641357422
2020-10-13,111.9405517578125
2020-10-14,109.257568359375
2020-10-15,106.4751968383789
2020-10-16,107.41921997070312
2020-10-19,107.91605377197266
2020-10-20,106.27645111083984
2020-10-21,105.53117370605469
2020-10-22,104.9846420288086
2020-10-23,104.63684844970703
2020-10-26,104.53746795654297
2020-10-27,105.38213348388672
2020-10-28,103.89157104492188
2020-10-29,102.99723815917969
2020-10-30,105.87898254394531
2020-11-02,106.4751968383789
2020-11-03,107.1211166381836
2020-11-04,112.48709106445312
2020-11-05,113.8285903930664
2020-11-06,113.7789077758789
2020-11-09,119.24427032470703
2020-11-10,114.52418518066406
2020-11-11,120.43671417236328
2020-11-12,117.40592193603516
2020-11-13,121.43040466308594
2020-11-14,121.4801025390625
2020-11-17,120.93356323242188
2020-11-18,119.194580078125
2020-11-19,120.28767395019531
2020-11-20,123.11971282958984
2020-11-23,125.50460052490234
2020-11-24,124.85868835449219
2020-11-25,123.5668716430664
2020-11-26,123.31845092773438
2020-11-27,126.2498779296875
2020-12-01,126.59767150878906
2020-12-02,127.14419555664062
2020-12-03,127.34294128417969
2020-12-04,138.5220947265625
2020-12-07,147.76351928710938
2020-12-08,141.25477600097656
2020-12-09,138.4227294921875
2020-12-10,140.06231689453125
2020-12-11,139.86358642578125
2020-12-14,138.02523803710938
2020-12-15,136.53468322753906
2020-12-16,137.97557067871094
2020-12-17,138.3233642578125
2020-12-18,139.3667449951172
2020-12-21,129.47940063476562
2020-12-22,135.3422393798828
2020-12-23,140.6585693359375
2020-12-24,140.50949096679688
2020-12-28,142.79501342773438
2020-12-29,140.06231689453125
2020-12-30,139.6151580810547
2020-12-31,139.26736450195312
2021-01-01,141.60256958007812
2021-01-04,140.8572998046875
2021-01-05,140.8572998046875
2021-01-06,142.74533081054688
2021-01-07,155.21627807617188
2021-01-08,153.3282470703125
2021-01-11,158.84332275390625
2021-01-12,162.47032165527344
2021-01-13,158.64454650878906
2021-01-14,160.23448181152344
2021-01-15,158.9426727294922
2021-01-18,163.31497192382812
2021-01-19,164.65647888183594
2021-01-20,161.4766082763672
2021-01-21,162.52001953125
2021-01-22,161.62567138671875
2021-01-25,161.2281951904297
2021-01-27,163.61305236816406
2021-01-28,161.1785125732422
2021-01-29,161.1785125732422
2021-02-01,166.1967010498047
2021-02-02,168.5319061279297
2021-02-03,169.62498474121094
2021-02-04,174.39476013183594
2021-02-05,178.07144165039062
2021-02-08,180.30728149414062
2021-02-09,184.62986755371094
2021-02-10,178.81671142578125
2021-02-11,196.5543212890625
2021-02-12,196.902099609375
2021-02-15,193.97068786621094
2021-02-16,190.2939910888672
2021-02-17,199.93289184570312
2021-02-18,201.771240234375
2021-02-19,205.44793701171875
2021-02-22,188.20721435546875
2021-02-23,182.7915496826172
2021-02-24,182.64248657226562
2021-02-25,181.84751892089844
2021-02-26,180.15821838378906
2021-03-01,183.58648681640625
2021-03-02,187.7600555419922
2021-03-03,188.55499267578125
2021-03-04,194.16940307617188
2021-03-05,197.5977020263672
2021-03-08,197.34927368164062
2021-03-09,197.7964324951172
2021-03-10,200.2806854248047
2021-03-12,204.9510955810547
2021-03-15,201.1253204345703
2021-03-16,205.1001434326172
2021-03-17,200.3800506591797
2021-03-18,196.5543212890625
2021-03-19,198.1939239501953
2021-03-22,202.7649383544922
2021-03-23,203.4605255126953
2021-03-24,201.7215576171875
2021-03-25,197.4983367919922
2021-03-26,197.44862365722656
2021-03-30,203.808349609375
2021-03-31,204.45425415039062
2021-04-01,216.82583618164062
2021-04-05,227.2100067138672
2021-04-06,229.09805297851562
2021-04-07,223.38426208496094
2021-04-08,220.90000915527344
2021-04-09,217.52142333984375
2021-04-12,219.4591522216797
2021-04-13,218.61448669433594
2021-04-15,218.56480407714844
2021-04-16,220.65159606933594
2021-04-19,232.1288604736328
2021-04-20,234.1659393310547
2021-04-22,224.32830810546875
2021-04-23,223.03646850585938
2021-04-26,223.3345947265625
2021-04-27,226.01756286621094
2021-04-28,224.67608642578125
2021-04-29,223.08616638183594
2021-04-30,225.52072143554688
2021-05-03,229.3464813232422
2021-05-04,226.51441955566406
2021-05-05,228.352783203125
2021-05-06,227.2100067138672
2021-05-07,225.918212890625
2021-05-10,230.0420684814453
2021-05-11,232.67538452148438
2021-05-12,222.09243774414062
2021-05-14,218.71388244628906
2021-05-17,217.3723602294922
2021-05-18,221.247802734375
2021-05-19,224.5270233154297
2021-05-20,223.68238830566406
2021-05-21,225.81883239746094
2021-05-24,233.07286071777344
2021-05-25,231.93008422851562
2021-05-26,229.8433380126953
2021-05-27,230.14144897460938
2021-05-28,223.13584899902344
2021-05-31,220.9993896484375
2021-06-01,228.89932250976562
2021-06-02,228.05467224121094
2021-06-03,243.35768127441406
2021-06-04,244.3017120361328
2021-06-07,242.61239624023438
2021-06-08,243.55641174316406
2021-06-09,245.0966339111328
2021-06-10,254.68588256835938
2021-06-11,253.74188232421875
2021-06-14,252.64878845214844
2021-06-15,250.01548767089844
2021-06-16,251.80413818359375
2021-06-17,247.58090209960938
2021-06-18,248.8727264404297
2021-06-21,244.84823608398438
2021-06-22,248.02810668945312
2021-06-23,258.6109924316406
2021-06-24,255.28213500976562
2021-06-25,254.73556518554688
2021-06-28,253.84124755859375
2021-06-29,252.00289916992188
2021-06-30,252.89723205566406
2021-07-01,262.138671875
2021-07-02,278.13726806640625
2021-07-05,280.7705993652344
2021-07-06,281.11834716796875
2021-07-07,282.2114562988281
2021-07-08,283.2547912597656
2021-07-09,279.1309509277344
2021-07-12,273.61590576171875
2021-07-13,268.49835205078125
2021-07-14,266.7593688964844
2021-07-15,264.62286376953125
2021-07-16,267.1071472167969
2021-07-19,265.3184814453125
2021-07-20,257.8160705566406
2021-07-22,277.7397766113281
2021-07-23,276.845458984375
2021-07-26,274.1127624511719
2021-07-27,274.410888671875
2021-07-28,272.771240234375
2021-07-29,274.4605712890625
2021-07-30,294.58306884765625
2021-08-02,292.59564208984375
2021-08-03,284.0498046875
2021-08-04,278.98193359375
