Date,NBCC
2012-04-12,3.5404062271118164
2012-04-13,3.463719129562378
2012-04-16,3.385205030441284
2012-04-17,3.3286023139953613
2012-04-18,3.4947588443756104
2012-04-19,3.668217897415161
2012-04-20,3.586052894592285
2012-04-23,3.5184946060180664
2012-04-24,3.6243975162506104
2012-04-25,3.666393280029297
2012-04-26,3.580575704574585
2012-04-27,3.4947588443756104
2012-04-30,3.507539749145508
2012-05-02,3.4600677490234375
2012-05-03,3.3815536499023438
2012-05-04,3.288433313369751
2012-05-07,3.288433313369751
2012-05-08,3.3724236488342285
2012-05-09,3.284780740737915
2012-05-10,3.2300045490264893
2012-05-11,3.16062068939209
2012-05-14,3.122276782989502
2012-05-15,3.1259284019470215
2012-05-16,3.0182008743286133
2012-05-17,2.9342095851898193
2012-05-18,2.93603515625
2012-05-21,2.9597725868225098
2012-05-22,2.95794677734375
2012-05-23,2.9561195373535156
2012-05-24,3.010896921157837
2012-05-25,2.9524688720703125
2012-05-28,2.974379539489746
2012-05-29,3.0492405891418457
2012-05-30,3.2153968811035156
2012-05-31,3.2208750247955322
2012-06-01,3.1715760231018066
2012-06-04,3.16062068939209
2012-06-05,3.0948877334594727
2012-06-06,3.13140606880188
2012-06-07,3.149665594100952
2012-06-08,3.0967135429382324
2012-06-11,3.1387100219726562
2012-06-12,3.1058437824249268
2012-06-13,3.1715760231018066
2012-06-14,3.0985400676727295
2012-06-15,3.111321210861206
2012-06-18,3.102191925048828
2012-06-19,3.0985400676727295
2012-06-20,3.1514906883239746
2012-06-21,3.257392406463623
2012-06-22,3.3632941246032715
2012-06-25,3.4071156978607178
2012-06-26,3.418071985244751
2012-06-27,3.39616060256958
2012-06-28,3.4326775074005127
2012-06-29,3.434504747390747
2012-07-02,3.4071156978607178
2012-07-03,3.458240032196045
2012-07-04,3.5002360343933105
2012-07-05,3.651784658432007
2012-07-06,3.6499602794647217
2012-07-09,3.706561803817749
2012-07-10,3.671869993209839
2012-07-11,3.708388090133667
2012-07-12,3.704735517501831
2012-07-13,3.7138659954071045
2012-07-16,3.7978572845458984
2012-07-17,3.679172992706299
2012-07-18,3.6390037536621094
2012-07-19,3.7156918048858643
2012-07-20,3.6736958026885986
2012-07-23,3.651784658432007
2012-07-24,3.6152682304382324
2012-07-25,3.562316417694092
2012-07-26,3.4655439853668213
2012-07-27,3.4089412689208984
2012-07-30,3.5166702270507812
2012-07-31,3.4929332733154297
2012-08-01,3.5038886070251465
2012-08-02,3.5038886070251465
2012-08-03,3.507539749145508
2012-08-06,3.509366273880005
2012-08-07,3.5531866550445557
2012-08-08,3.5732719898223877
2012-08-09,3.5513620376586914
2012-08-10,3.6243975162506104
2012-08-13,3.5111918449401855
2012-08-14,3.4564149379730225
2012-08-16,3.4381561279296875
2012-08-17,3.461893081665039
2012-08-21,3.481978178024292
2012-08-22,3.5057129859924316
2012-08-23,3.514843463897705
2012-08-24,3.4929332733154297
2012-08-27,3.487455129623413
2012-08-28,3.4801511764526367
2012-08-29,3.471022605895996
2012-08-30,3.5051445960998535
2012-08-31,3.453961133956909
2012-09-03,3.5051445960998535
2012-09-04,3.52599835395813
2012-09-05,3.52599835395813
2012-09-06,3.5070414543151855
2012-09-07,3.562016487121582
2012-09-10,3.5582242012023926
2012-09-11,3.573389768600464
2012-09-12,3.7591679096221924
2012-09-13,3.7098803520202637
2012-09-14,3.6568002700805664
2012-09-17,3.797081470489502
2012-09-18,3.817934989929199
2012-09-20,3.8008739948272705
2012-09-21,3.7913944721221924
2012-09-24,3.8691186904907227
2012-09-25,3.863431692123413
2012-09-26,3.9392595291137695
2012-09-27,3.948737859725952
2012-09-28,3.93357253074646
2012-10-01,4.123142719268799
2012-10-03,4.452995300292969
2012-10-04,4.767680644989014
2012-10-05,4.634980201721191
2012-10-08,4.591380596160889
2012-10-09,4.769576072692871
2012-10-10,4.945875644683838
2012-10-11,5.234021186828613
2012-10-12,5.294684410095215
2012-10-15,5.417903900146484
2012-10-16,5.328805923461914
2012-10-17,5.133548736572266
2012-10-18,5.440652370452881
2012-10-19,5.116488933563232
2012-10-22,5.220752716064453
2012-10-23,5.1562981605529785
2012-10-25,4.98947811126709
2012-10-29,4.995163440704346
2012-10-30,4.815072536468506
2012-10-31,5.107009410858154
2012-11-01,5.112696647644043
2012-11-02,5.395155906677246
2012-11-05,5.531646251678467
2012-11-06,5.671928882598877
2012-11-07,5.60936975479126
2012-11-08,5.548707008361816
2012-11-09,5.419800758361816
2012-11-12,5.753443717956543
2012-11-15,5.833063125610352
2012-11-16,5.840643882751465
2012-11-19,5.762921333312988
