Date,SAMMAANCAP
2013-07-23,154.48907470703125
2013-07-24,146.77137756347656
2013-07-25,139.43283081054688
2013-07-26,132.47335815429688
2013-07-29,125.8659439086914
2013-07-30,119.5834732055664
2013-07-31,113.62596130371094
2013-08-01,114.09988403320312
2013-08-02,114.4344253540039
2013-08-05,114.82465362548828
2013-08-06,110.69889831542969
2013-08-07,109.47232055664062
2013-08-08,108.77542877197266
2013-08-12,107.27002716064453
2013-08-13,106.60098266601562
2013-08-14,112.48299407958984
2013-08-16,105.4301986694336
2013-08-19,106.82404327392578
2013-08-20,105.90409851074219
2013-08-21,106.82404327392578
2013-08-22,107.68819427490234
2013-08-23,116.94330596923828
2013-08-26,113.57020568847656
2013-08-27,107.21431732177734
2013-08-28,103.72969818115234
2013-08-29,108.10633850097656
2013-08-30,109.86259460449219
2013-09-02,107.49309539794922
2013-09-03,105.51383209228516
2013-09-04,105.90409851074219
2013-09-05,113.29150390625
2013-09-06,116.72027587890625
2013-09-10,117.72389221191406
2013-09-11,118.69957733154297
2013-09-12,115.43800354003906
2013-09-13,116.72027587890625
2013-09-16,117.50082397460938
2013-09-17,116.07913970947266
2013-09-18,113.48656463623047
2013-09-19,125.69662475585938
2013-09-20,119.36861419677734
2013-09-23,107.1864242553711
2013-09-24,100.83052062988281
2013-09-25,100.66326141357422
2013-09-26,102.05709838867188
2013-09-27,101.27653503417969
2013-09-30,101.9455795288086
2013-10-01,104.17573547363281
2013-10-03,110.8940200805664
2013-10-04,108.80327606201172
2013-10-07,110.72676086425781
2013-10-08,108.2457275390625
2013-10-09,109.55594635009766
2013-10-10,108.2457275390625
2013-10-11,109.10994720458984
2013-10-14,109.8347396850586
2013-10-15,105.12353515625
2013-10-17,107.2421646118164
2013-10-18,106.09919738769531
2013-10-21,105.76472473144531
2013-10-22,107.71610260009766
2013-10-23,106.43378448486328
2013-10-24,110.72676086425781
2013-10-25,115.27071380615234
2013-10-28,113.09632110595703
2013-10-29,121.682373046875
2013-10-30,123.85674285888672
2013-10-31,123.07962799072266
2013-11-01,122.9356689453125
2013-11-05,129.93014526367188
2013-11-06,130.47702026367188
2013-11-07,125.12325286865234
2013-11-08,124.97933959960938
2013-11-11,123.42503356933594
2013-11-12,121.3525619506836
2013-11-13,122.2160873413086
2013-11-14,124.11579895019531
2013-11-18,125.3823013305664
2013-11-19,128.86512756347656
2013-11-20,126.93663787841797
2013-11-21,128.60610961914062
2013-11-22,129.46963500976562
2013-11-25,129.90139770507812
