Date,GODREJPROP
2010-01-05,238.5570068359375
2010-01-06,234.094482421875
2010-01-07,238.40158081054688
2010-01-08,231.03060913085938
2010-01-11,231.03060913085938
2010-01-12,226.92330932617188
2010-01-13,229.8539276123047
2010-01-14,228.09999084472656
2010-01-15,226.5458984375
2010-01-18,226.59030151367188
2010-01-19,227.54495239257812
2010-01-20,227.32298278808594
2010-01-21,222.41636657714844
2010-01-22,219.33035278320312
2010-01-25,217.3544158935547
2010-01-27,213.55792236328125
2010-01-28,215.08982849121094
2010-01-29,211.33773803710938
2010-02-01,215.55606079101562
2010-02-02,213.1804962158203
2010-02-03,213.313720703125
2010-02-04,212.47003173828125
2010-02-05,207.896484375
2010-02-06,209.00657653808594
2010-02-08,210.2720489501953
2010-02-09,208.45152282714844
2010-02-10,209.09536743164062
2010-02-11,211.84840393066406
2010-02-15,212.47003173828125
2010-02-16,209.5838165283203
2010-02-17,212.38124084472656
2010-02-18,212.73643493652344
2010-02-19,210.9603271484375
2010-02-22,209.76144409179688
2010-02-23,208.65133666992188
2010-02-24,206.7642059326172
2010-02-25,211.44873046875
2010-02-26,210.51629638671875
2010-03-02,215.15643310546875
2010-03-03,229.2100830078125
2010-03-04,229.9871826171875
2010-03-05,226.6125030517578
2010-03-08,222.52740478515625
2010-03-09,222.10556030273438
2010-03-10,222.61619567871094
2010-03-11,217.26560974121094
2010-03-12,217.73184204101562
2010-03-15,215.9335174560547
2010-03-16,219.15272521972656
2010-03-17,219.84103393554688
2010-03-18,222.10556030273438
2010-03-19,225.147216796875
2010-03-22,221.90576171875
2010-03-23,225.9464569091797
2010-03-25,222.7050018310547
2010-03-26,224.3257293701172
2010-03-29,220.0408172607422
2010-03-30,220.7512664794922
2010-03-31,227.14535522460938
2010-04-01,229.23233032226562
2010-04-05,230.32020568847656
2010-04-06,231.00843811035156
2010-04-07,230.58660888671875
2010-04-08,233.73922729492188
2010-04-09,235.02694702148438
2010-04-12,231.8299102783203
2010-04-13,227.03433227539062
2010-04-15,231.8520965576172
2010-04-16,231.5190887451172
2010-04-19,225.25820922851562
2010-04-20,227.23416137695312
2010-04-21,227.61158752441406
2010-04-22,223.59307861328125
2010-04-23,223.2378387451172
2010-04-26,223.59307861328125
2010-04-27,222.8826141357422
2010-04-28,220.2628173828125
2010-04-29,222.01675415039062
2010-04-30,222.39419555664062
2010-05-03,221.32852172851562
2010-05-04,222.8826141357422
2010-05-05,221.97238159179688
2010-05-06,219.19712829589844
2010-05-07,210.13885498046875
2010-05-10,217.8650360107422
2010-05-11,217.97604370117188
2010-05-12,218.30908203125
2010-05-13,225.7910614013672
2010-05-14,224.45892333984375
2010-05-17,224.41455078125
2010-05-18,231.60789489746094
2010-05-19,231.78549194335938
2010-05-20,228.47744750976562
2010-05-21,233.51722717285156
2010-05-24,230.94183349609375
2010-05-25,228.7438507080078
2010-05-26,229.87619018554688
2010-05-27,233.16201782226562
2010-05-28,232.4515380859375
2010-05-31,232.251708984375
2010-06-01,231.40809631347656
2010-06-02,232.31834411621094
2010-06-03,233.29519653320312
2010-06-04,237.84654235839844
2010-06-07,231.94091796875
2010-06-08,230.7420196533203
2010-06-09,228.72166442871094
2010-06-10,231.65228271484375
2010-06-11,229.6985321044922
2010-06-14,229.1656951904297
2010-06-15,244.1740264892578
