Date,CROMPTON
2016-05-13,124.44964599609375
2016-05-16,128.8138885498047
2016-05-17,127.71134948730469
2016-05-18,134.09689331054688
2016-05-19,131.0189971923828
2016-05-20,126.83850860595703
2016-05-23,125.4603271484375
2016-05-24,121.96891021728516
2016-05-25,122.79582214355469
2016-05-26,122.47425079345703
2016-05-27,121.69328308105469
2016-05-30,119.44225311279297
2016-05-31,121.55548858642578
2016-06-01,123.6686782836914
2016-06-02,127.34382629394531
2016-06-03,124.03620910644531
2016-06-06,122.24457550048828
2016-06-07,122.70397186279297
2016-06-08,122.06080627441406
2016-06-09,122.70397186279297
2016-06-10,122.65802764892578
2016-06-13,122.4283218383789
2016-06-14,125.4603271484375
2016-06-15,124.08213806152344
2016-06-16,122.24457550048828
2016-06-17,123.11741638183594
2016-06-20,122.7499008178711
2016-06-21,126.5628662109375
2016-06-22,127.29788970947266
2016-06-23,126.93035888671875
2016-06-24,125.59814453125
2016-06-27,124.21995544433594
2016-06-28,123.43900299072266
2016-06-29,127.57355499267578
2016-06-30,132.0755615234375
2016-07-01,131.24868774414062
2016-07-04,131.0648956298828
2016-07-05,128.63014221191406
2016-07-07,128.21665954589844
2016-07-08,130.7433319091797
2016-07-11,130.55958557128906
2016-07-12,129.6408233642578
2016-07-13,131.29458618164062
2016-07-14,130.05426025390625
2016-07-15,132.1215362548828
2016-07-18,128.90576171875
2016-07-19,129.6408233642578
2016-07-20,140.11495971679688
2016-07-21,138.04769897460938
2016-07-22,136.5316925048828
2016-07-25,141.12564086914062
2016-07-26,141.53909301757812
2016-07-27,137.8639373779297
2016-07-28,140.94186401367188
2016-07-29,144.24949645996094
2016-08-01,152.33482360839844
2016-08-02,148.84344482421875
2016-08-03,148.24620056152344
2016-08-04,148.7974853515625
2016-08-05,151.41603088378906
2016-08-08,157.8015899658203
2016-08-09,158.0312957763672
2016-08-10,154.7696075439453
2016-08-11,156.1937255859375
2016-08-12,158.99600219726562
2016-08-16,155.50465393066406
2016-08-17,151.27822875976562
2016-08-18,152.97799682617188
2016-08-19,153.29957580566406
2016-08-22,152.38076782226562
2016-08-23,152.0592041015625
2016-08-24,151.82949829101562
2016-08-25,151.55384826660156
2016-08-26,151.18634033203125
2016-08-29,151.5997772216797
2016-08-30,151.5997772216797
2016-08-31,151.37010192871094
2016-09-01,153.43736267089844
2016-09-02,159.6392059326172
2016-09-06,158.99600219726562
2016-09-07,153.98866271972656
2016-09-08,150.72695922851562
2016-09-09,151.23226928710938
2016-09-12,148.61375427246094
2016-09-14,146.04112243652344
2016-09-15,147.41932678222656
2016-09-16,143.14694213867188
2016-09-19,143.05508422851562
2016-09-20,143.6522674560547
2016-09-21,146.77615356445312
2016-09-22,145.6736602783203
2016-09-23,143.973876953125
2016-09-26,145.35203552246094
2016-09-27,143.422607421875
2016-09-28,140.85000610351562
2016-09-29,139.70150756835938
2016-09-30,141.44720458984375
2016-10-03,144.89266967773438
2016-10-04,150.5891571044922
2016-10-05,156.51531982421875
2016-10-06,158.5825958251953
2016-10-07,157.66380310058594
2016-10-10,159.17977905273438
2016-10-13,165.33566284179688
2016-10-14,163.2683868408203
2016-10-17,167.035400390625
2016-10-18,165.47349548339844
2016-10-19,164.00341796875
2016-10-20,169.01080322265625
2016-10-21,168.8729705810547
2016-10-24,171.44558715820312
2016-10-25,173.42098999023438
2016-10-26,169.01080322265625
2016-10-27,168.96485900878906
2016-10-28,168.78111267089844
2016-11-01,166.11663818359375
2016-11-02,159.59324645996094
2016-11-03,160.78765869140625
2016-11-04,161.75238037109375
2016-11-07,160.00668334960938
2016-11-08,154.95335388183594
2016-11-09,152.10513305664062
2016-11-10,149.39471435546875
2016-11-11,146.82208251953125
2016-11-15,134.0050506591797
2016-11-16,140.11495971679688
2016-11-17,139.56370544433594
2016-11-18,135.98040771484375
2016-11-21,140.94186401367188
2016-11-22,138.82867431640625
2016-11-23,134.96975708007812
2016-11-24,133.7294158935547
2016-11-25,133.3618927001953
2016-11-28,134.92381286621094
2016-11-29,134.28067016601562
2016-11-30,136.16415405273438
2016-12-01,135.6129150390625
2016-12-02,136.57763671875
2016-12-05,133.1781463623047
2016-12-06,134.0050506591797
2016-12-07,136.2560577392578
2016-12-08,142.18223571777344
2016-12-09,136.80734252929688
2016-12-12,129.91641235351562
2016-12-13,130.6973876953125
2016-12-14,131.11087036132812
2016-12-15,130.00833129882812
2016-12-16,132.21339416503906
2016-12-19,130.23802185058594
2016-12-20,132.53497314453125
2016-12-21,133.7753448486328
2016-12-22,130.00833129882812
2016-12-23,133.27001953125
2016-12-26,128.99765014648438
2016-12-27,131.47836303710938
2016-12-28,131.79994201660156
2016-12-29,134.18881225585938
2016-12-30,134.05099487304688
2017-01-02,137.03701782226562
2017-01-03,143.23883056640625
2017-01-04,139.83932495117188
2017-01-05,136.16415405273438
2017-01-06,136.76138305664062
2017-01-09,137.81800842285156
2017-01-10,138.55303955078125
2017-01-11,143.2847900390625
2017-01-12,142.13632202148438
2017-01-13,144.52513122558594
2017-01-16,147.28147888183594
2017-01-17,148.52188110351562
2017-01-18,151.8754425048828
2017-01-19,152.28890991210938
2017-01-20,152.8401641845703
2017-01-23,153.6670684814453
2017-01-24,157.38816833496094
2017-01-25,168.96485900878906
2017-01-27,172.45623779296875
2017-01-30,171.67529296875
2017-01-31,175.80982971191406
2017-02-01,176.912353515625
2017-02-02,177.41770935058594
2017-02-03,176.1773223876953
2017-02-06,173.09942626953125
2017-02-07,178.38241577148438
2017-02-08,177.32583618164062
2017-02-09,181.78195190429688
2017-02-10,180.17408752441406
2017-02-13,172.18060302734375
2017-02-14,170.1593017578125
2017-02-15,174.38572692871094
2017-02-16,174.5235137939453
2017-02-17,174.06414794921875
2017-02-20,172.86968994140625
2017-02-21,174.3397674560547
2017-02-22,173.65065002441406
2017-02-23,183.9410858154297
2017-02-27,177.14207458496094
2017-02-28,174.4775848388672
2017-03-01,173.09942626953125
2017-03-02,173.7425537109375
2017-03-03,172.63998413085938
2017-03-06,170.94024658203125
2017-03-07,171.7671661376953
2017-03-08,171.95089721679688
2017-03-09,174.5235137939453
2017-03-10,173.88037109375
2017-03-14,175.5341796875
2017-03-15,173.5128631591797
2017-03-16,181.59815979003906
2017-03-17,179.2552947998047
2017-03-20,179.53086853027344
2017-03-21,180.08218383789062
2017-03-22,179.89842224121094
2017-03-23,178.52027893066406
2017-03-24,182.2872772216797
2017-03-27,184.72206115722656
2017-03-28,181.7360076904297
2017-03-29,189.4537811279297
2017-03-30,194.41529846191406
2017-03-31,199.33074951171875
2017-04-03,206.63511657714844
2017-04-05,202.1790008544922
2017-04-06,200.3873748779297
2017-04-07,197.53912353515625
2017-04-10,193.90992736816406
2017-04-11,200.1576690673828
2017-04-12,197.53912353515625
2017-04-13,197.35537719726562
2017-04-17,194.2774200439453
2017-04-18,193.45053100585938
2017-04-19,194.23150634765625
2017-04-20,198.7335662841797
2017-04-21,200.66297912597656
2017-04-24,198.5498046875
2017-04-25,203.05186462402344
2017-04-26,202.5465087890625
2017-04-27,206.40542602539062
2017-04-28,202.08712768554688
2017-05-02,203.55718994140625
2017-05-03,198.274169921875
2017-05-04,205.25694274902344
2017-05-05,210.0346221923828
2017-05-08,216.51206970214844
2017-05-09,221.10598754882812
2017-05-10,218.11996459960938
2017-05-11,220.83041381835938
2017-05-12,216.83364868164062
2017-05-15,220.92225646972656
2017-05-16,224.32174682617188
2017-05-17,223.1273651123047
2017-05-18,211.87220764160156
2017-05-19,204.8434600830078
2017-05-22,206.63511657714844
2017-05-23,199.65235900878906
2017-05-24,200.47921752929688
2017-05-25,200.57110595703125
2017-05-26,206.54324340820312
2017-05-29,205.1190948486328
2017-05-30,201.9033966064453
2017-05-31,204.88941955566406
2017-06-01,213.43414306640625
2017-06-02,222.7598114013672
2017-06-05,216.3282928466797
2017-06-06,217.20115661621094
2017-06-07,216.2364501953125
2017-06-08,218.53343200683594
2017-06-09,215.96080017089844
2017-06-12,205.99197387695312
2017-06-13,205.53256225585938
2017-06-14,203.55718994140625
2017-06-15,201.6736602783203
2017-06-16,201.62770080566406
2017-06-19,202.27090454101562
2017-06-20,201.99525451660156
2017-06-21,202.08712768554688
2017-06-22,202.08712768554688
2017-06-23,201.4899139404297
2017-06-27,202.45465087890625
2017-06-28,202.13307189941406
2017-06-29,201.0764617919922
2017-06-30,208.05921936035156
2017-07-03,209.16177368164062
2017-07-04,206.45138549804688
2017-07-05,209.02395629882812
2017-07-06,207.82952880859375
2017-07-07,208.28892517089844
2017-07-10,206.5891876220703
2017-07-11,202.50057983398438
2017-07-12,203.83282470703125
2017-07-13,203.14370727539062
2017-07-14,198.5498046875
2017-07-17,197.49319458007812
2017-07-18,191.2454376220703
2017-07-19,187.84593200683594
2017-07-20,190.5301055908203
2017-07-21,189.3731231689453
2017-07-24,190.80776977539062
2017-07-25,189.04916381835938
2017-07-26,189.928466796875
2017-07-27,193.63076782226562
2017-07-28,193.3531036376953
2017-07-31,202.4237823486328
2017-08-01,199.78587341308594
2017-08-02,199.2305145263672
2017-08-03,198.5826416015625
2017-08-04,199.64706420898438
2017-08-07,200.34120178222656
2017-08-08,199.69332885742188
2017-08-09,199.9247283935547
2017-08-10,200.38748168945312
