Date,PNBHOUSING
2016-11-07,711.8212280273438
2016-11-08,781.1542358398438
2016-11-09,736.6229248046875
2016-11-10,745.3295288085938
2016-11-11,741.9747314453125
2016-11-15,646.0427856445312
2016-11-16,637.176513671875
2016-11-17,646.2824096679688
2016-11-18,650.1165771484375
2016-11-21,638.694091796875
2016-11-22,645.6034545898438
2016-11-23,658.5034790039062
2016-11-24,648.0397338867188
2016-11-25,694.488037109375
2016-11-28,677.1548461914062
2016-11-29,712.8197021484375
2016-11-30,724.36181640625
2016-12-01,723.6829833984375
2016-12-02,724.0424194335938
2016-12-05,682.666259765625
2016-12-06,691.4526977539062
2016-12-07,687.0594482421875
2016-12-08,712.3404541015625
2016-12-09,699.4803466796875
2016-12-12,682.666259765625
2016-12-13,683.74462890625
2016-12-14,680.908935546875
2016-12-15,685.2622680664062
2016-12-16,694.9273681640625
2016-12-19,693.3696899414062
2016-12-20,684.4235229492188
2016-12-21,700.7184448242188
2016-12-22,671.5234375
2016-12-23,668.2885131835938
2016-12-26,647.400634765625
2016-12-27,663.2562255859375
2016-12-28,660.3008422851562
2016-12-29,662.4973754882812
2016-12-30,671.044189453125
2017-01-02,665.053466796875
2017-01-03,663.3359985351562
2017-01-04,652.872314453125
2017-01-05,655.8276977539062
2017-01-06,649.4774780273438
2017-01-09,650.6356811523438
2017-01-10,647.7601928710938
2017-01-11,648.7185668945312
2017-01-12,648.1595458984375
2017-01-13,645.6834106445312
2017-01-16,641.6495971679688
2017-01-17,661.3790283203125
2017-01-18,662.7369995117188
2017-01-19,665.1333618164062
2017-01-20,662.3775634765625
2017-01-23,662.6970825195312
2017-01-24,687.498779296875
2017-01-25,750.2418823242188
2017-01-27,739.4984741210938
2017-01-30,727.1575317382812
2017-01-31,722.6445922851562
2017-02-01,730.7520141601562
2017-02-02,740.0975341796875
2017-02-03,750.801025390625
2017-02-06,785.667236328125
2017-02-07,792.1773071289062
2017-02-08,841.7406616210938
2017-02-09,843.0985717773438
2017-02-10,897.0153198242188
2017-02-13,872.3334350585938
2017-02-14,888.7880859375
2017-02-15,878.7635498046875
2017-02-16,896.456298828125
2017-02-17,868.6192016601562
2017-02-20,887.150634765625
2017-02-21,890.625244140625
2017-02-22,878.0047607421875
2017-02-23,876.3273315429688
2017-02-27,852.683837890625
2017-02-28,857.1968383789062
2017-03-01,837.746826171875
2017-03-02,816.97900390625
2017-03-03,800.68408203125
2017-03-06,800.005126953125
2017-03-07,794.7332763671875
2017-03-08,782.1127319335938
2017-03-09,783.750244140625
2017-03-10,769.8117065429688
2017-03-14,829.3997802734375
2017-03-15,867.9002685546875
2017-03-16,880.2013549804688
2017-03-17,879.5223388671875
2017-03-20,885.1936645507812
2017-03-21,888.8680419921875
2017-03-22,866.422607421875
2017-03-23,883.1168212890625
2017-03-24,883.5562744140625
2017-03-27,884.7142944335938
2017-03-28,930.5237426757812
2017-03-29,926.9292602539062
2017-03-30,910.1551513671875
2017-03-31,950.8523559570312
2017-04-03,966.6278686523438
2017-04-05,947.1380615234375
2017-04-06,940.6680297851562
2017-04-07,942.3054809570312
2017-04-10,946.1395874023438
2017-04-11,965.0304565429688
2017-04-12,959.0396118164062
2017-04-13,998.9381713867188
2017-04-17,1006.8458862304688
2017-04-18,1011.7183837890625
2017-04-19,991.7492065429688
2017-04-20,1023.260498046875
2017-04-21,1040.7535400390625
2017-04-24,1083.487548828125
2017-04-25,1107.5703125
2017-04-26,1098.0250244140625
2017-04-27,1086.84228515625
2017-04-28,1107.2509765625
2017-05-02,1081.8900146484375
2017-05-03,1093.232421875
2017-05-04,1097.4259033203125
2017-05-05,1055.4906005859375
2017-05-08,1043.3895263671875
2017-05-09,1029.610595703125
2017-05-10,1064.2371826171875
2017-05-11,1046.145263671875
2017-05-12,1063.6781005859375
2017-05-15,1073.782470703125
2017-05-16,1060.6826171875
2017-05-17,1055.8104248046875
2017-05-18,1039.7950439453125
2017-05-19,1013.5554809570312
2017-05-22,992.78759765625
2017-05-23,960.9168090820312
2017-05-24,1003.3312377929688
2017-05-25,1035.7613525390625
2017-05-26,1052.0560302734375
2017-05-29,1060.4429931640625
2017-05-30,1091.554931640625
2017-05-31,1113.8406982421875
2017-06-01,1114.51953125
2017-06-02,1098.0250244140625
2017-06-05,1102.1387939453125
2017-06-06,1113.0418701171875
2017-06-07,1180.9371337890625
2017-06-08,1227.2257080078125
2017-06-09,1280.4635009765625
2017-06-12,1323.1175537109375
2017-06-13,1343.5262451171875
2017-06-14,1313.4925537109375
