Date,ITC
1996-01-01,2.5990848541259766
1996-01-02,2.5008111000061035
1996-01-03,2.420640230178833
1996-01-04,2.4661567211151123
1996-01-05,2.4216747283935547
1996-01-08,2.3471932411193848
1996-01-09,2.3409862518310547
1996-01-10,2.333228588104248
1996-01-11,2.3456413745880127
1996-01-12,2.3689169883728027
1996-01-15,2.3435733318328857
1996-01-16,2.336331367492676
1996-01-17,2.3358144760131836
1996-01-18,2.306849241256714
1996-01-19,2.207024335861206
1996-01-22,2.19150710105896
1996-01-23,2.0559916496276855
1996-01-24,1.9670287370681763
1996-01-25,1.9468568563461304
1996-01-26,1.9468568563461304
1996-01-29,2.0559916496276855
1996-01-30,2.184265613555908
1996-01-31,2.102543354034424
1996-02-01,2.2334022521972656
1996-02-02,2.489431858062744
1996-02-05,2.6166698932647705
1996-02-06,2.591843605041504
1996-02-07,2.5535688400268555
1996-02-08,2.8220112323760986
1996-02-09,2.9151134490966797
1996-02-12,2.82356333732605
1996-02-13,2.8908028602600098
1996-02-14,2.9808008670806885
1996-02-15,3.010282278060913
1996-02-16,2.9208030700683594
1996-02-19,2.9197685718536377
1996-02-20,2.7914950847625732
1996-02-21,2.7914950847625732
1996-02-22,2.8597702980041504
1996-02-23,2.8230459690093994
1996-02-26,2.82977032661438
1996-02-27,2.8209762573242188
1996-02-28,2.8049421310424805
1996-02-29,2.628049612045288
1996-03-01,2.673048257827759
1996-03-04,2.6839113235473633
1996-03-05,2.6839113235473633
1996-03-06,2.680807113647461
1996-03-07,2.6471869945526123
1996-03-08,2.6083953380584717
1996-03-11,2.537017345428467
1996-03-12,2.4635705947875977
1996-03-13,2.659083127975464
1996-03-14,2.64149808883667
1996-03-15,2.6099460124969482
1996-03-18,2.42736554145813
1996-03-19,2.3689169883728027
1996-03-20,2.3689169883728027
1996-03-21,2.4356400966644287
1996-03-22,2.297538995742798
1996-03-25,2.142369270324707
1996-03-26,2.2116787433624268
1996-03-27,2.2427124977111816
1996-03-28,2.360123872756958
1996-03-29,2.316159248352051
1996-04-01,2.3482272624969482
1996-04-02,2.4304678440093994
1996-04-03,2.4294331073760986
1996-04-04,2.4915013313293457
1996-04-05,2.4915013313293457
1996-04-08,2.6068429946899414
1996-04-09,2.6523594856262207
1996-04-10,2.5752923488616943
1996-04-11,2.5525333881378174
1996-04-12,2.573223114013672
1996-04-15,2.5758094787597656
1996-04-16,2.631153106689453
1996-04-17,2.7609782218933105
1996-04-18,2.8468375205993652
1996-04-19,2.831838846206665
1996-04-22,2.7620127201080322
