Date,DATAPATTNS
2021-12-24,745.164306640625
2021-12-27,696.555908203125
2021-12-28,725.030029296875
2021-12-29,776.9942016601562
2021-12-30,768.1607666015625
2021-12-31,750.0005493164062
2022-01-03,763.47265625
2022-01-04,748.470703125
2022-01-05,762.2882690429688
2022-01-06,751.431640625
2022-01-07,731.0012817382812
2022-01-10,749.7044067382812
2022-01-11,753.356201171875
2022-01-12,744.1280517578125
2022-01-13,736.2815551757812
2022-01-14,728.9779052734375
2022-01-17,803.79052734375
2022-01-18,769.8880004882812
2022-01-19,784.741943359375
2022-01-20,773.14501953125
2022-01-21,748.8655395507812
2022-01-24,711.0645141601562
2022-01-25,726.3131713867188
2022-01-27,708.3009643554688
2022-01-28,731.692138671875
2022-01-31,712.3967895507812
2022-02-01,723.05615234375
2022-02-02,711.459228515625
2022-02-03,727.49755859375
2022-02-04,721.5263671875
2022-02-07,705.0438232421875
2022-02-08,694.8287963867188
2022-02-09,708.9424438476562
2022-02-10,709.4359130859375
2022-02-11,703.9581909179688
2022-02-14,641.5814819335938
2022-02-15,670.4505004882812
2022-02-16,668.7232666015625
2022-02-17,655.9420166015625
2022-02-18,640.6439208984375
2022-02-21,612.4658203125
2022-02-22,589.8148803710938
2022-02-23,606.9881591796875
2022-02-24,577.724365234375
2022-02-25,599.9806518554688
2022-02-28,605.55712890625
2022-03-02,653.8201293945312
2022-03-03,632.4026489257812
2022-03-04,614.7852783203125
2022-03-07,612.0216674804688
2022-03-08,634.426025390625
2022-03-09,703.8101806640625
2022-03-10,661.814453125
2022-03-11,654.6588745117188
2022-03-14,646.76318359375
2022-03-15,654.7083129882812
2022-03-16,665.2195434570312
2022-03-17,662.3079833984375
2022-03-21,668.2791137695312
2022-03-22,656.48486328125
2022-03-23,655.6458740234375
2022-03-24,672.6218872070312
2022-03-25,664.03515625
2022-03-28,666.1572265625
2022-03-29,703.61279296875
2022-03-30,714.07470703125
2022-03-31,693.7430419921875
2022-04-01,736.7750854492188
2022-04-04,747.3850708007812
2022-04-05,757.896240234375
2022-04-06,768.4568481445312
2022-04-07,801.0762939453125
2022-04-08,810.5018920898438
2022-04-11,860.4920654296875
2022-04-12,866.4139404296875
2022-04-13,867.3515014648438
2022-04-18,903.0799560546875
2022-04-19,869.8682250976562
2022-04-20,854.274169921875
2022-04-21,865.7230834960938
2022-04-22,845.2433471679688
2022-04-25,836.4592895507812
2022-04-26,807.1463012695312
2022-04-27,807.1463012695312
2022-04-28,827.1817626953125
2022-04-29,787.5055541992188
2022-05-02,767.8646850585938
2022-05-04,733.666015625
2022-05-05,749.1615600585938
2022-05-06,708.15283203125
2022-05-09,706.4256591796875
2022-05-10,682.3928833007812
2022-05-11,666.5025634765625
2022-05-12,653.2278442382812
2022-05-13,680.2708740234375
2022-05-16,698.3818359375
2022-05-17,711.75537109375
2022-05-18,723.8950805664062
2022-05-19,694.8780517578125
2022-05-20,725.572998046875
2022-05-23,748.3719482421875
2022-05-24,704.747802734375
2022-05-25,709.287841796875
2022-05-26,717.3317260742188
2022-05-27,729.2246704101562
2022-05-30,743.8812255859375
2022-05-31,754.6886596679688
2022-06-01,762.4856567382812
2022-06-02,772.2567138671875
2022-06-03,748.0758666992188
2022-06-06,742.844970703125
2022-06-07,737.1698608398438
2022-06-08,713.9266357421875
2022-06-09,715.949951171875
2022-06-10,712.3967895507812
2022-06-13,692.6080932617188
2022-06-14,694.335205078125
2022-06-15,692.9041748046875
2022-06-16,667.7362670898438
2022-06-17,662.3079833984375
2022-06-20,630.6261596679688
2022-06-21,659.1497192382812
2022-06-22,631.7118530273438
2022-06-23,633.8831787109375
2022-06-24,639.4595947265625
2022-06-27,651.2538452148438
2022-06-28,651.9940185546875
2022-06-29,645.628173828125
2022-06-30,632.1559448242188
2022-07-01,627.9119262695312
2022-07-04,632.9454956054688
2022-07-05,648.0956420898438
2022-07-06,685.1563720703125
2022-07-07,686.1433715820312
2022-07-08,699.5167846679688
2022-07-11,722.31591796875
2022-07-12,708.25146484375
2022-07-13,708.3995971679688
2022-07-14,720.3419799804688
