Date,RAILTEL
2021-02-26,111.43498229980469
2021-03-01,133.70359802246094
2021-03-02,160.42593383789062
2021-03-03,152.0235595703125
2021-03-04,149.17684936523438
2021-03-05,146.00869750976562
2021-03-08,141.37135314941406
2021-03-09,132.41795349121094
2021-03-10,136.2747802734375
2021-03-12,133.1985321044922
2021-03-15,130.0304412841797
2021-03-16,129.7090301513672
2021-03-17,123.51054382324219
2021-03-18,120.20467376708984
2021-03-19,119.92920684814453
2021-03-22,128.28564453125
2021-03-23,126.90821838378906
2021-03-24,123.14321899414062
2021-03-25,119.88327026367188
2021-03-26,117.0824966430664
2021-03-30,117.22023010253906
2021-03-31,117.35906982421875
2021-04-01,119.21013641357422
2021-04-05,115.18401336669922
2021-04-06,113.42548370361328
2021-04-07,114.30474853515625
2021-04-08,114.67497253417969
2021-04-09,113.1015396118164
2021-04-12,105.69718933105469
2021-04-13,108.10360717773438
2021-04-15,106.48389434814453
2021-04-16,106.3450698852539
2021-04-19,103.15193176269531
2021-04-20,102.0412826538086
2021-04-22,101.53223419189453
2021-04-23,114.02709197998047
2021-04-26,111.48184204101562
2021-04-27,114.72125244140625
2021-04-28,114.21221160888672
2021-04-29,112.91643524169922
2021-04-30,112.63876342773438
2021-05-03,111.0190658569336
2021-05-04,110.41747283935547
2021-05-05,110.88024139404297
2021-05-06,110.00096130371094
2021-05-07,113.14781188964844
2021-05-10,113.51805114746094
2021-05-11,118.74736785888672
2021-05-12,118.19203186035156
2021-05-14,116.29467010498047
2021-05-17,118.5159912109375
2021-05-18,119.9968490600586
2021-05-19,123.28253173828125
2021-05-20,120.73728942871094
2021-05-21,121.94049072265625
2021-05-24,120.8761215209961
2021-05-25,120.22822570800781
2021-05-26,119.62664794921875
2021-05-27,118.56226348876953
2021-05-28,118.88619232177734
2021-05-31,119.21013641357422
2021-06-01,117.7292709350586
2021-06-02,117.77555084228516
2021-06-03,121.10753631591797
2021-06-04,122.72722625732422
2021-06-07,127.40121459960938
2021-06-08,128.0028076171875
2021-06-09,141.6083526611328
2021-06-10,142.9503631591797
2021-06-11,138.7391357421875
2021-06-14,134.8518524169922
2021-06-15,139.24819946289062
2021-06-16,136.7492218017578
2021-06-17,135.916259765625
2021-06-18,133.60235595703125
2021-06-21,134.20396423339844
2021-06-22,138.2301025390625
2021-06-23,135.73110961914062
2021-06-24,135.63853454589844
2021-06-25,136.56411743164062
2021-06-28,133.6486358642578
2021-06-29,131.8438262939453
2021-06-30,130.87197875976562
2021-07-01,129.71505737304688
2021-07-02,131.33477783203125
2021-07-05,132.30661010742188
2021-07-06,132.58424377441406
2021-07-07,131.79751586914062
2021-07-08,132.49169921875
2021-07-09,131.7050018310547
2021-07-12,131.1033935546875
2021-07-13,132.908203125
2021-07-14,137.9987030029297
2021-07-15,137.25828552246094
2021-07-16,135.45343017578125
2021-07-19,133.37098693847656
2021-07-20,132.02894592285156
2021-07-22,131.8438262939453
2021-07-23,130.54806518554688
2021-07-26,131.566162109375
2021-07-27,130.40924072265625
2021-07-28,129.2060546875
2021-07-29,128.9283447265625
2021-07-30,128.6506805419922
2021-08-02,129.11343383789062
2021-08-03,128.2342071533203
2021-08-04,126.1517333984375
2021-08-05,125.04109954833984
2021-08-06,125.04109954833984
2021-08-09,125.08735656738281
2021-08-10,120.96868133544922
2021-08-11,121.15379333496094
2021-08-12,124.71713256835938
2021-08-13,121.80166625976562
2021-08-16,119.21013641357422
2021-08-17,118.6548080444336
2021-08-18,117.86809539794922
2021-08-20,115.64679718017578
2021-08-23,112.03718566894531
2021-08-24,113.98081970214844
2021-08-25,116.24838256835938
2021-08-26,115.87816619873047
2021-08-27,115.55424499511719
2021-08-30,116.8962631225586
2021-08-31,115.461669921875
2021-09-01,114.30474853515625
2021-09-02,115.83192443847656
2021-09-03,119.76546478271484
2021-09-06,123.28253173828125
2021-09-07,121.15379333496094
2021-09-08,121.61654663085938
2021-09-09,120.50588989257812
2021-09-13,117.49788665771484
2021-09-14,122.12559509277344
2021-09-15,121.89421844482422
2021-09-16,121.20006561279297
2021-09-17,120.96868133544922
2021-09-20,123.74530029296875
2021-09-21,122.39112091064453
2021-09-22,121.17701721191406
2021-09-23,120.61666107177734
2021-09-24,120.42986297607422
2021-09-27,119.40254211425781
2021-09-28,119.49592590332031
2021-09-29,120.10301208496094
2021-09-30,120.14968872070312
2021-10-01,119.40254211425781
2021-10-04,119.35586547851562
2021-10-05,119.44924926757812
2021-10-06,124.39905548095703
2021-10-07,125.19290161132812
2021-10-08,128.5550537109375
2021-10-11,125.19290161132812
2021-10-12,123.04485321044922
2021-10-13,124.63253021240234
2021-10-14,125.47307586669922
2021-10-18,130.1427001953125
2021-10-19,125.14619445800781
2021-10-20,120.38316345214844
2021-10-21,123.18495178222656
2021-10-22,127.94799041748047
2021-10-25,122.34441375732422
2021-10-26,122.99815368652344
2021-10-27,122.01753234863281
2021-10-28,120.10301208496094
2021-10-29,116.88096618652344
2021-11-01,114.82630157470703
2021-11-02,113.98578643798828
2021-11-03,112.4448013305664
2021-11-04,115.3399658203125
2021-11-08,115.57345581054688
2021-11-09,116.69416809082031
2021-11-10,117.34790802001953
2021-11-11,118.46861267089844
2021-11-12,117.44129943847656
2021-11-15,115.7602310180664
2021-11-16,115.48005676269531
2021-11-17,115.19986724853516
2021-11-18,113.19193267822266
2021-11-22,111.09060668945312
2021-11-23,111.97782897949219
2021-11-24,113.75228881835938
2021-11-25,113.19193267822266
2021-11-26,110.9971923828125
2021-11-29,106.84123229980469
2021-11-30,109.50292205810547
2021-12-01,111.79104614257812
2021-12-02,111.51087188720703
2021-12-03,111.37078094482422
2021-12-06,109.1760482788086
2021-12-07,110.53024291992188
2021-12-08,111.27737426757812
2021-12-09,115.29326629638672
2021-12-10,114.35933685302734
2021-12-13,113.79898834228516
2021-12-14,112.9117660522461
2021-12-15,111.04390716552734
2021-12-16,110.20336151123047
2021-12-17,109.1760482788086
2021-12-20,106.23417663574219
2021-12-21,108.14873504638672
2021-12-22,108.33551025390625
2021-12-23,108.7090835571289
2021-12-24,107.91525268554688
2021-12-27,107.86854553222656
2021-12-28,108.42890930175781
2021-12-29,108.61572265625
2021-12-30,108.52230072021484
2021-12-31,109.22274017333984
2022-01-03,109.31614685058594
2022-01-04,111.60426330566406
2022-01-05,111.83773040771484
2022-01-06,111.55756378173828
2022-01-07,111.79104614257812
2022-01-10,112.77167510986328
2022-01-11,112.58487701416016
2022-01-12,110.95052337646484
2022-01-13,109.96988677978516
2022-01-14,111.93113708496094
2022-01-17,113.37870788574219
2022-01-18,112.35140991210938
2022-01-19,112.21129608154297
2022-01-20,112.49562072753906
2022-01-21,111.54789733886719
2022-01-24,108.2782211303711
2022-01-25,108.84686279296875
2022-01-27,107.9939193725586
2022-01-28,108.79949188232422
2022-01-31,109.32073974609375
2022-02-01,108.56253814697266
2022-02-02,109.55767822265625
2022-02-03,109.03641510009766
2022-02-04,107.9939193725586
2022-02-07,106.71446990966797
2022-02-08,105.76673889160156
2022-02-09,106.14582824707031
2022-02-10,106.28800201416016
2022-02-11,105.67196655273438
2022-02-14,101.0754623413086
2022-02-15,99.89082336425781
2022-02-16,100.980712890625
2022-02-17,100.03296661376953
2022-02-18,97.521484375
2022-02-21,94.91521453857422
2022-02-22,93.44623565673828
2022-02-23,94.20442962646484
2022-02-24,88.42327117919922
2022-02-25,90.17656707763672
2022-02-28,87.71247863769531
2022-03-02,87.71247863769531
2022-03-03,87.66507720947266
2022-03-04,86.2908935546875
2022-03-07,83.73200988769531
2022-03-08,84.72713470458984
2022-03-09,85.76962280273438
2022-03-10,86.2908935546875
2022-03-11,87.75985717773438
2022-03-14,86.24347686767578
2022-03-15,84.5849609375
2022-03-16,85.3431396484375
2022-03-17,86.14871978759766
2022-03-21,85.76962280273438
2022-03-22,84.8218994140625
