Date,LINDEINDIA
2000-05-31,10.013836860656738
2000-06-01,9.986098289489746
2000-06-02,9.986098289489746
2000-06-05,9.986098289489746
2000-06-06,9.902881622314453
2000-06-07,10.013836860656738
2000-06-08,10.124795913696289
2000-06-09,10.110925674438477
2000-06-12,10.263489723205566
2000-06-13,10.471534729003906
2000-06-14,10.443795204162598
2000-06-15,10.318968772888184
2000-06-16,10.263489723205566
2000-06-19,10.221880912780762
2000-06-20,11.012447357177734
2000-06-21,10.818273544311523
2000-06-22,10.818273544311523
2000-06-23,10.54088306427002
2000-06-26,10.124795913696289
2000-06-27,10.485401153564453
2000-06-28,10.804403305053711
2000-06-29,10.859882354736328
2000-06-30,10.54088306427002
2000-07-03,10.443795204162598
2000-07-04,10.471534729003906
2000-07-05,10.429926872253418
2000-07-06,10.3744478225708
2000-07-07,10.873753547668457
2000-07-10,10.3744478225708
2000-07-11,10.471534729003906
2000-07-12,10.818273544311523
2000-07-13,10.263489723205566
2000-07-14,10.956971168518066
2000-07-17,10.443795204162598
2000-07-18,10.956971168518066
2000-07-19,10.818273544311523
2000-07-20,10.651840209960938
2000-07-21,10.67957878112793
2000-07-24,10.124795913696289
2000-07-25,9.986098289489746
2000-07-26,9.986098289489746
2000-07-27,10.40218448638916
2000-07-28,10.665708541870117
2000-07-31,10.180272102355957
2000-08-01,9.875143051147461
2000-08-02,9.597750663757324
2000-08-03,9.736448287963867
2000-08-04,9.986098289489746
2000-08-07,9.847404479980469
2000-08-08,9.791923522949219
2000-08-09,9.431315422058105
2000-08-10,9.639358520507812
2000-08-11,9.500663757324219
2000-08-14,9.375838279724121
2000-08-15,9.375838279724121
2000-08-16,9.500663757324219
2000-08-17,9.459054946899414
2000-08-18,9.694838523864746
2000-08-21,10.221880912780762
2000-08-22,10.23575210571289
2000-08-23,10.166402816772461
2000-08-24,10.984708786010742
2000-08-25,11.872361183166504
2000-08-28,12.829363822937012
2000-08-29,12.60744857788086
2000-08-30,11.927839279174805
2000-08-31,11.275972366333008
2000-09-01,11.275972366333008
2000-09-04,11.650449752807617
2000-09-05,11.23436164855957
2000-09-06,11.123404502868652
2000-09-07,11.317578315734863
2000-09-08,11.206623077392578
2000-09-11,11.192750930786133
2000-09-12,11.09566593170166
2000-09-13,11.09566593170166
2000-09-14,10.984708786010742
2000-09-15,10.818273544311523
2000-09-18,10.998578071594238
2000-09-19,10.859882354736328
2000-09-20,10.54088306427002
2000-09-21,10.263489723205566
2000-09-22,9.930620193481445
2000-09-25,9.83353328704834
2000-09-26,9.167794227600098
2000-09-27,9.653230667114258
2000-09-28,9.708706855773926
2000-09-29,9.570012092590332
2000-10-02,9.570012092590332
2000-10-03,9.708706855773926
2000-10-04,9.708706855773926
2000-10-05,9.708706855773926
2000-10-06,9.583879470825195
