Date,MFSL
1996-01-01,39.32145309448242
1996-01-02,38.010738372802734
1996-01-03,38.45914077758789
1996-01-04,38.63160705566406
1996-01-05,38.3729133605957
1996-01-08,38.11421585083008
1996-01-09,37.450225830078125
1996-01-10,38.63160705566406
1996-01-11,40.528690338134766
1996-01-12,41.04607391357422
1996-01-15,39.66637420654297
1996-01-16,39.66637420654297
1996-01-17,40.01129913330078
1996-01-18,40.01129913330078
1996-01-19,43.115631103515625
1996-01-22,41.830780029296875
1996-01-23,40.62354278564453
1996-01-24,40.356224060058594
1996-01-25,40.890865325927734
1996-01-26,40.890865325927734
1996-01-29,37.94175338745117
1996-01-30,38.450523376464844
1996-01-31,38.80406188964844
1996-02-01,40.18376159667969
1996-02-02,40.70115661621094
1996-02-05,43.115631103515625
1996-02-06,43.589900970458984
1996-02-07,43.115631103515625
1996-02-08,42.42578125
1996-02-09,42.08085250854492
1996-02-12,43.115631103515625
1996-02-13,41.3910026550293
1996-02-14,43.27084732055664
1996-02-15,45.185176849365234
1996-02-16,46.90980529785156
1996-02-19,47.496177673339844
1996-02-20,46.996036529541016
1996-02-21,46.996036529541016
1996-02-22,47.43580627441406
1996-02-23,50.7039794921875
1996-02-26,51.82498550415039
1996-02-27,50.876441955566406
1996-02-28,51.73875427246094
1996-02-29,47.85834503173828
1996-03-01,48.28950500488281
1996-03-04,50.33318328857422
1996-03-05,50.33318328857422
1996-03-06,47.944580078125
1996-03-07,47.944580078125
1996-03-08,49.2380485534668
1996-03-11,48.117034912109375
1996-03-12,46.56488037109375
1996-03-13,45.711185455322266
1996-03-14,45.185176849365234
1996-03-15,45.185176849365234
1996-03-18,45.185176849365234
1996-03-19,43.28809356689453
1996-03-20,43.28809356689453
1996-03-21,43.54677963256836
1996-03-22,42.42578125
1996-03-25,41.3910026550293
1996-03-26,39.502540588378906
1996-03-27,43.115631103515625
1996-03-28,43.28809356689453
1996-03-29,47.0822639465332
1996-04-01,48.332618713378906
1996-04-02,49.18630599975586
1996-04-03,50.014129638671875
1996-04-04,50.2728271484375
1996-04-05,50.2728271484375
1996-04-08,51.30759048461914
1996-04-09,52.5493278503418
1996-04-10,52.08367919921875
1996-04-11,52.08367919921875
1996-04-12,52.16990661621094
1996-04-15,53.782440185546875
1996-04-16,54.782718658447266
1996-04-17,55.18800354003906
1996-04-18,56.050315856933594
1996-04-19,56.050315856933594
1996-04-22,53.46337890625
1996-04-23,53.11845397949219
1996-04-24,55.179378509521484
