Date,SUNPHARMA
1996-01-01,1.3844460248947144
1996-01-02,1.3383572101593018
1996-01-03,1.3440073728561401
1996-01-04,1.3380603790283203
1996-01-05,1.334789514541626
1996-01-08,1.278591275215149
1996-01-09,1.2414228916168213
1996-01-10,1.3080283403396606
1996-01-11,1.2845380306243896
1996-01-12,1.3023781776428223
1996-01-15,1.279185175895691
1996-01-16,1.2964311838150024
1996-01-17,1.278591275215149
1996-01-18,1.269670844078064
1996-01-19,1.2438011169433594
1996-01-22,1.2488559484481812
1996-01-23,1.24290931224823
1996-01-24,1.2268521785736084
1996-01-25,1.2316101789474487
1996-01-26,1.2316101789474487
1996-01-29,1.24290931224823
1996-01-30,1.2577763795852661
1996-01-31,1.2506405115127563
1996-02-01,1.2666972875595093
1996-02-02,1.3199223279953003
1996-02-05,1.3648208379745483
1996-02-06,1.3561984300613403
1996-02-07,1.3677945137023926
1996-02-08,1.42131769657135
1996-02-09,1.5134940147399902
1996-02-12,1.4849494695663452
1996-02-13,1.5105212926864624
1996-02-14,1.566422462463379
1996-02-15,1.5735584497451782
1996-02-16,1.6362990140914917
1996-02-19,1.6357041597366333
1996-02-20,1.6636546850204468
1996-02-21,1.6636546850204468
1996-02-22,1.6654387712478638
1996-02-23,1.6651411056518555
1996-02-26,1.666033148765564
1996-02-27,1.6651411056518555
1996-02-28,1.6681140661239624
1996-02-29,1.6654387712478638
1996-03-01,1.667223572731018
1996-03-04,1.6752513647079468
1996-03-05,1.6752513647079468
1996-03-06,1.6357041597366333
1996-03-07,1.5878316164016724
1996-03-08,1.5661250352859497
1996-03-11,1.5908045768737793
1996-03-12,1.5643410682678223
1996-03-13,1.5801000595092773
1996-03-14,1.5774238109588623
1996-03-15,1.5759378671646118
1996-03-18,1.5640438795089722
1996-03-19,1.561367392539978
1996-03-20,1.561367392539978
1996-03-21,1.5524468421936035
1996-03-22,1.558097004890442
1996-03-25,1.5521496534347534
1996-03-26,1.5699907541275024
1996-03-27,1.5762348175048828
1996-03-28,1.587533712387085
1996-03-29,1.5937778949737549
1996-04-01,1.5937778949737549
1996-04-02,1.6116191148757935
1996-04-03,1.6131060123443604
1996-04-04,1.605672001838684
1996-04-05,1.605672001838684
1996-04-08,1.60715913772583
1996-04-09,1.605672001838684
1996-04-10,1.5833709239959717
1996-04-11,1.558097004890442
1996-04-12,1.5399584770202637
1996-04-15,1.5372823476791382
1996-04-16,1.558097004890442
1996-04-17,1.5759378671646118
1996-04-18,1.635406732559204
1996-04-19,1.6559232473373413
1996-04-22,1.6434353590011597
1996-04-23,1.6178628206253052
1996-04-24,1.6594918966293335
1996-04-25,1.6553293466567993
1996-04-26,1.6059693098068237
1996-04-29,1.6125108003616333
1996-04-30,1.6687098741531372
1996-05-01,1.726692795753479
1996-05-02,1.7504799365997314
1996-05-03,1.7769438028335571
1996-05-06,1.704688549041748
1996-05-07,1.6936869621276855
1996-05-08,1.694875955581665
1996-05-09,1.6529501676559448
1996-05-10,1.6151875257492065
1996-05-13,1.6710882186889648
1996-05-14,1.645813226699829
1996-05-15,1.6910104751586914
1996-05-16,1.6770353317260742
1996-05-17,1.662168025970459
1996-05-20,1.605672001838684
1996-05-21,1.5682063102722168
1996-05-22,1.629460096359253
1996-05-23,1.6086453199386597
1996-05-24,1.5848579406738281
