Date,RATNAMANI
2006-05-09,46.32056427001953
2006-05-10,45.894168853759766
2006-05-11,43.86214065551758
2006-05-12,42.29865264892578
2006-05-15,41.67219543457031
2006-05-16,42.53028106689453
2006-05-17,44.65705490112305
2006-05-18,44.15168380737305
2006-05-19,42.145973205566406
2006-05-22,40.04026412963867
2006-05-23,39.266414642333984
2006-05-24,38.86106491088867
2006-05-25,40.772003173828125
2006-05-26,40.35084915161133
2006-05-29,39.687557220458984
2006-05-30,41.056278228759766
2006-05-31,39.003196716308594
2006-06-01,37.05540084838867
2006-06-02,35.27080535888672
2006-06-05,34.9549446105957
2006-06-06,33.20719909667969
2006-06-07,33.20719909667969
2006-06-08,33.20719909667969
2006-06-09,33.20719909667969
2006-06-12,32.10696029663086
2006-06-13,31.548946380615234
2006-06-14,31.548946380615234
2006-06-15,30.596107482910156
2006-06-16,32.128028869628906
2006-06-19,33.7388916015625
2006-06-20,35.42873764038086
2006-06-21,37.20280456542969
2006-06-22,37.50814437866211
2006-06-23,36.6342658996582
2006-06-26,35.376094818115234
2006-06-27,34.00737380981445
2006-06-28,34.7443733215332
2006-06-29,33.90209197998047
2006-06-30,35.52875900268555
2006-07-03,35.74459457397461
2006-07-04,35.78670883178711
2006-07-05,34.849666595458984
2006-07-06,34.87598419189453
2006-07-07,34.839141845703125
2006-07-10,33.391448974609375
2006-07-11,34.7443733215332
2006-07-12,35.497169494628906
2006-07-13,35.79723358154297
2006-07-14,34.849666595458984
2006-07-17,35.79723358154297
2006-07-18,34.0284309387207
2006-07-19,32.37544250488281
2006-07-20,30.98040771484375
2006-07-21,29.480072021484375
2006-07-24,30.006507873535156
2006-07-25,29.480072021484375
2006-07-26,30.54346466064453
2006-07-27,32.05958557128906
2006-07-28,32.11222839355469
2006-07-31,33.712581634521484
2006-08-01,34.42325973510742
2006-08-02,33.16509246826172
2006-08-03,32.67024230957031
2006-08-04,33.35987091064453
2006-08-07,32.1754035949707
2006-08-08,32.98610305786133
2006-08-09,34.63908386230469
2006-08-10,35.976219177246094
2006-08-11,35.01285934448242
2006-08-14,36.13414764404297
2006-08-16,36.78166580200195
2006-08-17,35.90251541137695
2006-08-18,35.90251541137695
2006-08-21,37.481815338134766
2006-08-22,39.35063934326172
2006-08-23,37.39232635498047
2006-08-24,35.90251541137695
2006-08-25,36.850093841552734
2006-08-28,37.26598358154297
2006-08-29,35.49191665649414
2006-08-30,35.49191665649414
2006-08-31,35.141868591308594
2006-09-01,36.17076873779297
2006-09-04,36.91328811645508
2006-09-05,37.05648422241211
2006-09-06,36.48898696899414
2006-09-07,36.48898696899414
2006-09-08,37.64518356323242
