Date,BAYERCROP
2010-01-08,452.7144470214844
2010-01-11,452.6736755371094
2010-01-12,442.6956787109375
2010-01-13,443.3066101074219
2010-01-14,452.4293212890625
2010-01-15,458.3346862792969
2010-01-18,469.2085266113281
2010-01-19,468.1498107910156
2010-01-20,470.38970947265625
2010-01-21,455.4837951660156
2010-01-22,442.4920654296875
2010-01-25,439.1117248535156
2010-01-27,437.482666015625
2010-01-28,436.4237976074219
2010-01-29,438.9895935058594
2010-02-01,444.16180419921875
2010-02-02,455.6873779296875
2010-02-03,454.5471496582031
2010-02-04,442.20709228515625
2010-02-05,438.1750183105469
2010-02-06,438.2159118652344
2010-02-08,455.40234375
2010-02-09,453.73260498046875
2010-02-10,448.19378662109375
2010-02-11,450.2300720214844
2010-02-15,440.9446105957031
2010-02-16,455.19873046875
2010-02-17,467.2536926269531
2010-02-18,481.9967041015625
2010-02-19,477.8017883300781
2010-02-22,478.20916748046875
2010-02-23,477.51678466796875
2010-02-24,477.06878662109375
2010-02-25,483.46295166015625
2010-02-26,480.5713195800781
2010-03-02,494.1331481933594
2010-03-03,496.53607177734375
2010-03-04,491.2008361816406
2010-03-05,500.4048767089844
2010-03-08,517.2249755859375
2010-03-09,551.2720947265625
2010-03-10,539.8687133789062
2010-03-11,537.30322265625
2010-03-12,535.999755859375
2010-03-15,532.5380859375
2010-03-16,522.6416015625
2010-03-17,526.4292602539062
2010-03-18,510.5865478515625
2010-03-19,510.505126953125
2010-03-22,503.9483337402344
2010-03-23,498.73516845703125
2010-03-25,493.6036071777344
2010-03-26,499.3461608886719
2010-03-29,494.2145690917969
2010-03-30,517.34716796875
2010-03-31,530.5833740234375
2010-04-01,530.42041015625
2010-04-05,535.877685546875
2010-04-06,532.2529907226562
2010-04-07,529.4835815429688
2010-04-08,549.3580322265625
2010-04-09,527.3659057617188
2010-04-12,529.4835815429688
2010-04-13,521.6640625
2010-04-15,556.2001342773438
2010-04-16,566.1375122070312
2010-04-19,576.8485107421875
2010-04-20,611.05859375
2010-04-21,648.9341430664062
2010-04-22,641.64404296875
2010-04-23,653.73974609375
2010-04-26,657.6903686523438
2010-04-27,635.3314208984375
2010-04-28,635.0057373046875
2010-04-29,653.4140014648438
2010-04-30,651.3776245117188
2010-05-03,644.861572265625
2010-05-04,627.552734375
2010-05-05,623.6431274414062
2010-05-06,635.6165771484375
