Date,ALKYLAMINE
2007-11-26,16.332717895507812
2007-11-27,13.393831253051758
2007-11-28,13.990235328674316
2007-11-29,14.16987133026123
2007-11-30,14.945910453796387
2007-12-03,14.550704956054688
2007-12-04,13.939934730529785
2007-12-05,14.550704956054688
2007-12-06,14.802202224731445
2007-12-07,14.320772171020508
2007-12-10,13.810598373413086
2007-12-11,13.839337348937988
2007-12-12,14.083648681640625
2007-12-13,14.227357864379883
2007-12-14,14.227357864379883
2007-12-17,14.37106990814209
2007-12-18,14.356695175170898
2007-12-19,13.860898971557617
2007-12-20,13.96867847442627
2007-12-24,14.098020553588867
2007-12-26,14.493223190307617
2007-12-27,15.355488777160645
2007-12-28,15.542311668395996
2007-12-31,17.137500762939453
2008-01-01,16.562652587890625
2008-01-02,17.518329620361328
2008-01-03,18.186586380004883
2008-01-04,18.63927459716797
2008-01-07,19.1135196685791
2008-01-08,17.90635108947754
2008-01-09,17.388992309570312
2008-01-10,16.88600730895996
2008-01-11,16.677621841430664
2008-01-14,16.5770263671875
2008-01-15,16.239307403564453
2008-01-16,16.91474723815918
2008-01-17,17.23090934753418
2008-01-18,17.388992309570312
2008-01-21,16.526731491088867
2008-01-22,16.526731491088867
2008-01-23,16.526731491088867
2008-01-24,14.083648681640625
2008-01-25,14.414182662963867
2008-01-28,14.715973854064941
2008-01-29,15.880033493041992
2008-01-30,14.234541893005371
2008-01-31,14.802202224731445
2008-02-01,14.227357864379883
2008-02-04,15.08962345123291
2008-02-05,15.800990104675293
2008-02-06,16.081226348876953
2008-02-07,15.80817699432373
2008-02-08,14.514780044555664
2008-02-11,14.227357864379883
2008-02-12,13.50880241394043
2008-02-13,13.099227905273438
2008-02-14,14.945910453796387
2008-02-15,13.652514457702637
2008-02-18,15.118367195129395
2008-02-19,14.830939292907715
2008-02-20,14.205803871154785
2008-02-21,14.076461791992188
2008-02-22,12.804619789123535
2008-02-25,13.343536376953125
2008-02-26,13.048929214477539
2008-02-27,13.544730186462402
2008-02-28,13.544730186462402
2008-02-29,13.544730186462402
2008-03-03,12.790250778198242
2008-03-04,12.9339599609375
2008-03-05,12.9339599609375
2008-03-07,13.480064392089844
2008-03-10,12.071695327758789
2008-03-11,14.21298599243164
2008-03-12,14.004603385925293
2008-03-13,13.178269386291504
2008-03-14,12.35911750793457
2008-03-17,12.869288444519043
2008-03-18,12.869288444519043
2008-03-19,11.927987098693848
