Date,NIACL
2017-11-13,339.1046447753906
2017-11-14,327.2819519042969
2017-11-15,318.39739990234375
2017-11-16,318.0009765625
2017-11-17,315.0627746582031
2017-11-20,311.6348571777344
2017-11-21,311.09857177734375
2017-11-22,310.1191711425781
2017-11-23,304.032958984375
2017-11-24,302.47052001953125
2017-11-27,297.8533935546875
2017-11-28,297.6202392578125
2017-11-29,298.0166320800781
2017-11-30,295.3582458496094
2017-12-01,289.0621032714844
2017-12-04,281.1803283691406
2017-12-05,276.0968017578125
2017-12-06,272.5289611816406
2017-12-07,270.7334289550781
2017-12-08,271.8994140625
2017-12-11,270.5468444824219
2017-12-12,268.9844665527344
2017-12-13,261.8022155761719
2017-12-14,257.34832763671875
2017-12-15,254.75991821289062
2017-12-18,263.62115478515625
2017-12-19,277.892333984375
2017-12-20,286.8701477050781
2017-12-21,288.0127868652344
2017-12-22,286.5903015136719
2017-12-26,285.7741394042969
2017-12-27,279.9910583496094
2017-12-28,279.6878967285156
2017-12-29,280.3408203125
2018-01-01,284.77142333984375
2018-01-02,286.8001708984375
2018-01-03,289.6917724609375
2018-01-04,291.2774353027344
2018-01-05,291.6038513183594
2018-01-08,292.6999206542969
2018-01-09,294.8685607910156
2018-01-10,292.4900207519531
2018-01-11,294.42547607421875
2018-01-12,290.4379577636719
2018-01-15,289.27203369140625
2018-01-16,285.37774658203125
2018-01-17,286.3337707519531
2018-01-18,284.0718688964844
2018-01-19,282.8592834472656
2018-01-22,288.10601806640625
2018-01-23,289.2953186035156
2018-01-24,291.2774353027344
2018-01-25,296.01123046875
2018-01-29,298.5063171386719
2018-01-30,298.3664245605469
2018-01-31,297.15386962890625
2018-02-01,312.0780029296875
2018-02-02,304.56927490234375
2018-02-05,320.1463623046875
2018-02-06,313.4537658691406
2018-02-07,314.71295166015625
2018-02-08,322.5015563964844
2018-02-09,324.88006591796875
2018-02-12,343.95501708984375
2018-02-14,339.57098388671875
2018-02-15,343.4886474609375
2018-02-16,330.4766540527344
2018-02-19,326.8854675292969
2018-02-20,328.89093017578125
2018-02-21,328.7976379394531
2018-02-22,328.6578063964844
2018-02-23,328.7976379394531
2018-02-26,332.4820861816406
2018-02-27,334.2543029785156
2018-02-28,331.5260009765625
2018-03-01,331.6192932128906
2018-03-05,327.7483215332031
2018-03-06,312.91741943359375
2018-03-07,317.1614990234375
2018-03-08,320.2862854003906
2018-03-09,318.3507385253906
2018-03-12,319.5633544921875
2018-03-13,320.169677734375
2018-03-14,320.7060241699219
2018-03-15,320.82257080078125
2018-03-16,324.29705810546875
2018-03-19,319.44677734375
2018-03-20,316.8583679199219
2018-03-21,322.9912109375
2018-03-22,315.3659362792969
2018-03-23,309.6294860839844
2018-03-26,314.3398742675781
2018-03-27,326.0693664550781
2018-03-28,332.4587707519531
2018-04-02,328.4478759765625
2018-04-03,321.6620788574219
2018-04-04,316.4852294921875
2018-04-05,315.69244384765625
2018-04-06,316.5318908691406
2018-04-09,313.5470275878906
2018-04-10,314.47979736328125
2018-04-11,309.5362243652344
2018-04-12,307.1576843261719
2018-04-13,311.3084411621094
2018-04-16,309.3030090332031
2018-04-17,308.6267395019531
2018-04-18,307.8805847167969
2018-04-19,308.5567626953125
2018-04-20,307.92718505859375
2018-04-23,310.5622863769531
2018-04-24,316.88165283203125
2018-04-25,315.552490234375
2018-04-26,310.4222717285156
2018-04-27,309.51287841796875
2018-04-30,309.1164855957031
2018-05-02,309.4662170410156
2018-05-03,310.51556396484375
2018-05-04,309.32635498046875
2018-05-07,317.7677307128906
2018-05-08,323.9473571777344
2018-05-09,324.4137268066406
2018-05-10,322.6181640625
2018-05-11,324.390380859375
2018-05-14,329.49725341796875
2018-05-15,322.3382873535156
2018-05-16,318.6539611816406
2018-05-17,313.8501892089844
2018-05-18,311.145263671875
2018-05-21,309.1864013671875
2018-05-22,310.49224853515625
2018-05-23,315.29595947265625
2018-05-24,312.91741943359375
2018-05-25,315.3892822265625
2018-05-28,337.0992431640625
2018-05-29,348.82867431640625
2018-05-30,337.2857971191406
2018-05-31,318.23419189453125
2018-06-01,314.9928894042969
2018-06-04,314.8995666503906
2018-06-05,299.4390869140625
2018-06-06,298.5762939453125
2018-06-07,300.51171875
2018-06-08,300.4184875488281
2018-06-11,293.2828369140625
2018-06-12,294.6353454589844
2018-06-13,297.66680908203125
2018-06-14,296.57086181640625
2018-06-15,288.40924072265625
2018-06-18,291.7904357910156
2018-06-19,290.97430419921875
2018-06-20,295.8713073730469
2018-06-21,298.9493713378906
2018-06-22,302.12078857421875
2018-06-25,304.989013671875
2018-06-26,304.1961364746094
2018-06-27,304.2198486328125
2018-06-28,301.2832946777344
