Date,CAPLIPOINT
2014-06-23,33.6660270690918
2014-06-24,33.51554870605469
2014-06-25,34.08919143676758
2014-06-26,33.80707931518555
2014-06-27,37.18307113647461
2014-06-30,40.89761734008789
2014-07-01,44.97892761230469
2014-07-02,47.22644805908203
2014-07-03,49.58684158325195
2014-07-04,52.06007385253906
2014-07-07,52.539669036865234
2014-07-08,49.915985107421875
2014-07-09,47.753074645996094
2014-07-10,49.90657043457031
2014-07-11,49.88776397705078
2014-07-14,47.80949783325195
2014-07-15,50.19808578491211
2014-07-16,52.69953536987305
2014-07-17,55.03170394897461
2014-07-18,57.777652740478516
2014-07-21,60.66464614868164
2014-07-22,63.692691802978516
2014-07-23,63.7491340637207
2014-07-24,60.57061004638672
2014-07-25,59.42333984375
2014-07-28,62.15987014770508
2014-07-30,65.26316833496094
2014-07-31,68.5263442993164
2014-08-01,69.5701675415039
2014-08-04,68.33824157714844
2014-08-05,69.06234741210938
2014-08-06,66.67375946044922
2014-08-07,65.9778823852539
2014-08-08,63.65508270263672
2014-08-11,65.05628204345703
2014-08-12,64.53907012939453
2014-08-13,67.70819091796875
2014-08-14,70.46353149414062
2014-08-18,72.82392883300781
2014-08-19,75.14669799804688
2014-08-20,78.89884948730469
2014-08-21,82.83907318115234
2014-08-22,80.16836547851562
2014-08-25,79.0304946899414
2014-08-26,75.08084869384766
2014-08-27,78.83300018310547
2014-08-28,82.77322387695312
2014-09-01,83.49736022949219
2014-09-02,83.25284576416016
2014-09-03,81.0805435180664
2014-09-04,82.88610076904297
2014-09-05,84.55058288574219
2014-09-08,88.77294921875
2014-09-09,93.21160888671875
2014-09-10,97.86653900146484
2014-09-11,96.55941009521484
2014-09-12,94.6880111694336
2014-09-15,99.4181900024414
2014-09-16,94.98892974853516
2014-09-17,91.55651092529297
2014-09-18,94.31183624267578
2014-09-19,92.60033416748047
2014-09-22,89.61929321289062
2014-09-23,87.52222442626953
2014-09-24,83.36569213867188
2014-09-25,79.19976806640625
2014-09-26,75.65449523925781
2014-09-29,74.33792877197266
2014-09-30,78.0525131225586
2014-10-01,81.76704406738281
2014-10-07,78.5885238647461
2014-10-08,72.41012573242188
2014-10-09,73.91474914550781
2014-10-10,71.64842224121094
2014-10-13,72.34429168701172
2014-10-14,70.23783874511719
2014-10-15,70.23783874511719
2014-10-16,65.94963073730469
2014-10-17,65.41361236572266
2014-10-20,64.15349578857422
2014-10-21,73.22827911376953
2014-10-22,81.78582763671875
2014-10-27,79.5477066040039
2014-10-28,75.67330169677734
2014-10-29,77.18730926513672
2014-10-30,77.12147521972656
2014-10-31,75.59806823730469
2014-11-03,75.48519897460938
2014-11-05,76.10588073730469
2014-11-07,75.83316040039062
2014-11-10,85.34992980957031
2014-11-11,83.34690856933594
2014-11-12,82.0773696899414
2014-11-13,81.91749572753906
