Date,PSB
2010-12-30,99.92127990722656
2010-12-31,100.86431884765625
2011-01-03,101.7680435180664
2011-01-04,100.982177734375
2011-01-05,99.21401977539062
2011-01-06,97.01361846923828
2011-01-07,94.34173583984375
2011-01-10,93.3987045288086
2011-01-11,94.34173583984375
2011-01-12,94.4989013671875
2011-01-13,94.02738952636719
2011-01-14,93.75233459472656
2011-01-17,93.7130355834961
2011-01-18,94.18453979492188
2011-01-19,94.10597229003906
2011-01-20,94.42031860351562
2011-01-21,95.99201965332031
2011-01-24,95.67768859863281
2011-01-25,93.43798828125
2011-01-27,90.88397979736328
2011-01-28,86.12955474853516
2011-01-31,82.8682632446289
2011-02-01,84.91146850585938
2011-02-02,84.67572021484375
2011-02-03,85.8544921875
2011-02-04,83.92916107177734
2011-02-07,84.04702758789062
2011-02-08,81.88593292236328
2011-02-09,77.40656280517578
2011-02-10,76.8957748413086
2011-02-11,78.34959411621094
2011-02-14,81.8466567993164
2011-02-15,82.00382232666016
2011-02-16,82.3967514038086
2011-02-17,82.5146255493164
2011-02-18,83.33975982666016
2011-02-21,83.37907409667969
2011-02-22,81.8073501586914
2011-02-23,81.53231048583984
2011-02-24,81.29655456542969
2011-02-25,80.19636535644531
2011-02-28,81.6894760131836
2011-03-01,82.47533416748047
2011-03-03,81.3358383178711
2011-03-04,82.1217041015625
2011-03-07,80.86433410644531
2011-03-08,80.86433410644531
2011-03-09,81.17867279052734
2011-03-10,81.29655456542969
2011-03-11,80.15706634521484
2011-03-14,80.11776733398438
2011-03-15,80.0391845703125
2011-03-16,79.13545227050781
2011-03-17,78.58535766601562
2011-03-18,77.95668029785156
2011-03-21,77.52445983886719
2011-03-22,77.68163299560547
2011-03-23,78.07455444335938
2011-03-24,78.66394805908203
2011-03-25,79.56766510009766
2011-03-28,83.26117706298828
2011-03-29,82.59322357177734
2011-03-30,84.83289337158203
2011-03-31,85.97238159179688
2011-04-01,85.77592468261719
2011-04-04,88.44783020019531
2011-04-05,89.90164947509766
2011-04-06,88.84075164794922
2011-04-07,89.15509796142578
2011-04-08,86.36530303955078
2011-04-11,85.18653106689453
2011-04-13,86.52246856689453
2011-04-15,86.99398803710938
2011-04-18,85.65803527832031
2011-04-19,85.77592468261719
2011-04-20,86.48318481445312
2011-04-21,86.32601928710938
2011-04-25,88.25135803222656
2011-04-26,87.34764099121094
2011-04-27,88.52639770507812
2011-04-28,87.34764099121094
2011-04-29,86.67965698242188
2011-05-02,83.69342041015625
2011-05-03,81.76807403564453
2011-05-04,80.54999542236328
2011-05-05,79.56766510009766
2011-05-06,81.06079864501953
2011-05-09,79.52837371826172
2011-05-10,79.29263305664062
2011-05-11,79.52837371826172
2011-05-12,78.58535766601562
2011-05-13,78.97828674316406
2011-05-16,77.91738891601562
2011-05-17,77.64234161376953
2011-05-18,77.83879852294922
2011-05-19,77.52445983886719
2011-05-20,77.5637435913086
2011-05-23,76.81718444824219
2011-05-24,76.42426300048828
2011-05-25,76.18849182128906
2011-05-26,77.17081451416016
2011-05-27,80.19636535644531
2011-05-30,80.78575897216797
2011-05-31,85.79479217529297
2011-06-01,83.95146179199219
2011-06-02,81.70740509033203
2011-06-03,81.4269027709961
2011-06-06,80.94603729248047
2011-06-07,82.14820098876953
2011-06-08,82.5489273071289
2011-06-09,81.30669403076172
2011-06-10,81.70740509033203
2011-06-13,81.34676361083984
2011-06-14,83.4305191040039
2011-06-15,82.82943725585938
2011-06-16,82.50885009765625
2011-06-17,81.82763671875
2011-06-20,80.14459228515625
2011-06-21,81.02619171142578
2011-06-22,80.30488586425781
2011-06-23,80.14459228515625
