Date,SIEMENS
1999-01-04,9.83407211303711
1999-01-05,10.035951614379883
1999-01-06,9.674168586730957
1999-01-07,9.536251068115234
1999-01-08,10.113905906677246
1999-01-11,10.193855285644531
1999-01-12,9.914026260375977
1999-01-13,9.594216346740723
1999-01-14,9.43631362915039
1999-01-15,9.310389518737793
1999-01-18,9.194456100463867
1999-01-19,8.458901405334473
1999-01-20,8.458901405334473
1999-01-21,8.195058822631836
1999-01-22,8.027161598205566
1999-01-25,7.655384063720703
1999-01-26,7.655384063720703
1999-01-27,8.11311149597168
1999-01-28,7.685367584228516
1999-01-29,7.657384872436523
1999-02-01,7.27561616897583
1999-02-02,6.99578332901001
1999-02-03,7.119707107543945
1999-02-04,7.411534309387207
1999-02-05,7.755325794219971
1999-02-08,7.395541667938232
1999-02-09,7.359563827514648
1999-02-10,7.775315761566162
1999-02-11,7.5134711265563965
1999-02-12,7.355566501617432
1999-02-15,7.373554229736328
1999-02-16,7.965198516845703
1999-02-17,8.602814674377441
1999-02-18,8.514867782592773
1999-02-19,8.354963302612305
1999-02-22,8.125101089477539
1999-02-23,8.035157203674316
1999-02-24,8.195058822631836
1999-02-25,7.8352789878845215
1999-02-26,7.7153520584106445
1999-03-01,8.07513427734375
1999-03-02,8.07513427734375
1999-03-03,8.191062927246094
1999-03-04,8.10511589050293
1999-03-05,8.754722595214844
1999-03-08,9.456299781799316
1999-03-09,10.213844299316406
1999-03-10,11.031351089477539
1999-03-11,11.233231544494629
1999-03-12,11.593009948730469
1999-03-15,11.832868576049805
1999-03-16,11.193253517150879
1999-03-17,11.752913475036621
1999-03-18,12.694348335266113
1999-03-19,12.032747268676758
1999-03-22,12.272603034973145
1999-03-23,11.852855682373047
1999-03-24,11.818877220153809
1999-03-25,11.672966957092285
1999-03-26,11.27320384979248
1999-03-29,11.27320384979248
1999-03-30,10.47169017791748
1999-03-31,10.777503967285156
1999-04-01,10.593613624572754
1999-04-02,10.593613624572754
1999-04-05,9.754121780395508
1999-04-06,9.606206893920898
1999-04-07,9.874049186706543
1999-04-08,9.472290992736816
1999-04-09,9.194456100463867
1999-04-12,9.238433837890625
1999-04-13,8.754722595214844
1999-04-14,8.754722595214844
1999-04-15,8.055146217346191
1999-04-16,8.700756072998047
1999-04-19,7.695361137390137
1999-04-20,7.615410804748535
1999-04-21,7.857264041900635
1999-04-22,8.486884117126465
1999-04-23,8.65478515625
1999-04-26,8.510870933532715
1999-04-27,8.510870933532715
1999-04-28,8.954604148864746
1999-04-29,9.394335746765137
1999-04-30,9.270414352416992
1999-05-03,9.174469947814941
1999-05-04,9.394335746765137
1999-05-05,9.202454566955566
1999-05-06,8.99457836151123
1999-05-07,9.274408340454102
1999-05-10,9.274408340454102
1999-05-11,10.01396369934082
1999-05-12,9.430316925048828
1999-05-13,9.55823802947998
1999-05-14,9.414322853088379
1999-05-17,9.654181480407715
1999-05-18,9.634193420410156
1999-05-19,10.405728340148926
1999-05-20,9.993977546691895
1999-05-21,9.456299781799316
1999-05-24,9.384343147277832
1999-05-25,9.344369888305664
1999-05-26,8.954604148864746
1999-05-27,8.634795188903809
1999-05-28,8.275010108947754
1999-05-31,8.594820022583008
1999-06-01,8.14509105682373
