Date,POONAWALLA
2004-04-27,4.202231407165527
2004-04-28,4.202231407165527
2004-04-29,4.202231407165527
2004-04-30,4.5384111404418945
2004-05-03,4.227445602416992
2004-05-04,4.336704254150391
2004-05-05,4.412343978881836
2004-05-06,4.387129306793213
2004-05-07,4.319893836975098
2004-05-10,4.530005931854248
2004-05-11,4.336704254150391
2004-05-12,4.4963884353637695
2004-05-13,4.479579448699951
2004-05-14,4.244255065917969
2004-05-17,3.9416937828063965
2004-05-18,3.832435369491577
2004-05-19,4.185422897338867
2004-05-20,4.202231407165527
2004-05-21,4.118187427520752
2004-05-24,4.126590728759766
2004-05-25,4.076164245605469
2004-05-26,3.9585025310516357
2004-05-27,4.084568977355957
2004-05-28,3.8912672996520996
2004-05-31,3.471043109893799
2004-06-01,3.580301523208618
2004-06-02,3.8660531044006348
2004-06-03,3.5634915828704834
2004-06-04,4.017334461212158
2004-06-07,3.714773654937744
2004-06-08,3.714773654937744
2004-06-09,3.714773654937744
2004-06-10,3.849243640899658
2004-06-11,3.849243640899658
2004-06-14,3.849243640899658
2004-06-15,3.1936962604522705
2004-06-16,3.832435369491577
2004-06-17,3.7904136180877686
2004-06-18,3.7904136180877686
2004-06-21,3.4962570667266846
2004-06-22,3.4962570667266846
2004-06-23,3.4962570667266846
2004-06-24,3.4962570667266846
2004-06-25,3.9837148189544678
2004-06-28,3.9837148189544678
2004-06-29,3.4458296298980713
2004-06-30,3.4458296298980713
2004-07-01,3.4458296298980713
2004-07-02,3.782008647918701
2004-07-05,3.765199899673462
2004-07-06,3.672750473022461
2004-07-07,3.5130650997161865
2004-07-08,3.5130650997161865
2004-07-09,3.5130650997161865
2004-07-12,3.5130650997161865
2004-07-13,3.5130650997161865
2004-07-14,3.227313280105591
2004-07-15,3.8660531044006348
2004-07-16,3.6979634761810303
2004-07-19,3.6979634761810303
2004-07-20,3.538278818130493
2004-07-21,3.538278818130493
2004-07-22,3.9837148189544678
2004-07-23,3.9837148189544678
2004-07-26,4.202231407165527
2004-07-27,4.042546272277832
2004-07-28,4.034141540527344
2004-07-29,4.034141540527344
2004-07-30,4.034141540527344
2004-08-02,4.034141540527344
2004-08-03,4.252657890319824
2004-08-04,3.807222604751587
2004-08-05,4.370320796966553
2004-08-06,4.504793167114258
2004-08-09,4.504793167114258
2004-08-10,4.185422897338867
2004-08-11,4.202231407165527
2004-08-12,4.034141540527344
2004-08-13,4.034141540527344
2004-08-16,4.034141540527344
2004-08-17,4.034141540527344
2004-08-18,4.034141540527344
2004-08-19,4.034141540527344
2004-08-20,4.034141540527344
2004-08-23,4.034141540527344
2004-08-24,4.034141540527344
2004-08-25,4.034141540527344
2004-08-26,4.160208702087402
2004-08-27,4.160208702087402
2004-08-30,4.034141540527344
2004-08-31,4.361916542053223
2004-09-01,4.319893836975098
2004-09-02,4.319893836975098
2004-09-03,4.319893836975098
2004-09-06,4.050950527191162
2004-09-07,4.050950527191162
2004-09-08,4.034141540527344
2004-09-09,4.034141540527344
2004-09-10,4.034141540527344
2004-09-13,4.118187427520752
2004-09-14,4.202231407165527
2004-09-15,4.118187427520752
2004-09-16,4.277871608734131
2004-09-17,4.101377487182617
2004-09-20,4.134995460510254
2004-09-21,4.202231407165527
2004-09-22,4.370320796966553
2004-09-23,4.545133590698242
2004-09-24,4.431506633758545
2004-09-27,4.877277374267578
2004-09-28,5.1045355796813965
2004-09-29,4.886018753051758
2004-09-30,4.894759178161621
2004-10-01,4.938462734222412
2004-10-04,4.894759178161621
2004-10-05,4.7636494636535645
2004-10-06,4.973424911499023
2004-10-07,4.894759178161621
2004-10-08,5.052091121673584
2004-10-11,5.130756855010986
2004-10-12,5.183199882507324
2004-10-14,5.191941261291504
2004-10-15,4.947203636169434
2004-10-18,4.903500080108643
2004-10-19,4.912240982055664
2004-10-20,4.894759178161621
2004-10-21,4.938462734222412
2004-10-22,4.938462734222412
2004-10-25,4.955944538116455
2004-10-26,5.017128944396973
