Date,GRANULES
2005-06-20,8.275717735290527
2005-06-21,8.379019737243652
2005-06-22,8.172423362731934
2005-06-23,8.081043243408203
2005-06-24,8.526019096374512
2005-06-27,8.557802200317383
2005-06-28,8.208179473876953
2005-06-29,8.466422080993652
2005-06-30,8.533964157104492
2005-07-01,8.561773300170898
2005-07-04,8.776317596435547
2005-07-05,8.617396354675293
2005-07-06,8.708775520324707
2005-07-07,8.514098167419434
2005-07-08,8.561773300170898
2005-07-11,8.665072441101074
2005-07-12,8.73658561706543
2005-07-13,9.193479537963867
2005-07-14,9.034558296203613
2005-07-15,9.030584335327148
2005-07-18,9.257046699523926
2005-07-19,9.026611328125
2005-07-20,9.074289321899414
2005-07-21,8.780288696289062
2005-07-22,8.76042366027832
2005-07-25,8.673015594482422
2005-07-26,8.545881271362305
2005-07-27,8.545881271362305
2005-07-28,8.545881271362305
2005-07-29,8.398880004882812
2005-08-01,8.406829833984375
2005-08-02,8.553831100463867
2005-08-03,8.458478927612305
2005-08-04,8.4266939163208
2005-08-05,8.243934631347656
2005-08-08,8.009530067443848
2005-08-09,8.081043243408203
2005-08-10,8.255855560302734
2005-08-11,8.287640571594238
2005-08-12,8.232016563415527
2005-08-16,8.243934631347656
2005-08-17,8.410799980163574
2005-08-18,8.212151527404785
2005-08-19,8.247910499572754
2005-08-22,8.188313484191895
2005-08-23,8.033369064331055
2005-08-24,7.961853504180908
2005-08-25,8.057209968566895
2005-08-26,8.045284271240234
2005-08-29,8.204206466674805
2005-08-30,8.637261390686035
2005-08-31,8.867691993713379
2005-09-01,8.847826957702637
2005-09-02,9.197449684143066
2005-09-05,9.034558296203613
2005-09-06,9.014692306518555
2005-09-08,9.141828536987305
2005-09-09,8.959071159362793
2005-09-12,8.903449058532715
2005-09-13,8.895503997802734
2005-09-14,8.661101341247559
2005-09-15,8.831938743591309
2005-09-16,8.823990821838379
2005-09-19,8.776317596435547
2005-09-20,8.569720268249512
2005-09-21,8.228041648864746
2005-09-22,7.528799533843994
2005-09-23,7.798961639404297
2005-09-26,8.073099136352539
2005-09-27,8.144614219665527
2005-09-28,8.041312217712402
2005-09-29,7.794990539550781
2005-09-30,7.512908935546875
2005-10-03,7.616205215454102
2005-10-04,7.822803974151611
2005-10-05,7.727449417114258
2005-10-06,7.6281232833862305
2005-10-07,7.588393211364746
2005-10-10,7.449339866638184
2005-10-11,7.465231418609619
2005-10-13,7.373851776123047
2005-10-14,7.171231746673584
2005-10-17,7.135475158691406
2005-10-18,7.238772392272949
2005-10-19,6.968606472015381
2005-10-20,6.71036434173584
2005-10-21,6.956692218780518
2005-10-24,7.171231746673584
2005-10-25,7.187121391296387
2005-10-26,7.163283824920654
2005-10-27,7.111636638641357
2005-10-28,7.07588005065918
2005-10-31,7.0838236808776855
2005-11-02,7.214934349060059
2005-11-04,7.214934349060059
2005-11-07,7.3420729637146
2005-11-08,7.532773017883301
2005-11-09,7.4850969314575195
2005-11-10,7.497015953063965
2005-11-11,7.620176792144775
2005-11-14,7.703610420227051
2005-11-16,7.755258083343506
2005-11-17,7.77512264251709
2005-11-18,7.957881450653076
2005-11-21,8.005558967590332
2005-11-22,7.918149471282959
2005-11-23,7.854584217071533
2005-11-24,7.949934482574463
2005-11-25,7.846639156341553
2005-11-28,7.8426666259765625
2005-11-29,7.683745384216309
2005-11-30,7.612231731414795
2005-12-01,7.543793201446533
