Date,LLOYDSME
2023-07-17,561.8023681640625
2023-07-18,542.8529052734375
2023-07-19,564.74462890625
2023-07-20,562.5504150390625
2023-07-21,557.2146606445312
2023-07-24,573.571044921875
2023-07-25,573.3716430664062
2023-07-26,572.9727172851562
2023-07-27,573.969970703125
2023-07-28,595.3131713867188
2023-07-31,627.377685546875
2023-08-01,645.8783569335938
2023-08-02,619.8477172851562
2023-08-03,633.7606201171875
2023-08-04,639.7944946289062
2023-08-07,649.86767578125
2023-08-08,665.5260009765625
2023-08-09,657.5472412109375
2023-08-10,617.4540405273438
2023-08-11,623.9368286132812
2023-08-14,600.8982543945312
2023-08-16,593.7672729492188
2023-08-17,566.9886474609375
2023-08-18,568.8836059570312
2023-08-21,528.9899291992188
2023-08-22,536.2705688476562
2023-08-23,560.4061889648438
2023-08-24,550.4328002929688
2023-08-25,548.6873779296875
2023-08-28,540.3595581054688
2023-08-29,540.3595581054688
2023-08-30,538.6142578125
2023-08-31,535.47265625
2023-09-01,546.8921508789062
2023-09-04,559.658203125
2023-09-05,562.7499389648438
2023-09-06,564.2957763671875
2023-09-07,558.1621704101562
2023-09-08,553.7738647460938
2023-09-11,582.6967163085938
2023-09-12,565.6920776367188
2023-09-13,574.2193603515625
2023-09-14,573.8703002929688
2023-09-15,571.4268188476562
2023-09-18,560.2067260742188
2023-09-20,551.6795043945312
2023-09-21,546.7425537109375
2023-09-22,534.8243408203125
2023-09-25,529.039794921875
2023-09-26,533.1786499023438
2023-09-27,534.32568359375
2023-09-28,534.5750122070312
2023-09-29,534.6747436523438
2023-10-03,548.4381103515625
2023-10-04,549.0364990234375
2023-10-05,548.787109375
2023-10-06,562.7499389648438
2023-10-09,548.936767578125
2023-10-10,578.0092163085938
2023-10-11,592.5704345703125
2023-10-12,601.1974487304688
2023-10-13,591.6229858398438
2023-10-16,575.5657348632812
2023-10-17,569.8809204101562
2023-10-18,563.9467163085938
2023-10-19,564.594970703125
2023-10-20,554.023193359375
2023-10-23,516.971923828125
2023-10-25,515.0769653320312
2023-10-26,514.0797119140625
2023-10-27,526.3968505859375
2023-10-30,517.321044921875
2023-10-31,514.0797119140625
2023-11-01,520.7619018554688
2023-11-02,522.2079467773438
2023-11-03,528.4413452148438
2023-11-06,538.1156005859375
2023-11-07,532.2313232421875
2023-11-08,529.2393188476562
2023-11-09,531.4832763671875
2023-11-10,520.4127807617188
2023-11-13,522.6567993164062
2023-11-15,542.4041137695312
2023-11-16,555.618896484375
2023-11-17,565.8416748046875
2023-11-20,561.9520874023438
2023-11-21,570.4793090820312
2023-11-22,567.0384521484375
2023-11-23,547.9393920898438
2023-11-24,537.616943359375
2023-11-28,522.3077392578125
2023-11-29,524.5018920898438
2023-11-30,523.5045166015625
2023-12-01,521.659423828125
2023-12-04,564.79443359375
2023-12-05,600.7985229492188
2023-12-06,588.0823974609375
2023-12-07,601.7958374023438
2023-12-08,610.82177734375
2023-12-11,623.2387084960938
2023-12-12,608.1787719726562
2023-12-13,611.9686279296875
2023-12-14,607.1316528320312
2023-12-15,608.029296875
2023-12-18,621.8423461914062
2023-12-19,625.7819213867188
2023-12-20,591.922119140625
2023-12-21,605.33642578125
2023-12-22,614.6116333007812
2023-12-26,623.9866943359375
2023-12-27,614.2127075195312
2023-12-28,600.1502075195312
2023-12-29,598.2053833007812
2024-01-01,602.1947631835938
2024-01-02,601.1974487304688
2024-01-03,599.2026977539062
2024-01-04,586.7857666015625
2024-01-05,588.3317260742188
2024-01-08,576.1143188476562
2024-01-09,578.5577392578125
2024-01-10,576.662841796875
2024-01-11,581.2007446289062
2024-01-12,579.3556518554688
2024-01-15,579.3556518554688
2024-01-16,588.8803100585938
2024-01-17,575.7153930664062
2024-01-18,577.7598876953125
2024-01-19,578.7073974609375
2024-01-23,587.7333374023438
2024-01-24,588.4314575195312
2024-01-25,594.4653930664062
2024-01-29,574.9175415039062
2024-01-30,564.545166015625
