Date,SHREECEM
2001-07-02,27.151771545410156
2001-07-03,25.132898330688477
2001-07-04,25.462514877319336
2001-07-05,25.956933975219727
2001-07-06,24.968097686767578
2001-07-09,25.132898330688477
2001-07-10,25.421314239501953
2001-07-11,25.544918060302734
2001-07-12,26.945772171020508
2001-07-13,28.717432022094727
2001-07-16,29.1706485748291
2001-07-17,29.047039031982422
2001-07-18,29.335445404052734
2001-07-19,29.500272750854492
2001-07-20,29.0882511138916
2001-07-23,26.368947982788086
2001-07-24,29.665063858032227
2001-07-25,31.683931350708008
2001-07-26,32.50796890258789
2001-07-27,31.601533889770508
2001-07-30,30.942317962646484
2001-07-31,30.612695693969727
2001-08-01,31.31312370300293
2001-08-02,32.7963752746582
2001-08-03,32.7963752746582
2001-08-06,33.62041091918945
2001-08-07,32.837589263916016
2001-08-08,32.91998291015625
2001-08-09,32.67279052734375
2001-08-10,33.043582916259766
2001-08-13,32.8787841796875
2001-08-14,32.38437271118164
2001-08-15,32.38437271118164
2001-08-16,33.043582916259766
2001-08-17,32.3431510925293
2001-08-20,31.601533889770508
2001-08-21,32.26076126098633
2001-08-22,32.26076126098633
2001-08-23,31.10712432861328
2001-08-24,30.20067596435547
2001-08-27,31.23072052001953
2001-08-28,30.24188995361328
2001-08-29,30.447891235351562
2001-08-30,31.10712432861328
2001-08-31,30.777511596679688
2001-09-03,30.3654842376709
2001-09-04,29.335445404052734
2001-09-05,28.882244110107422
2001-09-06,27.975807189941406
2001-09-07,28.305410385131836
2001-09-10,28.552623748779297
2001-09-11,27.64619255065918
2001-09-12,26.61615562438965
2001-09-13,26.410144805908203
2001-09-14,23.649646759033203
2001-09-17,19.859111785888672
2001-09-18,21.17756462097168
2001-09-19,22.001596450805664
2001-09-20,21.301166534423828
2001-09-21,20.39473533630371
2001-09-24,21.507171630859375
2001-09-25,22.248796463012695
2001-09-26,22.248796463012695
2001-09-27,23.526046752929688
2001-09-28,23.114030838012695
2001-10-01,23.031627655029297
2001-10-02,23.031627655029297
