Date,THELEELA
2025-06-02,435.54998779296875
2025-06-03,435.20001220703125
2025-06-04,435.1499938964844
2025-06-05,431.6499938964844
2025-06-06,432.45001220703125
2025-06-09,434.75
2025-06-10,424.29998779296875
2025-06-11,417.04998779296875
2025-06-12,412.54998779296875
2025-06-13,402.3500061035156
2025-06-16,400.04998779296875
2025-06-17,409.75
2025-06-18,397.6499938964844
2025-06-19,390.20001220703125
2025-06-20,393.5
2025-06-23,389.3500061035156
2025-06-24,400.95001220703125
2025-06-25,405.04998779296875
2025-06-26,402.6000061035156
2025-06-27,410.1499938964844
2025-06-30,405.1499938964844
2025-07-01,405.1499938964844
2025-07-02,408.75
2025-07-03,408.70001220703125
2025-07-04,401.6000061035156
2025-07-07,406.54998779296875
2025-07-08,427.79998779296875
2025-07-09,432.04998779296875
2025-07-10,438.79998779296875
2025-07-11,434.8500061035156
2025-07-14,436.1499938964844
2025-07-15,435.29998779296875
2025-07-16,452.0
2025-07-17,451.6000061035156
2025-07-18,461.0
2025-07-21,458.95001220703125
2025-07-22,449.6000061035156
2025-07-23,465.3999938964844
2025-07-24,447.29998779296875
2025-07-25,445.04998779296875
2025-07-28,427.25
2025-07-29,418.3999938964844
2025-07-30,422.70001220703125
2025-07-31,413.79998779296875
2025-08-01,413.45001220703125
2025-08-04,425.3500061035156
2025-08-05,426.25
2025-08-06,420.54998779296875
2025-08-07,429.20001220703125
2025-08-08,434.6499938964844
2025-08-11,427.6000061035156
2025-08-12,432.25
2025-08-13,437.3999938964844
2025-08-14,439.20001220703125
2025-08-18,442.5
2025-08-19,441.8999938964844
2025-08-20,434.25
2025-08-21,426.0
2025-08-22,420.6499938964844
2025-08-25,417.5
2025-08-26,409.54998779296875
2025-08-28,396.6499938964844
2025-08-29,399.45001220703125
2025-09-01,405.29998779296875
2025-09-02,419.20001220703125
2025-09-03,412.6000061035156
2025-09-04,411.1499938964844
2025-09-05,410.79998779296875
2025-09-08,404.20001220703125
2025-09-09,400.5
2025-09-10,416.54998779296875
2025-09-11,410.95001220703125
2025-09-12,419.6000061035156
2025-09-15,419.6499938964844
2025-09-16,413.0
2025-09-17,428.0
2025-09-18,423.25
2025-09-19,419.75
2025-09-22,432.0
2025-09-23,437.45001220703125
2025-09-24,430.3999938964844
2025-09-25,431.04998779296875
2025-09-26,419.45001220703125
2025-09-29,414.8999938964844
2025-09-30,413.0
2025-10-01,431.79998779296875
2025-10-03,431.54998779296875
2025-10-06,425.6499938964844
2025-10-07,419.8999938964844
2025-10-08,430.1000061035156
2025-10-09,446.04998779296875
2025-10-10,452.8500061035156
2025-10-13,465.3999938964844
2025-10-14,438.95001220703125
2025-10-15,440.6499938964844
2025-10-16,438.79998779296875
2025-10-17,441.6499938964844
2025-10-20,437.8999938964844
2025-10-21,440.29998779296875
2025-10-23,435.25
2025-10-24,428.70001220703125
2025-10-27,432.54998779296875
2025-10-28,428.6499938964844
2025-10-29,428.70001220703125
2025-10-30,436.25
2025-10-31,433.70001220703125
2025-11-03,435.95001220703125
2025-11-04,440.25
2025-11-06,421.8999938964844
2025-11-07,436.6000061035156
2025-11-10,438.70001220703125
2025-11-11,431.5
2025-11-12,432.29998779296875
2025-11-13,435.70001220703125
2025-11-14,428.3999938964844
2025-11-17,437.8999938964844
2025-11-18,430.79998779296875
2025-11-19,426.79998779296875
2025-11-20,427.29998779296875
2025-11-21,417.0
2025-11-24,402.6000061035156
2025-11-25,409.54998779296875
2025-11-26,414.25
2025-11-27,416.25
2025-11-28,411.75
2025-12-01,416.75
2025-12-02,415.1499938964844
2025-12-03,404.6499938964844
2025-12-04,404.25
2025-12-05,397.75
2025-12-08,389.6499938964844
2025-12-09,391.95001220703125
2025-12-10,390.5
