Date,TVSMOTOR
2000-08-02,9.191203117370605
2000-08-03,8.492535591125488
2000-08-04,8.236966133117676
2000-08-07,7.948304653167725
2000-08-08,7.900500774383545
2000-08-09,7.946464538574219
2000-08-10,8.053105354309082
2000-08-11,7.988755226135254
2000-08-14,7.837989330291748
2000-08-15,7.837989330291748
2000-08-16,8.089879035949707
2000-08-17,7.8857903480529785
2000-08-18,7.911531448364258
2000-08-21,7.8692402839660645
2000-08-22,7.722157955169678
2000-08-23,8.034719467163086
2000-08-24,7.880275249481201
2000-08-25,7.928080081939697
2000-08-28,7.948304653167725
2000-08-29,7.845340728759766
2000-08-30,7.924402713775635
2000-08-31,7.723992347717285
2000-09-01,7.723992347717285
2000-09-04,7.832472801208496
2000-09-05,7.510712146759033
2000-09-06,7.543809413909912
2000-09-07,7.496007442474365
2000-09-08,7.534618854522705
2000-09-11,7.450039863586426
2000-09-12,7.38936710357666
2000-09-13,7.4610748291015625
2000-09-14,7.012454032897949
2000-09-15,7.058417320251465
2000-09-18,6.9701666831970215
2000-09-19,6.613475322723389
2000-09-20,6.894783973693848
2000-09-21,6.9131669998168945
2000-09-22,6.826751708984375
2000-09-25,6.8010149002075195
2000-09-26,6.552801132202148
2000-09-27,6.451677322387695
2000-09-28,6.3192973136901855
2000-09-29,6.311944484710693
2000-10-02,6.311944484710693
2000-10-03,6.1225666999816895
2000-10-04,6.036153316497803
2000-10-05,5.536048889160156
2000-10-06,5.537888526916504
2000-10-09,5.379767417907715
2000-10-10,5.151780128479004
2000-10-11,5.659236431121826
2000-10-12,5.745650768280029
2000-10-13,5.460667133331299
2000-10-16,5.618785381317139
2000-10-17,5.53972864151001
2000-10-18,5.585691928863525
2000-10-19,5.6629133224487305
2000-10-20,6.530736446380615
2000-10-23,6.034313201904297
2000-10-24,6.396516799926758
2000-10-25,6.304587364196777
2000-10-26,6.299071311950684
2000-10-27,6.240236759185791
2000-10-30,6.260462760925293
2000-10-31,6.052698612213135
2000-11-01,6.262300968170166
2000-11-02,6.188757419586182
2000-11-03,6.348715782165527
2000-11-06,6.549124717712402
2000-11-07,6.260462760925293
2000-11-08,6.335845470428467
2000-11-09,5.850451946258545
2000-11-10,5.598561763763428
2000-11-13,5.629818439483643
2000-11-14,5.6629133224487305
2000-11-15,6.039829254150391
2000-11-16,6.065569877624512
2000-11-17,6.126243591308594
