Date,IRCTC
2019-10-14,138.06175231933594
2019-10-15,135.29196166992188
2019-10-16,132.9206085205078
2019-10-17,137.4072723388672
2019-10-18,147.81285095214844
2019-10-22,160.24835205078125
2019-10-23,170.7962646484375
2019-10-24,171.1282958984375
2019-10-25,170.55914306640625
2019-10-27,172.2001190185547
2019-10-29,167.5332794189453
2019-10-30,168.92764282226562
2019-10-31,167.26766967773438
2019-11-01,168.93710327148438
2019-11-04,167.5996856689453
2019-11-05,167.22970581054688
2019-11-06,167.7609405517578
2019-11-07,167.22970581054688
2019-11-08,166.35708618164062
2019-11-11,176.98085021972656
2019-11-13,176.81959533691406
2019-11-14,172.12429809570312
2019-11-15,176.08921813964844
2019-11-18,174.94143676757812
2019-11-19,171.22312927246094
2019-11-20,169.923583984375
2019-11-21,167.8557891845703
2019-11-22,166.1673583984375
2019-11-25,167.35302734375
2019-11-26,166.6985321044922
2019-11-27,167.5617218017578
2019-11-28,167.40994262695312
2019-11-29,170.2176513671875
2019-12-02,167.14434814453125
2019-12-03,165.99659729003906
2019-12-04,165.8258819580078
2019-12-05,166.1768341064453
2019-12-06,165.49388122558594
2019-12-09,164.55482482910156
2019-12-10,163.32167053222656
2019-12-11,164.0330810546875
2019-12-12,165.02908325195312
2019-12-13,168.93710327148438
2019-12-16,168.2162322998047
2019-12-17,168.22569274902344
2019-12-18,166.06301879882812
2019-12-19,164.99114990234375
2019-12-20,164.450439453125
2019-12-23,164.05206298828125
2019-12-24,168.37745666503906
2019-12-26,166.35708618164062
2019-12-27,167.05897521972656
2019-12-30,175.7003173828125
2019-12-31,177.0851593017578
2020-01-01,179.1529998779297
2020-01-02,176.50656127929688
2020-01-03,176.69625854492188
2020-01-06,169.6864776611328
2020-01-07,172.1432342529297
2020-01-08,170.00897216796875
2020-01-09,173.32891845703125
2020-01-10,174.0118865966797
2020-01-13,178.16653442382812
2020-01-14,184.806396484375
2020-01-15,186.9406280517578
2020-01-16,190.40283203125
2020-01-17,193.85560607910156
2020-01-20,188.4488067626953
2020-01-21,186.4379119873047
2020-01-22,189.11282348632812
2020-01-23,188.85671997070312
2020-01-24,190.2226104736328
2020-01-27,191.15220642089844
2020-01-28,198.9492950439453
2020-01-29,211.79269409179688
2020-01-30,215.7292022705078
2020-01-31,229.6064910888672
2020-02-03,237.29925537109375
2020-02-04,267.9944152832031
2020-02-05,286.1876525878906
2020-02-06,285.38134765625
2020-02-07,287.126708984375
2020-02-10,280.80938720703125
2020-02-11,267.11224365234375
2020-02-12,268.4876708984375
2020-02-13,299.808837890625
2020-02-14,295.45501708984375
2020-02-17,288.1037292480469
2020-02-18,310.8594665527344
2020-02-19,347.5305480957031
2020-02-20,366.15057373046875
2020-02-24,366.80853271484375
2020-02-25,372.23388671875
2020-02-26,372.17657470703125
2020-02-27,364.1195983886719
2020-02-28,332.5399475097656
2020-03-02,328.62109375
2020-03-03,331.68182373046875
2020-03-04,298.519287109375
2020-03-05,272.8609313964844
2020-03-06,259.2259521484375
2020-03-09,246.26797485351562
2020-03-11,245.11424255371094
2020-03-12,232.86187744140625
2020-03-13,234.13002014160156
2020-03-16,222.4306640625
2020-03-17,211.31295776367188
2020-03-18,200.74827575683594
2020-03-19,190.71751403808594
2020-03-20,181.35423278808594
2020-03-23,172.28651428222656
2020-03-24,163.67648315429688
2020-03-25,155.49549865722656
2020-03-26,163.26646423339844
2020-03-27,171.42837524414062
2020-03-30,178.45559692382812
2020-03-31,187.37075805664062
2020-04-01,196.7340850830078
2020-04-03,206.56455993652344
2020-04-07,216.890869140625
2020-04-08,227.7321014404297
2020-04-09,239.11680603027344
2020-04-13,246.15353393554688
2020-04-15,234.66400146484375
2020-04-16,246.3919677734375
2020-04-17,258.7110900878906
2020-04-20,271.6404113769531
2020-04-21,278.8202209472656
2020-04-22,273.5473937988281
2020-04-23,261.5142517089844
2020-04-24,248.4419403076172
2020-04-27,241.7388916015625
2020-04-28,253.32383728027344
2020-04-29,251.53121948242188
2020-04-30,252.55149841308594
2020-05-04,244.5421600341797
