Date,TVTODAY
2004-01-16,107.44515228271484
2004-01-19,102.54922485351562
2004-01-20,107.23870849609375
2004-01-21,100.1307601928711
2004-01-22,93.28823852539062
2004-01-23,99.6293716430664
2004-01-26,99.6293716430664
2004-01-27,97.06340789794922
2004-01-28,94.55647277832031
2004-01-29,93.28823852539062
2004-01-30,86.97659301757812
2004-02-02,86.97659301757812
2004-02-03,80.25206756591797
2004-02-04,86.47522735595703
2004-02-05,80.5469970703125
2004-02-06,82.3460922241211
2004-02-09,82.611572265625
2004-02-10,80.98941040039062
2004-02-11,86.18029022216797
2004-02-12,97.50581359863281
2004-02-13,94.32049560546875
2004-02-16,97.50581359863281
2004-02-17,97.0339126586914
2004-02-18,96.76847839355469
2004-02-19,92.16747283935547
2004-02-20,93.64215087890625
2004-02-23,88.68724822998047
2004-02-24,87.62545776367188
2004-02-25,86.29826354980469
2004-02-26,85.38394165039062
2004-02-27,85.23650360107422
2004-03-01,85.56092834472656
2004-03-02,85.56092834472656
2004-03-03,85.29547882080078
2004-03-04,83.52586364746094
2004-03-05,84.9710464477539
2004-03-08,86.97659301757812
2004-03-09,85.03002166748047
2004-03-10,83.26040649414062
2004-03-11,81.9332046508789
2004-03-12,81.72673797607422
2004-03-15,78.12853240966797
2004-03-16,75.17916870117188
2004-03-17,75.38562774658203
2004-03-18,71.75791931152344
2004-03-19,78.45295715332031
2004-03-22,74.58930206298828
2004-03-23,77.00778198242188
2004-03-24,75.59207153320312
2004-03-25,76.53588104248047
2004-03-26,76.94877624511719
2004-03-29,79.86865997314453
2004-03-30,77.36167907714844
2004-03-31,78.7184066772461
2004-04-01,81.81523132324219
2004-04-02,84.52863311767578
2004-04-05,82.84749603271484
2004-04-06,81.07789611816406
2004-04-07,80.19308471679688
2004-04-08,81.0188980102539
2004-04-09,81.0188980102539
2004-04-12,82.9065170288086
2004-04-13,82.99495697021484
2004-04-14,82.99495697021484
2004-04-15,85.7673568725586
2004-04-16,84.17472076416016
2004-04-19,83.17192077636719
2004-04-20,85.08899688720703
2004-04-21,86.20977020263672
2004-04-22,86.15078735351562
2004-04-23,84.58760833740234
2004-04-27,79.5737075805664
2004-04-28,76.83081817626953
2004-04-29,77.1552505493164
2004-04-30,77.00778198242188
2004-05-03,75.12017822265625
2004-05-04,75.68057250976562
2004-05-05,76.29991912841797
2004-05-06,78.09903717041016
2004-05-07,76.9782943725586
2004-05-10,75.62157440185547
2004-05-11,72.34778594970703
2004-05-12,71.55146789550781
2004-05-13,70.87311553955078
2004-05-14,66.95046997070312
2004-05-17,56.98160171508789
2004-05-18,66.1246337890625
2004-05-19,64.14857482910156
2004-05-20,65.00386810302734
2004-05-21,65.56427001953125
2004-05-24,67.00946044921875
2004-05-25,64.70895385742188
2004-05-26,67.59931945800781
2004-05-27,67.9532470703125
2004-05-28,65.74122619628906
2004-05-31,61.55311965942383
