Date,SUMICHEM
2020-01-27,195.07833862304688
2020-01-28,204.79823303222656
2020-01-29,215.00411987304688
2020-01-30,225.74462890625
2020-01-31,222.29405212402344
2020-02-03,223.26600646972656
2020-02-04,223.26600646972656
2020-02-05,234.29812622070312
2020-02-06,235.5131072998047
2020-02-07,249.3639373779297
2020-02-10,261.9997863769531
2020-02-11,264.721435546875
2020-02-12,255.97348022460938
2020-02-13,256.7510681152344
2020-02-14,249.84996032714844
2020-02-17,247.42001342773438
2020-02-18,240.32447814941406
2020-02-19,245.9134063720703
2020-02-20,242.65724182128906
2020-02-24,233.0831298828125
2020-02-25,233.2775115966797
2020-02-26,235.07571411132812
2020-02-27,252.27992248535156
2020-02-28,249.7041778564453
2020-03-02,248.63497924804688
2020-03-03,240.61605834960938
2020-03-04,236.09628295898438
2020-03-05,232.01394653320312
2020-03-06,224.62684631347656
2020-03-09,211.35914611816406
2020-03-11,215.58734130859375
2020-03-12,197.6055145263672
2020-03-13,214.0807647705078
2020-03-16,199.79249572753906
2020-03-17,206.8880157470703
2020-03-18,192.3567657470703
2020-03-19,185.55284118652344
2020-03-20,192.84275817871094
2020-03-23,154.98377990722656
2020-03-24,157.12213134765625
2020-03-25,162.3708953857422
2020-03-26,157.5595703125
2020-03-27,163.7802734375
2020-03-30,170.77857971191406
2020-03-31,179.52651977539062
2020-04-01,186.96221923828125
2020-04-03,184.0948486328125
2020-04-07,201.83364868164062
2020-04-08,213.2545623779297
2020-04-09,212.5741424560547
2020-04-13,203.97206115722656
2020-04-15,200.27847290039062
2020-04-16,205.52723693847656
2020-04-17,221.32205200195312
2020-04-20,215.7331085205078
2020-04-21,209.1721954345703
2020-04-22,221.22486877441406
2020-04-23,218.11448669433594
2020-04-24,209.60960388183594
2020-04-27,216.94810485839844
2020-04-28,227.9801788330078
2020-04-29,236.19351196289062
2020-04-30,236.33929443359375
2020-05-04,219.37806701660156
2020-05-05,214.8583221435547
2020-05-06,215.10133361816406
2020-05-07,214.7125244140625
2020-05-08,223.07164001464844
2020-05-11,222.78004455566406
2020-05-12,220.88465881347656
2020-05-13,224.8698272705078
2020-05-14,231.52792358398438
2020-05-15,225.06423950195312
2020-05-18,221.46786499023438
2020-05-19,216.26771545410156
2020-05-20,216.94810485839844
2020-05-21,216.7051239013672
2020-05-22,215.34432983398438
2020-05-26,229.583984375
2020-05-27,238.9150848388672
2020-05-28,239.35244750976562
2020-05-29,252.66873168945312
