Date,INDIANB
2007-03-01,57.34626007080078
2007-03-02,57.113033294677734
2007-03-05,53.99353790283203
2007-03-06,54.634925842285156
2007-03-07,50.553340911865234
2007-03-08,52.069358825683594
2007-03-09,53.177215576171875
2007-03-12,51.22389602661133
2007-03-13,51.10728073120117
2007-03-14,50.582496643066406
2007-03-15,51.31135559082031
2007-03-16,49.766178131103516
2007-03-19,49.24140930175781
2007-03-20,50.640811920166016
2007-03-21,50.757423400878906
2007-03-22,53.527076721191406
2007-03-23,53.26467514038086
2007-03-26,53.70199203491211
2007-03-28,52.01105499267578
2007-03-29,50.7282600402832
2007-03-30,52.5941276550293
2007-04-02,50.78657150268555
2007-04-03,52.477516174316406
2007-04-04,53.497901916503906
2007-04-05,52.943992614746094
2007-04-09,52.21514129638672
2007-04-10,54.57661437988281
2007-04-11,54.83900451660156
2007-04-12,52.71074676513672
2007-04-13,54.51829528808594
2007-04-16,53.93523406982422
2007-04-17,54.605777740478516
2007-04-18,56.52995681762695
2007-04-19,56.47164535522461
2007-04-20,56.44249725341797
2007-04-23,55.684478759765625
2007-04-24,61.16546630859375
2007-04-25,70.14495849609375
2007-04-26,71.45689392089844
2007-04-27,66.87968444824219
2007-04-30,67.34613800048828
2007-05-03,67.72515106201172
2007-05-04,67.6376953125
2007-05-07,67.4919204711914
2007-05-08,68.24993896484375
2007-05-09,73.5268325805664
2007-05-10,71.45689392089844
2007-05-11,73.38105010986328
2007-05-14,75.0428466796875
2007-05-15,73.55599975585938
2007-05-16,75.33439636230469
2007-05-17,76.0924072265625
2007-05-18,74.78047180175781
2007-05-21,75.18862915039062
2007-05-22,75.97579956054688
2007-05-23,75.10115814208984
2007-05-24,73.1769790649414
2007-05-25,75.2469253540039
2007-05-28,73.43937683105469
2007-05-29,74.867919921875
2007-05-30,74.5472412109375
2007-05-31,74.43062591552734
2007-06-01,74.89707946777344
2007-06-04,73.03121185302734
2007-06-05,73.61429595947266
2007-06-06,72.21488952636719
2007-06-07,70.40733337402344
2007-06-08,70.55310821533203
2007-06-11,70.55310821533203
2007-06-12,67.81262969970703
2007-06-13,67.95838928222656
2007-06-14,70.49479675292969
2007-06-15,71.6607437133789
2007-06-18,69.86698150634766
2007-06-19,72.73700714111328
2007-06-20,74.26168060302734
2007-06-21,73.78336334228516
2007-06-22,73.42461395263672
2007-06-25,72.73700714111328
2007-06-26,72.04940032958984
2007-06-27,73.544189453125
2007-06-28,74.97919464111328
2007-06-29,76.35441589355469
2007-07-02,76.77295684814453
