Date,AVANTIFEED
2010-01-08,1.2492547035217285
2010-01-11,1.3384873867034912
2010-01-12,1.305343508720398
2010-01-13,1.3512346744537354
2010-01-14,1.4379181861877441
2010-01-15,1.417521595954895
2010-01-18,1.4761605262756348
2010-01-19,1.5297002792358398
2010-01-20,1.4302693605422974
2010-01-21,1.376729965209961
2010-01-22,1.376729965209961
2010-01-25,1.522051453590393
2010-01-27,1.3333882093429565
2010-01-28,1.300244927406311
2010-01-29,1.3996756076812744
2010-02-01,1.376729965209961
2010-02-02,1.3512346744537354
2010-02-03,1.4124224185943604
2010-02-04,1.4991060495376587
2010-02-05,1.389477014541626
2010-02-06,1.3512346744537354
2010-02-08,1.3512346744537354
2010-02-09,1.3257395029067993
2010-02-10,1.2925963401794434
2010-02-11,1.2671011686325073
2010-02-15,1.3869274854660034
2010-02-16,1.3435859680175781
2010-02-17,1.3155421018600464
2010-02-18,1.2849478721618652
2010-02-19,1.2798486948013306
2010-02-22,1.3257395029067993
2010-02-23,1.2849478721618652
2010-02-24,1.2237600088119507
2010-02-25,1.1982643604278564
2010-02-26,1.2594525814056396
2010-03-02,1.305343508720398
2010-03-03,1.305343508720398
2010-03-04,1.305343508720398
2010-03-05,1.3257395029067993
2010-03-08,1.3257395029067993
2010-03-09,1.3257395029067993
2010-03-10,1.3257395029067993
2010-03-11,1.3257395029067993
2010-03-12,1.2747493982315063
2010-03-15,1.2492547035217285
2010-03-16,1.2237600088119507
2010-03-17,1.2237600088119507
2010-03-18,1.2237600088119507
2010-03-19,1.2849478721618652
2010-03-22,1.2849478721618652
2010-03-23,1.2849478721618652
2010-03-25,1.2237600088119507
2010-03-26,1.2237600088119507
2010-03-29,1.2237600088119507
2010-03-30,1.2237600088119507
2010-03-31,1.162571907043457
2010-04-01,1.162571907043457
2010-04-05,1.162571907043457
2010-04-06,1.162571907043457
2010-04-07,1.22121000289917
2010-04-08,1.2747493982315063
2010-04-09,1.2747493982315063
2010-04-12,1.2747493982315063
2010-04-13,1.2747493982315063
2010-04-15,1.2747493982315063
2010-04-16,1.2747493982315063
