Date,BDL
2018-03-23,169.7952423095703
2018-03-26,172.90977478027344
2018-03-27,176.6558837890625
2018-03-28,172.77906799316406
2018-04-02,170.86248779296875
2018-04-03,170.86248779296875
2018-04-04,170.79710388183594
2018-04-05,169.4031982421875
2018-04-06,170.20909118652344
2018-04-09,169.860595703125
2018-04-10,167.6608428955078
2018-04-11,166.04908752441406
2018-04-12,163.60980224609375
2018-04-13,163.6533660888672
2018-04-16,174.0423126220703
2018-04-17,176.4816436767578
2018-04-18,176.28565979003906
2018-04-19,180.77227783203125
2018-04-20,181.0336151123047
2018-04-23,177.76666259765625
2018-04-24,177.98448181152344
2018-04-25,177.83201599121094
2018-04-26,176.4816436767578
2018-04-27,176.4163055419922
2018-04-30,175.261962890625
2018-05-02,169.92591857910156
2018-05-03,170.88424682617188
2018-05-04,169.38143920898438
2018-05-07,169.12005615234375
2018-05-08,169.05470275878906
2018-05-09,168.9458465576172
2018-05-10,169.05470275878906
2018-05-11,169.03294372558594
2018-05-14,169.03294372558594
2018-05-15,166.46292114257812
2018-05-16,165.0908203125
2018-05-17,165.7006378173828
2018-05-18,161.56248474121094
2018-05-21,162.17234802246094
2018-05-22,163.95826721191406
2018-05-23,165.30862426757812
2018-05-24,165.46107482910156
2018-05-25,166.92031860351562
2018-05-28,172.60487365722656
2018-05-29,175.37088012695312
2018-05-30,175.2401885986328
2018-05-31,176.59054565429688
2018-06-01,174.7610626220703
2018-06-04,172.34349060058594
2018-06-05,169.03294372558594
2018-06-06,169.2725372314453
2018-06-07,174.6085968017578
2018-06-08,173.4542999267578
2018-06-11,172.82266235351562
2018-06-12,173.8463134765625
2018-06-13,172.3217010498047
2018-06-14,173.04042053222656
2018-06-15,175.1966552734375
2018-06-18,171.40696716308594
2018-06-19,169.31610107421875
2018-06-20,168.20529174804688
2018-06-21,166.50650024414062
2018-06-22,165.83132934570312
2018-06-25,166.7025146484375
2018-06-26,163.45733642578125
2018-06-27,163.50086975097656
2018-06-28,161.99810791015625
2018-06-29,163.849365234375
2018-07-02,161.67140197753906
2018-07-03,164.52456665039062
2018-07-04,163.93649291992188
2018-07-05,162.10699462890625
2018-07-06,163.2613067626953
2018-07-09,162.34658813476562
2018-07-10,164.74237060546875
2018-07-11,165.39573669433594
2018-07-12,164.1107177734375
2018-07-13,160.62599182128906
2018-07-16,157.44613647460938
2018-07-17,156.22642517089844
2018-07-18,155.61663818359375
2018-07-19,153.32972717285156
2018-07-20,149.3658447265625
2018-07-23,146.5126495361328
2018-07-24,150.0409698486328
2018-07-25,150.5636749267578
2018-07-26,149.67076110839844
2018-07-27,149.12623596191406
2018-07-30,163.6533660888672
2018-07-31,167.3559112548828
2018-08-01,166.0708770751953
2018-08-02,164.17604064941406
2018-08-03,164.02362060546875
2018-08-06,163.0653076171875
2018-08-07,161.54071044921875
2018-08-08,160.9308624267578
2018-08-09,163.28311157226562
2018-08-10,164.6116485595703
2018-08-13,165.41749572753906
2018-08-14,161.54071044921875
2018-08-16,160.42996215820312
2018-08-17,159.86366271972656
2018-08-20,160.23391723632812
2018-08-21,158.64401245117188
2018-08-23,157.729248046875
2018-08-24,156.27005004882812
2018-08-27,157.0758819580078
2018-08-28,154.83255004882812
2018-08-29,154.26626586914062
2018-08-30,153.17727661132812
2018-08-31,152.436767578125
2018-09-03,156.13931274414062
2018-09-04,156.03042602539062
2018-09-05,151.826904296875
2018-09-06,150.5418701171875
2018-09-07,151.609130859375
2018-09-10,153.37330627441406
2018-09-11,151.73980712890625
2018-09-12,150.5418701171875
2018-09-14,151.39132690429688
2018-09-17,152.34963989257812
2018-09-18,153.0792236328125
2018-09-19,148.25241088867188
2018-09-21,142.17991638183594
2018-09-24,136.35215759277344
2018-09-25,133.12684631347656
2018-09-26,133.79417419433594
2018-09-27,130.63560485839844
2018-09-28,124.76335144042969
2018-10-01,124.71883392333984
2018-10-03,126.23139190673828
2018-10-04,124.74112701416016
2018-10-05,122.82819366455078
2018-10-08,122.09414672851562
2018-10-09,119.82530975341797
