Date,PHOENIXLTD
2007-04-23,148.15322875976562
2007-04-24,150.00498962402344
2007-04-25,148.6378631591797
2007-04-26,149.08140563964844
2007-04-27,149.58436584472656
2007-04-30,149.7901153564453
2007-05-03,151.59161376953125
2007-05-04,154.3761749267578
2007-05-07,157.61801147460938
2007-05-08,167.2427520751953
2007-05-09,163.03623962402344
2007-05-10,165.5692596435547
2007-05-11,171.40359497070312
2007-05-14,173.73548889160156
2007-05-15,170.57142639160156
2007-05-16,175.18035888671875
2007-05-17,173.08164978027344
2007-05-18,170.39312744140625
2007-05-21,176.1039581298828
2007-05-22,176.035400390625
2007-05-23,176.16343688964844
2007-05-24,179.51039123535156
2007-05-25,178.1295166015625
2007-05-28,175.57815551757812
2007-05-29,176.19541931152344
2007-05-30,181.97946166992188
2007-05-31,182.79330444335938
2007-06-01,184.0872802734375
2007-06-04,181.06497192382812
2007-06-05,177.5716552734375
2007-06-06,171.389892578125
2007-06-07,167.78684997558594
2007-06-08,168.02920532226562
2007-06-11,167.89662170410156
2007-06-12,164.60452270507812
2007-06-13,160.9603271484375
2007-06-14,164.22958374023438
2007-06-15,167.45309448242188
2007-06-18,164.6456756591797
2007-06-19,166.52491760253906
2007-06-20,166.9364471435547
2007-06-21,173.813232421875
2007-06-22,175.48670959472656
2007-06-25,182.8893585205078
2007-06-26,187.36561584472656
2007-06-27,187.01817321777344
2007-06-28,184.60398864746094
2007-06-29,187.8457489013672
2007-07-02,188.70533752441406
2007-07-03,187.49365234375
2007-07-04,187.62168884277344
2007-07-05,187.37026977539062
2007-07-06,187.009033203125
2007-07-09,187.37026977539062
2007-07-10,186.8261260986328
2007-07-11,184.17877197265625
2007-07-12,184.265625
2007-07-13,191.25216674804688
2007-07-16,188.70533752441406
2007-07-17,187.46627807617188
2007-07-18,186.45120239257812
2007-07-19,188.48590087890625
2007-07-20,186.3917694091797
2007-07-23,186.09457397460938
2007-07-24,183.80838012695312
2007-07-25,187.69027709960938
2007-07-26,184.4622039794922
2007-07-27,181.06497192382812
2007-07-30,184.08273315429688
2007-07-31,186.55177307128906
2007-08-01,183.35116577148438
2007-08-02,183.34657287597656
2007-08-03,182.98532104492188
2007-08-06,182.61956787109375
2007-08-07,182.89390563964844
2007-08-08,196.57891845703125
2007-08-09,192.94395446777344
2007-08-10,197.16419982910156
2007-08-13,190.6028594970703
2007-08-14,198.90625
2007-08-16,194.16932678222656
2007-08-17,193.47886657714844
2007-08-20,201.20614624023438
2007-08-21,200.4425506591797
2007-08-22,200.506591796875
2007-08-23,186.08541870117188
2007-08-24,186.75753784179688
2007-08-27,190.072509765625
2007-08-28,189.10316467285156
2007-08-29,189.96730041503906
2007-08-30,188.4172821044922
2007-08-31,193.5246124267578
2007-09-03,196.60182189941406
2007-09-04,192.37698364257812
2007-09-05,192.03858947753906
2007-09-06,197.6671600341797
2007-09-07,204.57142639160156
2007-09-10,204.6994171142578
2007-09-11,202.7607421875
2007-09-12,193.2457275390625
2007-09-13,193.5657958984375
2007-09-14,189.35006713867188
2007-09-17,183.154541015625
2007-09-18,182.90762329101562
2007-09-19,184.72744750976562
2007-09-20,183.04476928710938
2007-09-21,181.52220153808594
2007-09-24,184.265625
2007-09-25,179.48751831054688
2007-09-26,178.3809814453125
2007-09-27,179.2039794921875
2007-09-28,181.33474731445312
2007-10-01,182.90762329101562
2007-10-03,182.89390563964844
2007-10-04,183.35116577148438
2007-10-05,183.14083862304688
2007-10-08,182.91220092773438
2007-10-09,183.50201416015625
2007-10-10,184.80970764160156
2007-10-11,197.3013458251953
2007-10-12,198.28443908691406
2007-10-15,205.202392578125
2007-10-16,203.07168579101562
2007-10-17,196.08511352539062
2007-10-18,201.9011993408203
2007-10-19,192.91648864746094
2007-10-22,196.94015502929688
2007-10-23,194.49851989746094
2007-10-24,198.535888671875
2007-10-25,196.62661743164062
2007-10-26,192.35926818847656
2007-10-29,194.5753631591797
2007-10-30,184.7357940673828
2007-10-31,182.7440185546875
2007-11-01,182.91802978515625
2007-11-02,183.14698791503906
