Date,SFL
2016-12-12,502.84490966796875
2016-12-13,498.40093994140625
2016-12-14,480.17559814453125
2016-12-15,479.0271301269531
2016-12-16,479.0271301269531
2016-12-19,464.72149658203125
2016-12-20,464.5966491699219
2016-12-21,462.19989013671875
2016-12-22,472.6108093261719
2016-12-23,470.0392761230469
2016-12-26,457.38140869140625
2016-12-27,465.844970703125
2016-12-28,466.49407958984375
2016-12-29,467.567626953125
2016-12-30,467.0932922363281
2017-01-02,474.2585754394531
2017-01-03,469.9893493652344
2017-01-04,467.2929992675781
2017-01-05,463.77276611328125
2017-01-06,482.3476257324219
2017-01-09,474.7079772949219
2017-01-10,482.7471008300781
2017-01-11,487.86517333984375
2017-01-12,495.50482177734375
2017-01-13,494.53118896484375
2017-01-16,483.5460205078125
2017-01-17,488.2646179199219
2017-01-18,481.7484436035156
2017-01-19,484.3199768066406
2017-01-20,476.1809997558594
2017-01-23,477.1796569824219
2017-01-24,475.55682373046875
2017-01-25,470.78826904296875
2017-01-27,478.07843017578125
2017-01-30,480.4502258300781
2017-01-31,486.19244384765625
2017-02-01,479.8260498046875
2017-02-02,489.0386047363281
2017-02-03,495.230224609375
2017-02-06,500.12359619140625
2017-02-07,495.9043273925781
2017-02-08,497.2774658203125
2017-02-09,495.3800048828125
2017-02-10,503.1944580078125
2017-02-13,524.1161499023438
2017-02-14,531.2814331054688
2017-02-15,524.2659301757812
2017-02-16,528.9595947265625
2017-02-17,526.1383666992188
2017-02-20,522.6181640625
2017-02-21,521.9191284179688
2017-02-22,526.2882080078125
2017-02-23,536.3995361328125
2017-02-27,534.3273315429688
2017-02-28,533.8280029296875
2017-03-01,532.7045288085938
2017-03-02,532.9541625976562
2017-03-03,527.5364990234375
2017-03-06,530.8819580078125
2017-03-07,529.2841796875
2017-03-08,540.8934326171875
2017-03-09,548.5081787109375
2017-03-10,539.9197998046875
2017-03-14,544.0891723632812
2017-03-15,544.1640625
2017-03-16,546.760498046875
2017-03-17,535.875244140625
2017-03-20,540.943359375
2017-03-21,541.89208984375
2017-03-22,544.1390991210938
2017-03-23,542.0918579101562
2017-03-24,556.3226318359375
2017-03-27,550.954833984375
2017-03-28,543.8644409179688
2017-03-29,535.9252319335938
2017-03-30,543.8644409179688
2017-03-31,561.840087890625
2017-04-03,556.6471557617188
2017-04-05,557.2713623046875
2017-04-06,552.00341796875
2017-04-07,546.2362060546875
2017-04-10,538.8961791992188
2017-04-11,568.5560302734375
2017-04-12,556.9716796875
2017-04-13,572.9251708984375
2017-04-17,573.1248779296875
2017-04-18,599.314453125
2017-04-19,607.703125
2017-04-20,620.0614013671875
2017-04-21,614.4440307617188
2017-04-24,632.1949462890625
2017-04-25,634.2671508789062
2017-04-26,617.8643798828125
2017-04-27,619.0127563476562
2017-04-28,641.3076171875
2017-05-02,649.221923828125
2017-05-03,657.91015625
2017-05-04,659.03369140625
2017-05-05,688.6436157226562
2017-05-08,706.5194091796875
2017-05-09,674.4378051757812
2017-05-10,681.3285522460938
2017-05-11,673.5140991210938
2017-05-12,664.4263916015625
2017-05-15,673.2144775390625
2017-05-16,672.7151489257812
2017-05-17,664.37646484375
2017-05-18,673.3143310546875
2017-05-19,667.2974853515625
2017-05-22,668.296142578125
2017-05-23,648.5977783203125
2017-05-24,641.8818969726562
2017-05-25,646.9500122070312
2017-05-26,660.856201171875
2017-05-29,644.5782470703125
2017-05-30,642.0067138671875
2017-05-31,645.6268310546875
2017-06-01,660.1072387695312
2017-06-02,669.7691650390625
2017-06-05,676.3352661132812
2017-06-06,680.3548583984375
2017-06-07,685.0984497070312
2017-06-08,689.0181274414062
2017-06-09,671.7914428710938
2017-06-12,668.9203491210938
2017-06-13,673.1395874023438
2017-06-14,670.69287109375
2017-06-15,675.3116455078125
2017-06-16,665.0255737304688
2017-06-19,664.3264770507812
2017-06-20,659.0586547851562
2017-06-21,650.4952392578125
2017-06-22,664.37646484375
2017-06-23,658.5343627929688
2017-06-27,645.1024780273438
2017-06-28,648.4230346679688
2017-06-29,653.9655151367188
2017-06-30,649.1220703125
2017-07-03,647.1746826171875
2017-07-04,641.5323486328125
2017-07-05,639.8096923828125
2017-07-06,628.7496337890625
2017-07-07,625.9783935546875
2017-07-10,629.373779296875
2017-07-11,599.3893432617188
2017-07-12,634.716552734375
2017-07-13,645.5269775390625
2017-07-14,638.1619262695312
2017-07-17,638.0120849609375
2017-07-18,630.24755859375
2017-07-19,621.259765625
2017-07-20,619.3623657226562
2017-07-21,620.1862182617188
2017-07-24,632.5944213867188
2017-07-25,636.0148315429688
2017-07-26,643.6544799804688
2017-07-27,638.5114135742188
2017-07-28,640.633544921875
2017-07-31,668.8204345703125
2017-08-01,651.9432983398438
2017-08-02,656.4122314453125
2017-08-03,638.7611083984375
2017-08-04,629.8731079101562
2017-08-07,635.7401733398438
2017-08-08,627.8258666992188
