Date,CENTRALBK
2007-08-21,79.69690704345703
2007-08-22,79.76603698730469
2007-08-23,80.49180603027344
2007-08-24,81.45950317382812
2007-08-27,85.952392578125
2007-08-28,84.36261749267578
2007-08-29,83.74053192138672
2007-08-30,83.91333770751953
2007-08-31,86.19432830810547
2007-09-03,92.93365478515625
2007-09-04,91.65491485595703
2007-09-05,89.68495178222656
2007-09-06,91.79315948486328
2007-09-07,91.44754791259766
2007-09-10,92.65717315673828
2007-09-11,94.24695587158203
2007-09-12,95.80218505859375
2007-09-13,96.14778900146484
2007-09-14,93.97046661376953
2007-09-17,93.52118682861328
2007-09-18,94.90362548828125
2007-09-19,96.73533630371094
2007-09-20,97.32286834716797
2007-09-21,99.77666473388672
2007-09-24,102.50697326660156
2007-09-25,99.56929779052734
2007-09-26,99.84580993652344
2007-09-27,98.49791717529297
2007-09-28,102.8180160522461
2007-10-01,100.9863052368164
2007-10-03,97.9795150756836
2007-10-04,96.28606414794922
2007-10-05,93.07190704345703
2007-10-08,86.19432830810547
2007-10-09,89.96144104003906
2007-10-10,89.650390625
2007-10-11,89.27023315429688
2007-10-12,86.19432830810547
2007-10-15,89.92687225341797
2007-10-16,90.44530487060547
2007-10-17,87.81867980957031
2007-10-18,85.43399810791016
2007-10-19,84.77732849121094
2007-10-22,84.53541564941406
2007-10-23,88.57902526855469
2007-10-24,88.89006042480469
2007-10-25,86.57449340820312
2007-10-26,89.85774993896484
2007-10-29,89.89232635498047
2007-10-30,91.41300201416016
2007-10-31,89.06285858154297
2007-11-01,86.26345825195312
2007-11-02,87.2657241821289
2007-11-05,88.30254364013672
2007-11-06,89.02828979492188
2007-11-07,87.4039535522461
2007-11-08,87.19659423828125
2007-11-12,85.64134979248047
2007-11-13,88.40621948242188
2007-11-14,91.58580017089844
2007-11-15,93.38294982910156
2007-11-16,94.17784881591797
2007-11-19,97.4265365600586
2007-11-20,93.72854614257812
2007-11-21,87.4039535522461
2007-11-22,87.16201782226562
2007-11-23,84.98470306396484
2007-11-26,85.77960205078125
2007-11-27,85.29576110839844
2007-11-28,87.0583267211914
2007-11-29,91.41300201416016
2007-11-30,93.52118682861328
2007-12-03,93.45206451416016
2007-12-04,92.65717315673828
2007-12-05,94.4888687133789
2007-12-06,95.24921417236328
2007-12-07,97.49566650390625
2007-12-10,98.01409149169922
2007-12-11,99.46562194824219
2007-12-12,100.77892303466797
2007-12-13,98.2560043334961
2007-12-14,98.77440643310547
2007-12-17,92.48438262939453
2007-12-18,93.3138198852539
2007-12-19,91.13650512695312
2007-12-20,90.47986602783203
2007-12-24,91.79315948486328
2007-12-26,93.27926635742188
2007-12-27,90.99825286865234
2007-12-28,93.14100646972656
2007-12-31,93.90135955810547
2008-01-01,97.910400390625
2008-01-02,102.05768585205078
2008-01-03,99.77666473388672
2008-01-04,98.56705474853516
2008-01-07,98.67072296142578
2008-01-08,95.90586853027344
2008-01-09,95.1109848022461
