Date,LTM
2016-07-21,599.8284912109375
2016-07-22,601.8922119140625
2016-07-25,595.9161376953125
2016-07-26,595.142333984375
2016-07-27,593.2077026367188
2016-07-28,584.6091918945312
2016-07-29,594.8414306640625
2016-08-01,590.6281127929688
2016-08-02,587.8336791992188
2016-08-03,584.6951904296875
2016-08-04,585.5979614257812
2016-08-05,599.8715209960938
2016-08-08,602.6659545898438
2016-08-09,600.4302978515625
2016-08-10,593.5086669921875
2016-08-11,588.1773681640625
2016-08-12,589.1663818359375
2016-08-16,586.3719482421875
2016-08-17,583.7923583984375
2016-08-18,580.35302734375
2016-08-19,571.4536743164062
2016-08-22,564.101806640625
2016-08-23,555.4174194335938
2016-08-24,550.1723022460938
2016-08-25,562.253173828125
2016-08-26,557.0079956054688
2016-08-29,551.0752563476562
2016-08-30,560.4044799804688
2016-08-31,561.3934936523438
2016-09-01,555.1165161132812
2016-09-02,553.6978149414062
2016-09-06,560.232666015625
2016-09-07,563.37109375
2016-09-08,559.1577758789062
2016-09-09,552.9240112304688
2016-09-12,550.08642578125
2016-09-14,547.6787109375
2016-09-15,546.56103515625
2016-09-16,546.0020141601562
2016-09-19,550.559326171875
2016-09-20,549.4415893554688
2016-09-21,549.7426147460938
2016-09-22,549.0115356445312
2016-09-23,549.0545654296875
2016-09-26,548.7536010742188
2016-09-27,548.3667602539062
2016-09-28,548.8824462890625
2016-09-29,528.5044555664062
2016-09-30,531.3416748046875
2016-10-03,535.5980834960938
2016-10-04,531.5997314453125
2016-10-05,529.2780151367188
2016-10-06,528.5902709960938
2016-10-07,526.5267333984375
2016-10-10,525.6237182617188
2016-10-13,520.2498779296875
2016-10-14,523.6891479492188
2016-10-17,532.0725708007812
2016-10-18,534.5232543945312
2016-10-19,535.08203125
2016-10-20,536.7158813476562
2016-10-21,536.1997680664062
2016-10-24,538.6505126953125
2016-10-25,558.2550048828125
2016-10-26,559.1148071289062
2016-10-27,556.36328125
2016-10-28,556.8792724609375
2016-11-01,554.6865844726562
2016-11-02,548.6246337890625
2016-11-03,543.7235717773438
2016-11-04,538.2205810546875
2016-11-07,539.5533447265625
2016-11-08,542.8206176757812
2016-11-09,539.768310546875
2016-11-10,542.8206176757812
2016-11-11,533.2335205078125
2016-11-15,519.0460205078125
2016-11-16,525.06494140625
2016-11-17,529.5432739257812
2016-11-18,528.7606811523438
2016-11-21,522.1952514648438
2016-11-22,522.7604370117188
2016-11-23,526.2822875976562
2016-11-24,526.2822875976562
2016-11-25,539.2392578125
2016-11-28,540.3699951171875
2016-11-29,549.5006103515625
2016-11-30,559.8489990234375
2016-12-01,565.2404174804688
2016-12-02,565.2404174804688
2016-12-05,562.8489990234375
2016-12-06,561.7620849609375
2016-12-07,557.1531372070312
2016-12-08,559.2835693359375
2016-12-09,569.4579467773438
2016-12-12,568.1970825195312
2016-12-13,566.3275146484375
2016-12-14,577.8931274414062
2016-12-15,587.0672607421875
2016-12-16,590.6326904296875
2016-12-19,591.371826171875
2016-12-20,591.5892944335938
2016-12-21,591.8502807617188
2016-12-22,591.4153442382812
2016-12-23,589.2413940429688
2016-12-26,582.632568359375
2016-12-27,585.4151611328125
2016-12-28,591.5458374023438
2016-12-29,591.3284301757812
2016-12-30,591.371826171875
2017-01-02,591.5892944335938
2017-01-03,591.4153442382812
2017-01-04,606.9811401367188
2017-01-05,601.415771484375
2017-01-06,591.371826171875
2017-01-09,591.980712890625
2017-01-10,591.371826171875
2017-01-11,591.3284301757812
2017-01-12,591.4153442382812
2017-01-13,591.3284301757812
2017-01-16,591.4153442382812
2017-01-17,591.7198486328125
2017-01-18,600.5897216796875
2017-01-19,595.850341796875
2017-01-20,589.6762084960938
2017-01-23,578.45849609375
2017-01-24,591.371826171875
2017-01-25,597.1547241210938
2017-01-27,597.7201538085938
2017-01-30,589.2848510742188
2017-01-31,581.5454711914062
2017-02-01,579.0236206054688
2017-02-02,595.3285522460938
2017-02-03,598.7635498046875
2017-02-06,599.9810180664062
2017-02-07,597.9373779296875
2017-02-08,600.0244140625
2017-02-09,600.0680541992188
2017-02-10,604.3291015625
2017-02-13,600.4592895507812
2017-02-14,600.241943359375
2017-02-15,600.0244140625
2017-02-16,600.9810791015625
2017-02-17,600.8071899414062
2017-02-20,609.5031127929688
2017-02-21,618.8946533203125
2017-02-22,620.2427368164062
2017-02-23,619.1555786132812
2017-02-27,618.3297119140625
2017-02-28,618.6339721679688
2017-03-01,617.894775390625
2017-03-02,609.1553344726562
2017-03-03,608.7639770507812
2017-03-06,609.633544921875
2017-03-07,610.0684204101562
2017-03-08,610.1553955078125
2017-03-09,610.1553955078125
2017-03-10,610.5902099609375
2017-03-14,614.2859497070312
2017-03-15,617.5903930664062
2017-03-16,619.634033203125
2017-03-17,618.4599609375
2017-03-20,611.1552734375
2017-03-21,613.8511352539062
2017-03-22,602.7202758789062
2017-03-23,594.9808959960938
2017-03-24,600.8939208984375
2017-03-27,598.3287353515625
2017-03-28,600.7201538085938
2017-03-29,623.025390625
2017-03-30,623.4602661132812
2017-03-31,621.6339721679688
2017-04-03,628.069091796875
2017-04-05,624.4602661132812
2017-04-06,623.2862548828125
2017-04-07,618.1557006835938
2017-04-10,628.3733520507812
2017-04-11,624.6342163085938
2017-04-12,620.4600830078125
2017-04-13,624.025390625
2017-04-17,616.720947265625
2017-04-18,615.285888671875
2017-04-19,617.242431640625
2017-04-20,625.1124267578125
2017-04-21,630.8084106445312
2017-04-24,630.46044921875
2017-04-25,629.069091796875
2017-04-26,623.3731079101562
