Date,HAL
2018-04-02,469.53997802734375
2018-04-03,461.1031494140625
2018-04-04,455.91436767578125
2018-04-05,455.11773681640625
2018-04-06,450.5826721191406
2018-04-09,451.2363586425781
2018-04-10,450.3580322265625
2018-04-11,448.3150939941406
2018-04-12,443.7597351074219
2018-04-13,458.835693359375
2018-04-16,468.9883728027344
2018-04-17,468.37548828125
2018-04-18,461.6751708984375
2018-04-19,466.18975830078125
2018-04-20,459.8570861816406
2018-04-23,462.2062683105469
2018-04-24,462.0020446777344
2018-04-25,459.816162109375
2018-04-26,461.85894775390625
2018-04-27,459.9591979980469
2018-04-30,459.3667907714844
2018-05-02,455.24029541015625
2018-05-03,447.37542724609375
2018-05-04,446.78302001953125
2018-05-07,452.748046875
2018-05-08,451.19549560546875
2018-05-09,446.74212646484375
2018-05-10,443.5144958496094
2018-05-11,442.5544128417969
2018-05-14,435.71099853515625
2018-05-15,431.1759948730469
2018-05-16,426.661376953125
2018-05-17,424.8023681640625
2018-05-18,421.9833068847656
2018-05-21,417.28485107421875
2018-05-22,417.530029296875
2018-05-23,414.9560546875
2018-05-24,412.1369934082031
2018-05-25,417.8568420410156
2018-05-28,425.8646545410156
2018-05-29,428.4590759277344
2018-05-30,441.798583984375
2018-05-31,431.8909606933594
2018-06-01,420.7576599121094
2018-06-04,416.140869140625
2018-06-05,406.00860595703125
2018-06-06,407.2955322265625
2018-06-07,408.378173828125
2018-06-08,404.66033935546875
2018-06-11,403.2916259765625
2018-06-12,397.8373718261719
2018-06-13,394.0377197265625
2018-06-14,397.5717468261719
2018-06-15,395.69232177734375
2018-06-18,387.66412353515625
2018-06-19,380.04443359375
2018-06-20,377.9607849121094
2018-06-21,372.608642578125
2018-06-22,373.5891418457031
2018-06-25,368.11444091796875
2018-06-26,362.41497802734375
2018-06-27,353.5287780761719
2018-06-28,344.7854919433594
2018-06-29,344.9898681640625
2018-07-02,350.75054931640625
2018-07-03,344.9693298339844
2018-07-04,341.86431884765625
2018-07-05,338.2894287109375
2018-07-06,338.5957336425781
2018-07-09,336.06268310546875
2018-07-10,346.5014343261719
2018-07-11,342.9265441894531
2018-07-12,339.7602233886719
2018-07-13,337.7786865234375
2018-07-16,332.4060363769531
2018-07-17,333.48883056640625
2018-07-18,328.5451965332031
2018-07-19,324.173583984375
2018-07-20,320.74163818359375
2018-07-23,315.90020751953125
2018-07-24,319.5772705078125
2018-07-25,321.109375
2018-07-26,319.5159606933594
2018-07-27,322.4781188964844
2018-07-30,363.70196533203125
2018-07-31,395.7331848144531
2018-08-01,400.37042236328125
2018-08-02,391.2186279296875
2018-08-03,393.38397216796875
2018-08-06,390.4423522949219
2018-08-07,397.6126403808594
2018-08-08,397.3879089355469
2018-08-09,402.883056640625
2018-08-10,399.0833740234375
2018-08-13,401.96380615234375
2018-08-14,393.3227233886719
2018-08-16,384.4569091796875
2018-08-17,382.18939208984375
2018-08-20,377.49090576171875
2018-08-21,373.466552734375
2018-08-23,371.5259094238281
2018-08-24,365.724365234375
2018-08-27,375.91796875
2018-08-28,366.8683166503906
2018-08-29,366.4597473144531
2018-08-30,366.3372497558594
2018-08-31,364.5394592285156
2018-09-03,365.90814208984375
2018-09-04,362.70098876953125
2018-09-05,354.9179382324219
2018-09-06,353.5083312988281
2018-09-07,376.69427490234375
2018-09-10,380.1465759277344
2018-09-11,372.5064392089844
2018-09-12,369.5852355957031
2018-09-14,380.90240478515625
2018-09-17,389.4209899902344
2018-09-18,392.7710876464844
2018-09-19,381.9034118652344
2018-09-21,370.0550537109375
2018-09-24,356.2253112792969
2018-09-25,344.0705261230469
2018-09-26,342.96746826171875
2018-09-27,337.6357421875
2018-09-28,318.5967102050781
2018-10-01,327.91192626953125
2018-10-03,331.119140625
2018-10-04,327.9527587890625
2018-10-05,323.6628112792969
2018-10-08,319.0665283203125
2018-10-09,314.6745300292969
2018-10-10,316.2474365234375
2018-10-11,313.26495361328125
2018-10-12,317.922607421875
2018-10-15,322.72320556640625
2018-10-16,328.74951171875
2018-10-17,323.25433349609375
2018-10-19,318.5967102050781
2018-10-22,312.6929626464844
2018-10-23,307.6881103515625
