Date,KEC
2002-08-12,2.960885524749756
2002-08-13,2.9201016426086426
2002-08-14,2.846691370010376
2002-08-15,2.846691370010376
2002-08-16,2.8385348320007324
2002-08-19,2.7895944118499756
2002-08-20,2.8140649795532227
2002-08-21,2.7977511882781982
2002-08-22,2.765124797821045
2002-08-23,2.740654230117798
2002-08-26,2.7732808589935303
2002-08-27,2.740654230117798
2002-08-28,2.6672439575195312
2002-08-29,2.6427741050720215
2002-08-30,2.561206579208374
2002-09-02,2.5938339233398438
2002-09-03,2.5041098594665527
2002-09-04,2.4796392917633057
2002-09-05,2.520423412322998
2002-09-06,2.6183037757873535
2002-09-09,2.601990222930908
2002-09-10,2.601990222930908
2002-09-11,2.5775201320648193
2002-09-12,2.569363594055176
2002-09-13,2.7977511882781982
2002-09-16,2.7977511882781982
2002-09-17,2.952728509902954
2002-09-18,3.107706308364868
2002-09-19,2.8303780555725098
2002-09-20,2.8385348320007324
2002-09-23,2.863004446029663
2002-09-24,2.7243404388427734
2002-09-25,2.732497453689575
2002-09-26,2.7488105297088623
2002-09-27,2.756967306137085
2002-09-30,2.6346166133880615
2002-10-01,2.561206579208374
2002-10-02,2.561206579208374
2002-10-03,2.4796392917633057
2002-10-04,2.3817591667175293
2002-10-07,2.4470126628875732
2002-10-08,2.4633264541625977
2002-10-09,2.4225423336029053
2002-10-10,2.3736021518707275
2002-10-11,2.3980724811553955
2002-10-14,2.365445852279663
2002-10-15,2.365445852279663
2002-10-16,2.2920353412628174
2002-10-17,2.259408712387085
2002-10-18,2.2512519359588623
2002-10-21,2.21046781539917
2002-10-22,2.177841901779175
2002-10-23,2.079960584640503
2002-10-24,2.039177417755127
2002-10-25,2.0310206413269043
2002-10-28,1.9983935356140137
2002-10-29,2.145214796066284
2002-10-30,2.161527395248413
2002-10-31,2.161527395248413
2002-11-01,2.18599796295166
2002-11-04,2.194154739379883
2002-11-05,2.1125872135162354
2002-11-06,2.1125872135162354
2002-11-07,2.104430913925171
2002-11-08,2.1125872135162354
2002-11-11,2.234938621520996
2002-11-12,2.161527395248413
2002-11-13,2.161527395248413
2002-11-14,2.2023117542266846
2002-11-15,2.2267813682556152
2002-11-18,2.275721549987793
2002-11-19,2.275721549987793
2002-11-20,2.4470126628875732
2002-11-21,2.3736021518707275
2002-11-22,2.3817591667175293
