Date,NCC
2002-08-12,2.0830025672912598
2002-08-13,2.080605983734131
2002-08-14,2.025474786758423
2002-08-15,2.025474786758423
2002-08-16,2.068620204925537
2002-08-19,2.051841974258423
2002-08-20,2.11895751953125
2002-08-21,2.0446507930755615
2002-08-22,2.0830025672912598
2002-08-23,2.0206806659698486
2002-08-26,2.0182833671569824
2002-08-27,2.0039005279541016
2002-08-28,1.9511672258377075
2002-08-29,1.9415791034698486
2002-08-30,1.9367847442626953
2002-09-02,2.013489007949829
2002-09-03,1.9535645246505737
2002-09-04,1.9343878030776978
2002-09-05,1.8984326124191284
2002-09-06,1.9271968603134155
2002-09-09,1.8073457479476929
2002-09-10,1.8073457479476929
2002-09-11,1.8121405839920044
2002-09-12,1.8169342279434204
2002-09-13,1.804949164390564
2002-09-16,1.8361105918884277
2002-09-17,1.8217285871505737
2002-09-18,1.838507890701294
2002-09-19,1.809743881225586
2002-09-20,1.8025527000427246
2002-09-23,1.7905665636062622
2002-09-24,1.7833763360977173
2002-09-25,1.776185393333435
2002-09-26,1.8121405839920044
2002-09-27,1.8025527000427246
2002-09-30,1.7785818576812744
2002-10-01,1.7785818576812744
2002-10-02,1.7785818576812744
2002-10-03,1.7785818576812744
2002-10-04,1.7785818576812744
2002-10-07,1.7785818576812744
2002-10-08,1.7785818576812744
2002-10-09,1.7785818576812744
2002-10-10,1.7785818576812744
2002-10-11,1.7785818576812744
2002-10-14,1.7785818576812744
2002-10-15,1.7785818576812744
2002-10-16,1.7785818576812744
2002-10-17,1.7785818576812744
2002-10-18,1.7785818576812744
2002-10-21,1.7785818576812744
2002-10-22,1.7785818576812744
2002-10-23,1.7785818576812744
2002-10-24,1.7785818576812744
2002-10-25,1.7785818576812744
2002-10-28,1.7785818576812744
2002-10-29,1.7785818576812744
2002-10-30,1.7785818576812744
2002-10-31,1.7785818576812744
2002-11-01,1.7785818576812744
2002-11-04,1.7785818576812744
2002-11-05,1.7785818576812744
2002-11-06,1.7785818576812744
