Date,GUJALKALI
1999-01-01,11.221054077148438
1999-01-04,12.127367973327637
1999-01-05,12.515793800354004
1999-01-06,13.378952026367188
1999-01-07,13.378952026367188
1999-01-08,13.594740867614746
1999-01-11,13.637899398803711
1999-01-12,12.99052906036377
1999-01-13,12.472635269165039
1999-01-14,11.652637481689453
1999-01-15,11.652637481689453
1999-01-18,11.846844673156738
1999-01-19,10.897372245788574
1999-01-20,10.897372245788574
1999-01-21,10.206844329833984
1999-01-22,10.46579360961914
1999-01-25,10.46579360961914
1999-01-26,10.46579360961914
1999-01-27,10.897372245788574
1999-01-28,11.005266189575195
1999-01-29,11.048422813415527
1999-02-01,11.738945960998535
1999-02-02,12.019478797912598
1999-02-03,11.070002555847168
1999-02-04,10.185266494750977
1999-02-05,9.710529327392578
1999-02-08,9.710529327392578
1999-02-09,9.278950691223145
1999-02-10,10.034211158752441
1999-02-11,9.49474048614502
1999-02-12,9.278950691223145
1999-02-15,8.588423728942871
1999-02-16,8.782635688781738
1999-02-17,9.192632675170898
1999-02-18,8.631582260131836
1999-02-19,8.610000610351562
1999-02-22,8.545265197753906
1999-02-23,8.631582260131836
1999-02-24,7.984212875366211
1999-02-25,8.30789566040039
1999-02-26,8.955265045166016
1999-03-01,9.106318473815918
1999-03-02,9.106318473815918
1999-03-03,9.192632675170898
1999-03-04,8.458949089050293
1999-03-05,8.351056098937988
1999-03-08,8.415788650512695
1999-03-09,7.768423557281494
1999-03-10,7.9410552978515625
1999-03-11,8.415788650512695
1999-03-12,8.005790710449219
1999-03-15,7.897895812988281
1999-03-16,7.768423557281494
1999-03-17,6.905265808105469
1999-03-18,7.574212074279785
1999-03-19,7.5526347160339355
1999-03-22,7.768423557281494
1999-03-23,7.811580181121826
1999-03-24,8.912107467651367
1999-03-25,8.200002670288086
1999-03-26,7.336843967437744
1999-03-29,7.336843967437744
1999-03-30,7.703686714172363
1999-03-31,7.768423557281494
1999-04-01,7.9410552978515625
1999-04-02,7.9410552978515625
1999-04-05,7.768423557281494
1999-04-06,7.9410552978515625
1999-04-07,7.336843967437744
1999-04-08,7.984212875366211
1999-04-09,8.156843185424805
1999-04-12,8.610000610351562
1999-04-13,8.998422622680664
1999-04-14,8.998422622680664
1999-04-15,9.1494779586792
1999-04-16,9.883159637451172
1999-04-19,9.063159942626953
1999-04-20,8.976844787597656
1999-04-21,9.063159942626953
1999-04-22,8.825791358947754
1999-04-23,8.631582260131836
1999-04-26,7.984212875366211
1999-04-27,7.984212875366211
1999-04-28,8.200002670288086
1999-04-29,9.063159942626953
1999-04-30,8.890530586242676
1999-05-03,9.020001411437988
1999-05-04,9.063159942626953
1999-05-05,8.868947982788086
1999-05-06,8.847372055053711
1999-05-07,9.020001411437988
1999-05-10,8.868947982788086
1999-05-11,9.020001411437988
1999-05-12,8.933686256408691
1999-05-13,8.782635688781738
1999-05-14,8.739476203918457
1999-05-17,9.278950691223145
1999-05-18,9.926319122314453
1999-05-19,10.724740982055664
1999-05-20,10.46579360961914
1999-05-21,10.142108917236328
1999-05-24,10.962108612060547
1999-05-25,11.846844673156738
1999-05-26,11.415265083312988
1999-05-27,11.415265083312988
1999-05-28,10.508952140808105
1999-05-31,11.350532531738281
1999-06-01,10.573689460754395
1999-06-02,10.789478302001953
1999-06-03,10.638425827026367
1999-06-04,11.480003356933594
1999-06-07,11.221054077148438
1999-06-08,11.609477043151855
1999-06-09,12.256843566894531
1999-06-10,12.6021089553833
1999-06-11,11.82526683807373
1999-06-14,11.048422813415527
1999-06-15,10.832635879516602
1999-06-16,11.221054077148438
1999-06-17,11.328947067260742
1999-06-18,11.868426322937012
1999-06-21,12.81789779663086
1999-06-22,12.364737510681152
1999-06-23,12.364737510681152
1999-06-24,12.170533180236816
1999-06-25,11.911581039428711
1999-06-28,12.235268592834473
1999-06-29,12.515793800354004
1999-06-30,12.73158073425293
1999-07-01,12.343161582946777
1999-07-02,12.40789794921875
1999-07-05,13.400527954101562
1999-07-06,14.479480743408203
1999-07-07,15.644744873046875
1999-07-08,16.443161010742188
1999-07-09,15.925270080566406
1999-07-12,16.3784236907959
1999-07-13,15.105269432067871
1999-07-14,15.14842414855957
1999-07-15,14.134214401245117
1999-07-16,14.091057777404785
1999-07-19,13.875265121459961
1999-07-20,12.861055374145508
1999-07-21,13.292635917663574
1999-07-22,12.710007667541504
1999-07-23,12.40789794921875
1999-07-26,12.343161582946777
1999-07-27,12.192110061645508
1999-07-28,12.537372589111328
1999-07-29,12.904214859008789
1999-07-30,12.386321067810059
1999-08-02,11.458423614501953
1999-08-03,11.480003356933594
1999-08-04,12.386321067810059
1999-08-05,12.73158073425293
1999-08-06,12.30000114440918
1999-08-09,12.753157615661621
1999-08-10,12.81789779663086
1999-08-11,12.796318054199219
1999-08-12,13.810532569885254
1999-08-13,14.932636260986328
1999-08-16,14.285265922546387
1999-08-17,13.702637672424316
1999-08-18,14.803165435791016
1999-08-19,15.018953323364258
1999-08-20,14.803165435791016
1999-08-23,15.450529098510742
1999-08-24,15.644744873046875
1999-08-25,14.781582832336426
1999-08-26,15.968425750732422
1999-08-27,16.20579719543457
1999-08-30,15.709477424621582
1999-08-31,15.536847114562988
1999-09-01,15.256317138671875
1999-09-02,14.846315383911133
1999-09-03,14.544215202331543
1999-09-06,14.134214401245117
1999-09-07,14.220529556274414
1999-09-08,14.047897338867188
1999-09-09,13.9400053024292
1999-09-10,14.047897338867188
1999-09-13,14.047897338867188
1999-09-14,13.9400053024292
1999-09-15,13.659478187561035
1999-09-16,13.249479293823242
1999-09-17,13.810532569885254
1999-09-20,13.78895092010498
1999-09-21,12.753157615661621
1999-09-22,12.64526653289795
1999-09-23,12.472635269165039
1999-09-24,12.256843566894531
1999-09-27,11.933161735534668
1999-09-28,11.868426322937012
1999-09-29,11.868426322937012
1999-09-30,11.933161735534668
1999-10-01,11.82526683807373
1999-10-04,11.95473861694336
1999-10-05,12.235268592834473
1999-10-06,12.40789794921875
1999-10-07,12.73158073425293
1999-10-08,12.558950424194336
1999-10-11,12.30000114440918
1999-10-12,12.170533180236816
1999-10-13,12.32158374786377
1999-10-14,12.2136869430542
1999-10-15,12.192110061645508
1999-10-18,11.82526683807373
1999-10-19,11.82526683807373
1999-10-20,12.192110061645508
1999-10-21,12.105791091918945
1999-10-22,12.08421516418457
1999-10-25,11.95473861694336
1999-10-26,11.652637481689453
1999-10-27,11.652637481689453
1999-10-28,10.789478302001953
1999-10-29,11.026844024658203
1999-11-01,10.293158531188965
1999-11-02,9.688950538635254
1999-11-03,9.75368595123291
1999-11-04,9.60263442993164
1999-11-05,10.142108917236328
1999-11-08,10.142108917236328
1999-11-09,9.969477653503418
1999-11-10,9.77526569366455
1999-11-11,10.185266494750977
1999-11-12,9.926319122314453
1999-11-15,9.861580848693848
1999-11-16,9.710529327392578
1999-11-17,9.688950538635254
1999-11-18,9.49474048614502
1999-11-19,9.063159942626953
1999-11-22,9.214213371276855
1999-11-23,9.214213371276855
1999-11-24,8.825791358947754
1999-11-25,8.674737930297852
1999-11-26,8.782635688781738
1999-11-29,8.739476203918457
1999-11-30,8.696320533752441
1999-12-01,8.890530586242676
1999-12-02,9.60263442993164
1999-12-03,10.379478454589844
1999-12-06,11.221054077148438
1999-12-07,11.221054077148438
1999-12-08,10.681581497192383
1999-12-09,10.789478302001953
1999-12-10,10.552109718322754
1999-12-13,10.357897758483887
1999-12-14,10.573689460754395
1999-12-15,9.926319122314453
1999-12-16,10.16368579864502
1999-12-17,10.811055183410645
1999-12-20,10.616843223571777
1999-12-21,10.660001754760742
1999-12-22,10.940529823303223
1999-12-23,11.1131591796875
1999-12-24,10.811055183410645
1999-12-27,10.789478302001953
1999-12-28,10.811055183410645
1999-12-29,10.767899513244629
