Date,ICICIGI
2017-09-27,644.6538696289062
2017-09-28,649.101806640625
2017-09-29,643.7077026367188
2017-10-03,647.7769165039062
2017-10-04,645.1270751953125
2017-10-05,630.458740234375
2017-10-06,643.5184936523438
2017-10-09,647.25634765625
2017-10-10,649.6223754882812
2017-10-11,650.5685424804688
2017-10-12,662.776611328125
2017-10-13,657.760986328125
2017-10-16,658.8019409179688
2017-10-17,679.7161865234375
2017-10-18,676.8773193359375
2017-10-19,683.454345703125
2017-10-23,655.91552734375
2017-10-24,658.8492431640625
2017-10-25,646.6412353515625
2017-10-26,648.9151000976562
2017-10-27,646.972900390625
2017-10-30,644.4149780273438
2017-10-31,641.3832397460938
2017-11-01,644.7939453125
2017-11-02,645.1727905273438
2017-11-03,639.1094360351562
2017-11-06,645.3150024414062
2017-11-07,644.5096435546875
2017-11-08,643.088623046875
2017-11-09,643.088623046875
2017-11-10,644.5096435546875
2017-11-13,649.3887329101562
2017-11-14,649.9097290039062
2017-11-15,650.2887573242188
2017-11-16,642.0938720703125
2017-11-17,649.5308837890625
2017-11-20,653.1782836914062
2017-11-21,662.2733764648438
2017-11-22,659.2890014648438
2017-11-23,664.1206665039062
2017-11-24,663.2680053710938
2017-11-27,663.74169921875
2017-11-28,668.9049682617188
2017-11-29,681.1263427734375
2017-11-30,676.7683715820312
2017-12-01,682.0738525390625
2017-12-04,682.8316040039062
2017-12-05,689.0845336914062
2017-12-06,688.4213256835938
2017-12-07,696.47412109375
2017-12-08,725.464111328125
2017-12-11,724.4693603515625
2017-12-12,743.0382080078125
2017-12-13,734.322265625
2017-12-14,736.2645874023438
2017-12-15,749.1963500976562
2017-12-18,757.9122924804688
2017-12-19,754.406982421875
2017-12-20,735.4591674804688
2017-12-21,734.4169921875
2017-12-22,736.453857421875
2017-12-26,745.0278930664062
2017-12-27,740.1488037109375
2017-12-28,750.5700073242188
2017-12-29,734.7012939453125
2018-01-01,753.6490478515625
2018-01-02,757.9595947265625
2018-01-03,758.1964721679688
2018-01-04,764.9702758789062
2018-01-05,778.8023681640625
2018-01-08,803.3396606445312
2018-01-09,744.2698974609375
2018-01-10,737.0697021484375
2018-01-11,748.6751708984375
2018-01-12,748.72265625
2018-01-15,747.2542114257812
2018-01-16,768.5231323242188
2018-01-17,805.3290405273438
2018-01-18,799.1239624023438
2018-01-19,784.0601806640625
2018-01-22,808.6925048828125
