Date,MAHLOG
2017-11-10,412.229736328125
2017-11-13,409.5423583984375
2017-11-14,407.9586486816406
2017-11-15,404.743408203125
2017-11-16,398.6007385253906
2017-11-17,391.5462951660156
2017-11-20,401.52813720703125
2017-11-21,406.95086669921875
2017-11-22,408.72650146484375
2017-11-23,410.1181640625
2017-11-24,430.12982177734375
2017-11-27,431.61749267578125
2017-11-28,428.54620361328125
2017-11-29,430.3697814941406
2017-11-30,429.60186767578125
2017-12-01,423.89117431640625
2017-12-04,412.9975280761719
2017-12-05,411.8458251953125
2017-12-06,414.0053405761719
2017-12-07,421.923583984375
2017-12-08,424.6110534667969
2017-12-11,422.01959228515625
2017-12-12,417.5085754394531
2017-12-13,417.0766296386719
2017-12-14,417.0766296386719
2017-12-15,421.39569091796875
2017-12-18,417.4125671386719
2017-12-19,427.58636474609375
2017-12-20,424.6590270996094
2017-12-21,436.176513671875
2017-12-22,432.76922607421875
2017-12-26,429.8898620605469
2017-12-27,431.2335510253906
2017-12-28,424.8509826660156
2017-12-29,420.5798645019531
2018-01-01,426.7705383300781
2018-01-02,430.51373291015625
2018-01-03,424.75494384765625
2018-01-04,432.0973815917969
2018-01-05,432.2413330078125
2018-01-08,444.57464599609375
2018-01-09,449.7575378417969
2018-01-10,451.58111572265625
2018-01-11,475.2879638671875
2018-01-12,517.4226684570312
2018-01-15,508.352783203125
2018-01-16,482.5343017578125
2018-01-17,487.9091491699219
2018-01-18,479.3190002441406
2018-01-19,472.4085998535156
2018-01-22,471.8806457519531
2018-01-23,486.9973449707031
2018-01-24,488.005126953125
2018-01-25,476.3436279296875
2018-01-29,464.25030517578125
2018-01-30,457.0038757324219
2018-01-31,442.07916259765625
2018-02-01,449.6135559082031
2018-02-02,456.0441589355469
2018-02-05,449.85345458984375
2018-02-06,447.406005859375
2018-02-07,450.7652587890625
2018-02-08,456.09210205078125
2018-02-09,452.97283935546875
2018-02-12,452.5408630371094
2018-02-14,446.9261169433594
2018-02-15,444.7665710449219
2018-02-16,447.98187255859375
2018-02-19,436.176513671875
2018-02-20,430.0338439941406
2018-02-21,428.0662536621094
2018-02-22,428.9781188964844
2018-02-23,428.6900939941406
2018-02-26,438.1920471191406
2018-02-27,440.11163330078125
2018-02-28,448.55780029296875
2018-03-01,460.651123046875
2018-03-05,461.8988342285156
2018-03-06,464.97021484375
2018-03-07,451.2931823730469
2018-03-08,449.6615295410156
2018-03-09,454.1245422363281
2018-03-12,490.1646728515625
2018-03-13,489.2528381347656
2018-03-14,476.4876708984375
2018-03-15,497.41107177734375
2018-03-16,514.1114501953125
2018-03-19,482.82232666015625
2018-03-20,463.05059814453125
2018-03-21,472.9364013671875
2018-03-22,462.7146911621094
2018-03-23,454.3165283203125
2018-03-26,444.19073486328125
2018-03-27,457.5798034667969
2018-03-28,465.30609130859375
2018-04-02,481.0946350097656
2018-04-03,475.431884765625
2018-04-04,468.7613525390625
2018-04-05,475.8637390136719
2018-04-06,479.0790710449219
2018-04-09,476.8235778808594
2018-04-10,475.575927734375
2018-04-11,475.1439208984375
2018-04-12,469.5291748046875
2018-04-13,470.344970703125
2018-04-16,469.3852233886719
2018-04-17,466.505859375
2018-04-18,463.6744689941406
2018-04-19,466.64984130859375
2018-04-20,465.97796630859375
2018-04-23,465.4020690917969
2018-04-24,467.609619140625
2018-04-25,458.5395812988281
2018-04-26,463.81842041015625
2018-04-27,467.609619140625
2018-04-30,466.3618469238281
2018-05-02,470.82489013671875
2018-05-03,471.5927429199219
2018-05-04,470.344970703125
2018-05-07,501.6341857910156
2018-05-08,498.22686767578125
2018-05-09,527.260498046875
2018-05-10,543.7208862304688
2018-05-11,532.8272705078125
2018-05-14,532.0595092773438
2018-05-15,513.6795043945312
2018-05-16,537.770263671875
2018-05-17,514.9752197265625
2018-05-18,522.2216186523438
2018-05-21,513.5355224609375
2018-05-22,512.7677001953125
2018-05-23,518.238525390625
2018-05-24,532.4434204101562
2018-05-25,532.539306640625
2018-05-28,568.5794067382812
2018-05-29,557.4459838867188
2018-05-30,553.798828125
2018-05-31,546.7922973632812
2018-06-01,542.3771362304688
2018-06-04,544.3447265625
2018-06-05,522.4614868164062
2018-06-06,527.9802856445312
2018-06-07,538.0101928710938
2018-06-08,529.6599731445312
2018-06-11,562.388916015625
2018-06-12,550.9673461914062
2018-06-13,550.6314086914062
2018-06-14,585.0398559570312
2018-06-15,593.8218994140625
2018-06-18,605.6273803710938
2018-06-19,610.666259765625
2018-06-20,598.8609008789062
2018-06-21,588.1591796875
2018-06-22,580.3369140625
2018-06-25,571.2669067382812
2018-06-26,572.37060546875
2018-06-27,549.6236572265625
2018-06-28,529.3721923828125
2018-06-29,530.8118286132812
2018-07-02,550.1035766601562
2018-07-03,545.9764404296875
2018-07-04,550.9673461914062
2018-07-05,570.4990234375
2018-07-06,585.423828125
2018-07-09,589.9827880859375
2018-07-10,585.0878295898438
2018-07-11,577.5535278320312
2018-07-12,566.5638427734375
2018-07-13,554.66259765625
2018-07-16,537.2903442382812
2018-07-17,561.2850341796875
2018-07-18,551.0153198242188
2018-07-19,544.728759765625
2018-07-20,535.2748413085938
2018-07-23,550.9673461914062
2018-07-24,553.078857421875
2018-07-25,579.7464599609375
2018-07-26,584.8456420898438
2018-07-27,572.0980834960938
2018-07-30,564.6900634765625
2018-07-31,555.021240234375
2018-08-01,559.5429077148438
2018-08-02,562.91015625
2018-08-03,557.5706787109375
2018-08-06,557.907470703125
2018-08-07,551.9906005859375
2018-08-08,545.9777221679688
2018-08-09,550.0184326171875
2018-08-10,543.764892578125
2018-08-13,540.9267578125
2018-08-14,537.0303955078125
2018-08-16,539.4837036132812
2018-08-17,541.5521850585938
2018-08-20,539.7243041992188
2018-08-21,542.2255859375
2018-08-23,544.1497192382812
2018-08-24,540.8786010742188
2018-08-27,543.476318359375
2018-08-28,543.7168579101562
2018-08-29,534.3847045898438
2018-08-30,552.8565063476562
2018-08-31,566.3737182617188
2018-09-03,578.64013671875
2018-09-04,574.503173828125
2018-09-05,577.0526733398438
2018-09-06,573.8778686523438
2018-09-07,573.5892333984375
2018-09-10,555.7908935546875
2018-09-11,530.7769775390625
2018-09-12,524.1866455078125
2018-09-14,535.1062622070312
2018-09-17,533.8555908203125
2018-09-18,528.852783203125
2018-09-19,525.4854736328125
2018-09-21,519.568603515625
2018-09-24,526.2070922851562
2018-09-25,513.652099609375
2018-09-26,522.5992431640625
2018-09-27,519.3282470703125
2018-09-28,494.3622741699219
2018-10-01,492.1014709472656
2018-10-03,498.01824951171875
2018-10-04,496.71942138671875
2018-10-05,510.140380859375
2018-10-08,493.3040771484375
2018-10-09,492.4862976074219
2018-10-10,503.0691223144531
2018-10-11,505.762939453125
2018-10-12,531.5465698242188
2018-10-15,526.2551879882812
2018-10-16,537.8482055664062
2018-10-17,538.5216064453125
2018-10-19,516.05712890625
2018-10-22,519.61669921875
2018-10-23,516.7305297851562
2018-10-24,527.9868774414062
2018-10-25,525.6297607421875
2018-10-26,529.0452270507812
2018-10-29,525.1487426757812
2018-10-30,530.4882202148438
2018-10-31,528.9970092773438
