Date,WESTLIFE
2019-08-19,280.5212707519531
2019-08-20,288.1795654296875
2019-08-21,283.7039794921875
2019-08-22,276.44354248046875
2019-08-23,279.5267028808594
2019-08-26,285.3450012207031
2019-08-27,285.09637451171875
2019-08-28,280.3223876953125
2019-08-29,278.482421875
2019-08-30,278.5321350097656
2019-09-03,282.1623840332031
2019-09-04,275.1008605957031
2019-09-05,275.2500305175781
2019-09-06,283.8531494140625
2019-09-09,288.22930908203125
2019-09-11,282.5104675292969
2019-09-12,280.2229309082031
2019-09-13,282.0131530761719
2019-09-16,280.9688720703125
2019-09-17,278.1343078613281
2019-09-18,275.0511169433594
2019-09-19,271.6695556640625
2019-09-20,308.3695373535156
2019-09-23,319.061279296875
2019-09-24,319.01153564453125
2019-09-25,315.4310302734375
2019-09-26,309.4138488769531
2019-09-27,298.3243103027344
2019-09-30,293.251953125
2019-10-01,286.3395690917969
2019-10-03,284.7980041503906
2019-10-04,298.3740234375
2019-10-07,321.19964599609375
2019-10-09,315.5802307128906
2019-10-10,313.292724609375
2019-10-11,315.8288879394531
2019-10-14,319.2104797363281
2019-10-15,318.6137390136719
2019-10-16,317.7186279296875
2019-10-17,322.54229736328125
2019-10-18,329.45465087890625
2019-10-22,342.483642578125
2019-10-23,339.1020812988281
2019-10-24,345.9646911621094
2019-10-25,364.3146667480469
2019-10-27,360.3860778808594
2019-10-29,352.777587890625
2019-10-30,346.0641174316406
2019-10-31,348.7992248535156
2019-11-01,346.90948486328125
2019-11-04,349.09759521484375
2019-11-05,348.3019104003906
2019-11-06,388.9802551269531
2019-11-07,380.029052734375
2019-11-08,383.1619873046875
2019-11-11,367.9449157714844
2019-11-13,348.55059814453125
2019-11-14,351.782958984375
2019-11-15,349.04791259765625
2019-11-18,369.08868408203125
2019-11-19,369.0389099121094
2019-11-20,355.612060546875
2019-11-21,346.4122009277344
2019-11-22,338.3064270019531
2019-11-25,361.8282165527344
2019-11-26,374.9069519042969
2019-11-27,367.7956848144531
2019-11-28,369.1881103515625
2019-11-29,375.8020935058594
2019-12-02,369.0389099121094
2019-12-03,368.2929992675781
2019-12-04,356.3083190917969
2019-12-05,352.0316162109375
2019-12-06,353.2250671386719
2019-12-09,350.5397644042969
2019-12-10,346.16357421875
2019-12-11,341.63824462890625
2019-12-12,348.7494812011719
2019-12-13,345.367919921875
2019-12-16,344.423095703125
2019-12-17,347.15814208984375
2019-12-18,351.136474609375
2019-12-19,346.21331787109375
2019-12-20,345.6166076660156
2019-12-23,343.6771240234375
2019-12-24,338.2069396972656
2019-12-26,340.5939636230469
2019-12-27,340.0469055175781
2019-12-30,344.3236389160156
2019-12-31,341.33990478515625
2020-01-01,342.8815002441406
2020-01-02,363.71795654296875
2020-01-03,358.197998046875
2020-01-06,348.9981689453125
2020-01-07,359.8888244628906
2020-01-08,359.7396240234375
2020-01-09,375.5036926269531
2020-01-10,383.8084411621094
2020-01-13,381.7198181152344
2020-01-14,380.029052734375
2020-01-15,380.675537109375
2020-01-16,374.6583251953125
2020-01-17,375.05615234375
2020-01-20,379.4322814941406
2020-01-21,379.3328552246094
2020-01-22,384.0073547363281
2020-01-23,418.7679443359375
2020-01-24,438.70928955078125
2020-01-27,431.4488220214844
2020-01-28,434.18389892578125
2020-01-29,435.5265808105469
2020-01-30,426.8240051269531
2020-01-31,431.15045166015625
2020-02-03,452.9317626953125
2020-02-04,477.74652099609375
