year,K,excl,disp,excl_names,norm,blk
2005,17,-0.04726724671782238,0.11322848637254382,NIFTY CEMENT|NIFTY METAL|NIFTY OIL & GAS|NIFTY POWER|NIFTY TELECOMMUNICATIONS,-0.4174501331961986,2005-09
2005,17,0.09632152540065263,0.12221511015403616,NIFTY CAPITAL GOODS|NIFTY CHEMICALS|NIFTY COMMERCIAL & TRANSPORT SERVICES|NIFTY CONSTRUCTION|NIFTY METAL,0.7881310688936248,2005-09
2005,17,-0.021217394066258825,0.14917637816363719,NIFTY FMCG|NIFTY HEALTHCARE|NIFTY IT|NIFTY OIL & GAS|NIFTY POWER,-0.14223025339162387,2005-09
2005,17,0.013677783208105764,0.09952160449162888,NIFTY AUTO|NIFTY BANK|NIFTY NBFC|NIFTY OIL & GAS|NIFTY PSU BANK,0.13743531646192714,2005-09
2005,17,-0.045439671225717584,0.13236537949978694,NIFTY CONSUMER DURABLES|NIFTY HEALTHCARE|NIFTY NBFC|NIFTY POWER|NIFTY TELECOMMUNICATIONS,-0.3432896985407784,2005-09
2005,17,-0.11199944606520651,0.19361645886039794,NIFTY BANK|NIFTY METAL|NIFTY POWER|NIFTY PSU BANK|NIFTY TELECOMMUNICATIONS,-0.5784603577837397,2005-09
2005,17,-0.0712705157299915,0.1949895680591305,NIFTY BANK|NIFTY CHEMICALS|NIFTY IT|NIFTY METAL|NIFTY PSU BANK,-0.3655093779600494,2005-09
2005,17,0.032201920443752884,0.21883198338012572,NIFTY CAPITAL GOODS|NIFTY CEMENT|NIFTY COMMERCIAL & TRANSPORT SERVICES|NIFTY HEALTHCARE|NIFTY POWER,0.14715362876283036,2005-09
2006,18,-0.04738200170920601,0.08789920264536621,NIFTY BANK|NIFTY CONSUMER DURABLES|NIFTY IT|NIFTY OIL & GAS|NIFTY PSU BANK|NIFTY TELECOMMUNICATIONS,-0.5390492778457968,2005-09
2006,18,-0.06757151061605908,0.13338580737717334,NIFTY BANK|NIFTY CHEMICALS|NIFTY IT|NIFTY OIL & GAS|NIFTY PSU BANK|NIFTY TELECOMMUNICATIONS,-0.5065869596229828,2005-09
2006,18,-0.02934515844777172,0.06421189845001854,NIFTY AUTO|NIFTY BANK|NIFTY CHEMICALS|NIFTY COMMERCIAL & TRANSPORT SERVICES|NIFTY POWER|NIFTY PSU BANK,-0.45700499683268975,2005-09
2006,18,0.0549142020087322,0.07161667947174598,NIFTY AUTO|NIFTY BANK|NIFTY HEALTHCARE|NIFTY IT|NIFTY POWER|NIFTY PSU BANK,0.7667795046319734,2005-09
2006,18,0.0016100126998243962,0.09946118441351334,NIFTY CAPITAL GOODS|NIFTY CEMENT|NIFTY FMCG|NIFTY HEALTHCARE|NIFTY METAL|NIFTY TELECOMMUNICATIONS,0.01618734694663108,2005-09
2006,18,0.06638398666875127,0.1357530324226505,NIFTY BANK|NIFTY CHEMICALS|NIFTY CONSUMER DURABLES|NIFTY MEDIA|NIFTY NBFC|NIFTY PSU BANK,0.4890055528341557,2005-09
