,NIFTY AUTO,NIFTY BANK,NIFTY CAPITAL GOODS,NIFTY CEMENT,NIFTY CHEMICALS,NIFTY COMMERCIAL & TRANSPORT SERVICES,NIFTY CONSTRUCTION,NIFTY CONSUMER DURABLES,NIFTY CONSUMER SERVICES,NIFTY FINANCIAL SERVICES,NIFTY FMCG,NIFTY HEALTHCARE,NIFTY HOSPITALS,NIFTY HOUSING FINANCE,NIFTY INSURANCE,NIFTY IT,NIFTY MEDIA,NIFTY METAL,NIFTY NBFC,NIFTY OIL & GAS,NIFTY PHARMA,NIFTY POWER,NIFTY PRIVATE BANK,NIFTY PSU BANK,NIFTY REALTY,NIFTY RETAIL,NIFTY TELECOMMUNICATIONS
NIFTY AUTO,1.0,-0.0913965309095903,0.07383055511548123,0.08914640312553831,0.07788708015807001,0.08453661544422589,-0.06402444946012936,0.10872637043801481,0.12314895857532226,-0.12414673317826018,0.07440670537722166,0.0723983969980502,0.0030609773179463683,0.024470135501902805,-0.008842099497672848,-0.08063302269176527,0.09234281151595279,-0.009398981731528339,0.10149784519325711,-0.09510640228452043,0.0695115714996209,-0.09972804469189285,-0.09709447456789393,-0.017713355116167746,-0.062274584814158075,0.05087812594009885,-0.04236105882601794
NIFTY BANK,-0.0913965309095903,1.0,-0.13386724374434641,-0.08687715320660816,-0.22935399472031434,-0.15856601719045732,0.08322407129804459,-0.19710493077785285,-0.24631562770475127,0.8977185934185318,-0.26886268294429,-0.3396539815941048,-0.19651084819911496,0.16687970846669345,0.008627302935907764,-0.2923514705038209,-0.12715634081371668,-0.069929058764255,0.0387622162291803,-0.226818819949575,-0.31943812225545315,-0.11157850374865183,0.8749960055036751,0.541517574794433,0.13031133406177295,-0.17317160515273042,-0.14856878397948245
NIFTY CAPITAL GOODS,0.07383055511548123,-0.13386724374434641,1.0,0.13597654987474997,0.24229370888347262,0.33926114988352063,0.3771049433408026,0.20330765689470537,0.16115630517712368,-0.1855930710177859,-0.12398406213828851,0.012435991085191172,0.016844283621247083,0.16998431129612063,0.00629403402048541,-0.2185655329006362,0.1757944008163273,0.09359158008280424,0.16004911148399875,0.0044493045602948585,-0.005908336902453945,0.22855679807761503,-0.12135533990206707,0.11524043912518325,0.1768967346577938,0.16300328277101922,0.09844014607118051
NIFTY CEMENT,0.08914640312553831,-0.08687715320660816,0.13597654987474997,1.0,0.0922232129118649,0.16159796794814166,0.17035255140664263,0.07836163801554526,0.03598846321071659,-0.10315036893406751,-0.020044342098926474,-0.017819178801125764,0.0069252404378337094,0.09827035234528742,0.032525587358021815,-0.1718430587850077,0.06612005264501307,0.11117588752135578,0.08290188936631349,-0.048338615367222094,-0.022561243504326766,0.09567173811702716,-0.09743352158229986,0.04714720867076885,0.12873327847639127,0.027407941050235522,0.037717092954973226
NIFTY CHEMICALS,0.07788708015807001,-0.22935399472031434,0.24229370888347262,0.0922232129118649,1.0,0.30415035445408806,0.04835960530287376,0.27738121947939376,0.23009002311683774,-0.27409995434559065,0.1327043852570883,0.24719570383739498,0.1088080560493264,0.01757866292876927,-0.013079478100399106,-0.07095285028718462,0.18367901744783063,-0.0016657060171884927,0.18097571625567355,0.00593168808693088,0.21161667957420086,0.0823624640685068,-0.1961252067074922,-0.05452089704879912,-0.015203683018099401,0.18906704061765248,0.0316408361739841
NIFTY COMMERCIAL & TRANSPORT SERVICES,0.08453661544422589,-0.15856601719045732,0.33926114988352063,0.16159796794814166,0.30415035445408806,1.0,0.2621210146615961,0.24116356240283318,0.1861420863102976,-0.20508691866505938,-0.01932374495216352,0.07652240361335173,-0.033339497262987045,0.16633333475783582,0.01006540700570788,-0.1598584432831004,0.21603137506270917,0.07362662650818753,0.21743909398679898,0.03050303941708487,0.05185745917299325,0.2126661778329295,-0.13770192705817838,0.07067370618546548,0.1380291734402849,0.1809233229320456,0.07421248354089127
NIFTY CONSTRUCTION,-0.06402444946012936,0.08322407129804459,0.3771049433408026,0.17035255140664263,0.04835960530287376,0.2621210146615961,1.0,0.09318335935598664,0.1470198618078761,0.0555405578967602,-0.3401619390432941,-0.2600470074031228,-0.09877697781073795,0.32311117772183073,0.013282291313236117,-0.3357772796949917,0.17155324839762054,0.19136068686914776,0.14917563782851714,-0.01894938370280725,-0.2631711367591764,0.2568697137548734,0.09617547349202517,0.2388440484794654,0.7417432073097078,0.12005868704142245,0.08381974736921852
NIFTY CONSUMER DURABLES,0.10872637043801481,-0.19710493077785285,0.20330765689470537,0.07836163801554526,0.27738121947939376,0.24116356240283318,0.09318335935598664,1.0,0.29374390643633636,-0.19705786445877002,0.09818518600558225,0.1114158972935422,0.09293678553906229,-0.02175885860294175,-0.0017931110036654321,-0.04593712253561788,0.1312330285097762,-0.023951324780114604,0.15505552254905017,-0.06689957292667505,0.07846007436511418,0.021991057939825774,-0.16169689143006116,-0.0898865824515629,0.0536213651650184,0.2382053181113573,0.01249554702110083
NIFTY CONSUMER SERVICES,0.12314895857532226,-0.24631562770475127,0.16115630517712368,0.03598846321071659,0.23009002311683774,0.1861420863102976,0.1470198618078761,0.29374390643633636,1.0,-0.24960314482257825,0.023193177253881436,0.039020137901782825,0.07775935632399782,0.06785946636245559,0.026054840175167054,-0.00030925844714744394,0.14886281451837763,-0.008381670045941685,0.09529061677134724,-0.11321705601008716,0.017292768590160473,0.008406705207351359,-0.22241953752191815,-0.07976585932120903,0.18135583962927856,0.8363450963926723,0.14088423856904062
NIFTY FINANCIAL SERVICES,-0.12414673317826018,0.8977185934185318,-0.1855930710177859,-0.10315036893406751,-0.27409995434559065,-0.20508691866505938,0.0555405578967602,-0.19705786445877002,-0.24960314482257825,1.0,-0.2679945253558839,-0.37075283727420516,-0.17988840274323423,0.18274788823806726,0.11526786232070721,-0.28561963217175096,-0.16511027510867535,-0.09783461645206537,0.09411938646373579,-0.25982678260552355,-0.34872557353714134,-0.1462175906377828,0.8189016299977822,0.38223761816051005,0.11913338563576864,-0.17685095611275367,-0.17728393240163084
NIFTY FMCG,0.07440670537722166,-0.26886268294429,-0.12398406213828851,-0.020044342098926474,0.1327043852570883,-0.01932374495216352,-0.3401619390432941,0.09818518600558225,0.023193177253881436,-0.2679945253558839,1.0,0.33574321775173926,0.17181173946126888,-0.2655074099952552,0.04371657996056757,0.1008549682261817,0.0013863996311842186,-0.2514407540657809,-0.07090605415915933,-0.08964030386308086,0.317425094767147,-0.14198455269795598,-0.26295170724378625,-0.22687126743764371,-0.30483081367614595,0.020748575550477218,-0.0688328616371172
NIFTY HEALTHCARE,0.0723983969980502,-0.3396539815941048,0.012435991085191172,-0.017819178801125764,0.24719570383739498,0.07652240361335173,-0.2600470074031228,0.1114158972935422,0.039020137901782825,-0.37075283727420516,0.33574321775173926,1.0,0.5066004516856502,-0.1456191270735917,-0.0290901478629192,0.15157909971231673,0.07971454139589378,-0.1718486521472391,-0.05053839372261726,-0.047150263407942844,0.977987082142044,-0.059130765077121054,-0.3181827283579802,-0.20533740177675933,-0.2551082944165683,0.041102071322224334,0.025191281626633758
NIFTY HOSPITALS,0.0030609773179463683,-0.19651084819911496,0.016844283621247083,0.0069252404378337094,0.1088080560493264,-0.033339497262987045,-0.09877697781073795,0.09293678553906229,0.07775935632399782,-0.17988840274323423,0.17181173946126888,0.5066004516856502,1.0,-0.009760305660553508,0.07641343250640636,0.03902048002018311,0.02894683436912902,-0.0910639367982176,-0.0629810794456214,-0.07854005774618382,0.33783359686098946,-0.02535075544139761,-0.16232273943639453,-0.19296449800016593,-0.04149620289852023,0.07476580498069116,-0.02647923693624929
NIFTY HOUSING FINANCE,0.024470135501902805,0.16687970846669345,0.16998431129612063,0.09827035234528742,0.01757866292876927,0.16633333475783582,0.32311117772183073,-0.02175885860294175,0.06785946636245559,0.18274788823806726,-0.2655074099952552,-0.1456191270735917,-0.009760305660553508,1.0,0.055582122971787315,-0.24397478986261512,0.16980913678575088,0.07914583715629366,0.33320391234357855,-0.047410990522159406,-0.12923818666968398,0.09672482058230393,0.17305133657802307,0.27368965956215624,0.25215103165204483,0.06787532089481586,0.07562938816414469
NIFTY INSURANCE,-0.008842099497672848,0.008627302935907764,0.00629403402048541,0.032525587358021815,-0.013079478100399106,0.01006540700570788,0.013282291313236117,-0.0017931110036654321,0.026054840175167054,0.11526786232070721,0.04371657996056757,-0.0290901478629192,0.07641343250640636,0.055582122971787315,1.0,-0.11500832949474465,-0.01865890447951954,-0.07037886495991481,0.09603875300984774,-0.051528371785885874,-0.04293841886044028,-0.0735872495974874,0.0269546963484882,-0.03105994241270089,0.025641370694038813,0.0024541883574617416,0.012471830363017297
NIFTY IT,-0.08063302269176527,-0.2923514705038209,-0.2185655329006362,-0.1718430587850077,-0.07095285028718462,-0.1598584432831004,-0.3357772796949917,-0.04593712253561788,-0.00030925844714744394,-0.28561963217175096,0.1008549682261817,0.15157909971231673,0.03902048002018311,-0.24397478986261512,-0.11500832949474465,1.0,-0.07006546614994666,-0.181894122670857,-0.19708998008995868,-0.18423663136100965,0.14866734126581654,-0.2573438356378282,-0.2541655040844562,-0.29908658156539536,-0.27212524697841906,-0.024155348747530284,-0.004996883788449871
NIFTY MEDIA,0.09234281151595279,-0.12715634081371668,0.1757944008163273,0.06612005264501307,0.18367901744783063,0.21603137506270917,0.17155324839762054,0.1312330285097762,0.14886281451837763,-0.16511027510867535,0.0013863996311842186,0.07971454139589378,0.02894683436912902,0.16980913678575088,-0.01865890447951954,-0.07006546614994666,1.0,0.04634181562046336,0.11404663943133969,-0.0032541565636492755,0.06986374574831497,0.09994873316787845,-0.11333076322255696,0.05890411328620243,0.09283652225526122,0.0943021551603446,0.08840580128102472
