symbol,entry,ret,xs_nifty,xs_univ,net,exit
CARERATING,2021-06-16,0.1115549061094671,0.0122550970706383,-0.1024982911359639,0.1057049061094671,2021-09-12
TCS,2021-07-12,0.2059957563870327,0.0774881174468895,0.1329720674654893,0.20014575638703272,2021-10-08
LTTS,2021-07-16,0.3574632341897243,0.2200013008231605,0.2844395452681809,0.3516132341897243,2021-10-12
INFY,2021-07-16,0.0860683397076462,-0.0513935936589176,0.0130446507861028,0.0802183397076462,2021-10-12
WIPRO,2021-07-19,0.2370098585814242,0.0791960794282029,0.1639861696598808,0.2311598585814242,2021-10-15
HDFCBANK,2021-07-20,0.1583218059398832,-0.0188137048932772,0.0852981170183398,0.15247180593988321,2021-10-16
BAJAJ-AUTO,2021-07-23,-0.0062872573596873,-0.1437644254754176,-0.0793109462812307,-0.0121372573596873,2021-10-19
CRISIL,2021-07-23,-0.073720534287887,-0.2111977024036173,-0.1467442232094304,-0.07957053428788699,2021-10-19
PERSISTENT,2021-07-26,0.3292119005136489,0.1966680799931408,0.2561882115921055,0.3233619005136489,2021-10-22
IEX,2021-07-26,0.710142352289453,0.5775985317689449,0.6371186633679096,0.704292352289453,2021-10-22
JSWSTEEL,2021-07-27,-0.0592377650012547,-0.1907117222248282,-0.1322614539227981,-0.0650877650012547,2021-10-23
PFIZER,2021-07-29,-0.1686148741618306,-0.304640526933246,-0.241638563083374,-0.1744648741618306,2021-10-25
SANOFI,2021-07-29,-0.0134125639890249,-0.1494382167604403,-0.0864362529105683,-0.0192625639890249,2021-10-25
MGL,2021-07-30,-0.0988946507028458,-0.2320962534252786,-0.1719183396243892,-0.10474465070284579,2021-10-26
BSOFT,2021-07-30,-0.0025780562737722,-0.135779658996205,-0.0756017451953156,-0.008428056273772199,2021-10-26
TCS,2021-10-12,0.0417954271660157,0.0504087110652787,0.0276868948007556,0.035945427166015696,2022-01-08
WIPRO,2021-10-18,-0.0384561177531834,-0.0247177355775147,-0.0525646501184435,-0.044306117753183404,2022-01-14
INFY,2021-10-18,0.0885567153786959,0.1022950975543646,0.0744481830134358,0.08270671537869591,2022-01-14
HDFCBANK,2021-10-20,-0.0852228971559099,-0.0956123657353948,-0.09933142952117,-0.0910728971559099,2022-01-16
DMART,2021-10-20,-0.0973689297739611,-0.1077583983534461,-0.1114774621392212,-0.10321892977396109,2022-01-16
SONATSOFTW,2021-10-21,-0.0633191107385151,-0.0822761507026155,-0.0774276431037752,-0.06916911073851509,2022-01-17
LTTS,2021-10-21,0.1177467077666158,0.0987896678025155,0.1036381754013558,0.11189670776661581,2022-01-17
SHOPERSTOP,2021-10-22,0.0358823888442094,0.0246224292346066,0.0217738564789493,0.030032388844209397,2022-01-18
JSWSTEEL,2021-10-25,0.0069404276860927,-0.0020687575744497,-0.0071681046791673,0.0010904276860926997,2022-01-21
MPHASIS,2021-10-25,-0.0624619116808018,-0.0714710969413443,-0.0765704440460619,-0.06831191168080179,2022-01-21
IEX,2021-10-25,0.0079457831382894,-0.001063402122253,-0.0061627492269706,0.0020957831382894003,2022-01-21
RELIANCE,2021-10-26,-0.053360579311919,-0.0444216677881105,-0.0674691116771791,-0.059210579311919004,2022-01-22
TATAELXSI,2021-10-26,0.2756138815948266,0.2845527931186351,0.2615053492295665,0.26976388159482656,2022-01-22
FEDERALBNK,2021-10-27,-0.0856864261500702,-0.0660827618051025,-0.0997949585153303,-0.0915364261500702,2022-01-23
RAMCOCEM,2021-10-27,-0.0733605736017505,-0.0537569092567827,-0.0874691059670106,-0.07921057360175049,2022-01-23
DELTACORP,2022-01-13,0.0994800788396859,0.1348689364541581,0.0923902550474531,0.09363007883968591,2022-04-11
INFY,2022-01-14,-0.070908637354161,-0.033284037852559,-0.0779984611463938,-0.076758637354161,2022-04-12
HDFCBANK,2022-01-18,-0.1244618270775147,-0.0701084870231902,-0.1315516508697474,-0.1303118270775147,2022-04-16
SONATSOFTW,2022-01-19,-0.0605883058184244,-0.0203750241897283,-0.0676781296106571,-0.0664383058184244,2022-04-17
DCMSHRIRAM,2022-01-20,0.0850126996450728,0.1050080124807421,0.0779228758528401,0.0791626996450728,2022-04-18
LTTS,2022-01-20,-0.1659544110083496,-0.1459590981726803,-0.1730442348005823,-0.1718044110083496,2022-04-18
CCL,2022-01-21,-0.1277336920165057,-0.1088973988040269,-0.1348235158087384,-0.1335836920165057,2022-04-19
TATAELXSI,2022-01-21,0.1114361851675425,0.1302724783800213,0.1043463613753097,0.1055861851675425,2022-04-19
JSWENERGY,2022-01-21,0.0742305045556408,0.0930667977681196,0.0671406807634081,0.0683805045556408,2022-04-19
PERSISTENT,2022-01-24,-0.059602033390681,-0.0569477465985617,-0.0666918571829137,-0.065452033390681,2022-04-22
