,equity
2021-06-16,1.0001118570435021
2021-06-17,1.0002237265990024
2021-06-18,1.0003356086679005
2021-06-21,1.000447503251596
2021-06-22,1.0005594103514888
2021-06-23,1.000671329968979
2021-06-24,1.0007832621054666
2021-06-25,1.0008952067623522
2021-06-28,1.001007163941036
2021-06-29,1.001119133642919
2021-06-30,1.0012311158694018
2021-07-01,1.0013431106218853
2021-07-02,1.0014551179017708
2021-07-05,1.0015671377104594
2021-07-06,1.0016791700493526
2021-07-07,1.001791214919852
2021-07-08,1.0019032723233594
2021-07-09,1.0020153422612765
2021-07-12,1.002333116138686
2021-07-13,1.002650990793232
2021-07-14,1.0029689662568746
2021-07-15,1.003287042561584
2021-07-16,1.0040636864299863
2021-07-19,1.0050789819797257
2021-07-20,1.0062549356486623
2021-07-21,1.007432265196566
2021-07-22,1.0086109722332304
2021-07-23,1.0096931774339362
2021-07-26,1.0118407648170866
2021-07-27,1.013924317498615
2021-07-28,1.016012160570418
2021-07-29,1.0178960177528575
2021-07-30,1.019661465226871
2021-08-02,1.0214299747079354
2021-08-03,1.0232015515068218
2021-08-04,1.0249762009435122
2021-08-05,1.0267539283472153
2021-08-06,1.0285347390563837
2021-08-09,1.0303186384187282
2021-08-10,1.032105631791235
2021-08-11,1.0338957245401814
2021-08-12,1.0356889220411525
2021-08-13,1.0374852296790562
2021-08-16,1.0392846528481405
2021-08-17,1.0410871969520092
2021-08-18,1.0428928674036377
2021-08-19,1.0447016696253904
2021-08-20,1.0465136090490355
2021-08-23,1.0483286911157628
2021-08-24,1.0501469212761991
2021-08-25,1.0519683049904247
2021-08-26,1.05379284772799
2021-08-27,1.055620554967932
2021-08-30,1.0574514321987902
2021-08-31,1.0592854849186237
2021-09-01,1.0611227186350276
2021-09-02,1.0629631388651493
2021-09-03,1.0648067511357049
2021-09-06,1.0666535609829966
2021-09-07,1.0685035739529285
2021-09-08,1.0703567956010238
2021-09-09,1.072213231492441
2021-09-10,1.074072887201991
2021-09-13,1.075815625696485
2021-09-14,1.0775611918738082
2021-09-15,1.0793095903220211
2021-09-16,1.081060825636629
2021-09-17,1.0828149024205933
2021-09-20,1.0845718252843444
2021-09-21,1.0863315988457931
2021-09-22,1.088094227730343
2021-09-23,1.0898597165709023
2021-09-24,1.0916280700078973
2021-09-27,1.0933992926892826
2021-09-28,1.0951733892705549
2021-09-29,1.0969503644147645
2021-09-30,1.098730222792528
2021-10-01,1.1005129690820399
2021-10-04,1.1022986079690857
2021-10-05,1.1040871441470537
2021-10-06,1.105878582316947
2021-10-07,1.107672927187397
2021-10-08,1.109470183474675
2021-10-11,1.1110426064164884
2021-10-12,1.1126588588506576
2021-10-13,1.113769016732485
2021-10-14,1.1148802822768387
2021-10-15,1.1159926565888914
2021-10-18,1.1167082597030178
2021-10-19,1.1174243216802147
2021-10-20,1.118019541337425
2021-10-21,1.1186656286207217
2021-10-22,1.1193476408040959
2021-10-25,1.1188513955004071
2021-10-26,1.118830131222192
2021-10-27,1.1187407024237324
2021-10-28,1.118651280773373
2021-10-29,1.1185618662705428
2021-11-01,1.1184724589146702
2021-11-02,1.118383058705184
2021-11-03,1.1182936656415128
2021-11-04,1.1182042797230856
2021-11-05,1.1181149009493312
2021-11-08,1.1180255293196788
2021-11-09,1.117936164833557
2021-11-10,1.1178468074903951
2021-11-11,1.117757457289622
2021-11-12,1.1176681142306668
2021-11-15,1.1175787783129587
2021-11-16,1.1174894495359269
2021-11-17,1.1174001278990007
2021-11-18,1.1173108134016092
2021-11-19,1.1172215060431818
2021-11-22,1.117132205823148
2021-11-23,1.1170429127409371
2021-11-24,1.1169536267959788
2021-11-25,1.1168643479877023
2021-11-26,1.1167750763155373
2021-11-29,1.1166858117789134
2021-11-30,1.11659655437726
2021-12-01,1.1165073041100073
2021-12-02,1.1164180609765848
2021-12-03,1.1163288249764223
2021-12-06,1.1162395961089495
2021-12-07,1.1161503743735963
2021-12-08,1.1160611597697927
2021-12-09,1.1159719522969687
2021-12-10,1.1158827519545542
2021-12-13,1.1157935587419796
2021-12-14,1.1157043726586746
2021-12-15,1.1156151937040697
2021-12-16,1.1155260218775949
2021-12-17,1.1154368571786804
2021-12-20,1.1153476996067566
2021-12-21,1.1152585491612537
2021-12-22,1.1151694058416022
2021-12-23,1.1150802696472324
2021-12-24,1.114991140577575
