label,n_hi,n_lo,q5,q1,spread,p,folds,fold_pos,spread_exbest,disp,norm
ALL,1516,1518,1.0055707855532423,-1.494230226615642,2.4998010121688843,8.288878838136068e-06,21,0.7619047619047619,2.2692698417295443,15.478882660783416,0.16149751031463433
DISCOVERY,706,707,1.1073713793324336,-1.7852876378544282,2.892659017186862,0.000929868635300037,10,0.8,2.388954183589934,16.48284706421767,0.17549510748458533
HOLDOUT,810,811,0.9168408852963179,-1.2404970703322609,2.157337955628579,0.0028437285011669346,11,0.7272727272727273,1.6597017907579832,14.552118060035795,0.14824906908591093
ex-2020,1516,1518,1.0055707855532423,-1.494230226615642,2.4998010121688843,8.288878838136068e-06,21,0.7619047619047619,2.2692698417295443,15.478882660783416,0.16149751031463433
ex-layer4seen,1479,1490,0.9860590619941328,-1.5482885175124286,2.5343475795065613,7.4395298052748504e-06,21,0.8095238095238095,2.294947445524917,15.457789465580191,0.1639527815506729
ctx_inferred=False,1193,1219,1.2321657816894382,-1.246501714929285,2.4786674966187237,8.636266036881963e-05,17,0.7647058823529411,2.327505368661174,15.562534053113614,0.15927145850150373
