universe,signal,slots,holding_days,queue_policy,eligible_trades,taken_trades,cagr_pct,bench_cagr_pct,excess_cagr_pct,sharpe,max_dd_pct,win_rate_pct,profit_factor
All_Sectors,Q4_Q5,30,90,FIFO,1292,163,19.43,16.17,3.26,1.35,-14.66,63.2,3.28
All_Sectors,Q4_Q5,30,90,SUE_RANK,1292,163,19.43,16.17,3.26,1.35,-14.66,63.2,3.28
Non_Financials,Q5_only,10,20,FIFO,569,144,12.15,14.69,-2.54,0.958,-23.72,59.0,1.79
Non_Financials,Q5_only,10,20,SUE_RANK,569,144,12.15,14.69,-2.54,0.958,-23.72,59.0,1.79
Non_Financials,Q5_only,10,40,FIFO,569,100,18.53,14.88,3.65,1.171,-20.26,63.0,2.34
Non_Financials,Q5_only,10,40,SUE_RANK,569,100,18.53,14.88,3.65,1.171,-20.26,63.0,2.34
Non_Financials,Q5_only,10,60,FIFO,569,99,29.74,15.29,14.45,1.442,-17.49,60.6,3.27
Non_Financials,Q5_only,10,60,SUE_RANK,569,99,29.74,15.29,14.45,1.442,-17.49,60.6,3.27
Non_Financials,Q5_only,10,90,FIFO,569,56,13.52,16.17,-2.65,0.897,-21.88,66.1,2.43
Non_Financials,Q5_only,10,90,SUE_RANK,569,56,13.52,16.17,-2.65,0.897,-21.88,66.1,2.43
Non_Financials,Q5_only,20,20,FIFO,569,253,10.21,14.69,-4.49,0.878,-21.88,55.3,1.69
Non_Financials,Q5_only,20,20,SUE_RANK,569,253,10.21,14.69,-4.49,0.878,-21.88,55.3,1.69
Non_Financials,Q5_only,20,40,FIFO,569,199,19.86,15.18,4.68,1.306,-17.34,59.8,2.28
Non_Financials,Q5_only,20,40,SUE_RANK,569,199,19.86,15.18,4.68,1.306,-17.34,59.8,2.28
Non_Financials,Q5_only,20,60,FIFO,569,189,26.7,15.47,11.23,1.515,-18.57,60.3,2.9
Non_Financials,Q5_only,20,60,SUE_RANK,569,189,26.7,15.47,11.23,1.515,-18.57,60.3,2.9
Non_Financials,Q5_only,20,90,FIFO,569,106,15.72,16.17,-0.45,1.095,-16.95,65.1,2.71
Non_Financials,Q5_only,20,90,SUE_RANK,569,106,15.72,16.17,-0.45,1.095,-16.95,65.1,2.71
Non_Financials,Q5_only,30,20,FIFO,569,343,9.6,14.69,-5.09,0.907,-18.16,56.3,1.71
Non_Financials,Q5_only,30,20,SUE_RANK,569,343,9.6,14.69,-5.09,0.907,-18.16,56.3,1.71
Non_Financials,Q5_only,30,40,FIFO,569,289,17.48,15.08,2.4,1.214,-14.95,58.1,2.18
