universe,signal,slots,holding_days,queue_policy,eligible_trades,taken_trades,capacity_pct,years,cagr_pct,ann_vol_pct,sharpe,max_dd_pct,bench_cagr_pct,bench_max_dd_pct,excess_cagr_pct,win_rate_pct,avg_net_trade_pct,profit_factor
Non_Financials,Q5_only,10,90,SUE_RANK,1174,110,9.4,5.04,8.35,15.93,0.587,-26.45,11.13,-18.84,-2.78,57.3,3.99,1.7
Non_Financials,Q5_only,20,20,FIFO,1280,561,43.8,5.1,7.73,11.93,0.689,-21.88,9.93,-18.84,-2.2,53.7,1.4,1.47
Non_Financials,Q5_only,20,20,SUE_RANK,1280,561,43.8,5.1,7.73,11.93,0.689,-21.88,9.93,-18.84,-2.2,53.7,1.4,1.47
Non_Financials,Q5_only,20,40,FIFO,1223,419,34.3,5.1,7.22,14.2,0.566,-22.17,10.26,-18.84,-3.03,51.3,1.96,1.44
Non_Financials,Q5_only,20,40,SUE_RANK,1223,419,34.3,5.1,7.22,14.2,0.566,-22.17,10.26,-18.84,-3.03,51.3,1.96,1.44
Non_Financials,Q5_only,20,60,FIFO,1198,389,32.5,4.96,14.36,17.47,0.863,-29.15,10.88,-18.84,3.48,56.0,3.6,1.8
Non_Financials,Q5_only,20,60,SUE_RANK,1198,389,32.5,4.96,14.36,17.47,0.863,-29.15,10.88,-18.84,3.48,56.0,3.6,1.8
Non_Financials,Q5_only,20,90,FIFO,1174,210,17.9,5.04,12.11,14.67,0.858,-22.06,11.13,-18.84,0.98,57.6,5.8,2.14
Non_Financials,Q5_only,20,90,SUE_RANK,1174,210,17.9,5.04,12.11,14.67,0.858,-22.06,11.13,-18.84,0.98,57.6,5.8,2.14
Non_Financials,Q5_only,30,20,FIFO,1280,765,59.8,5.1,8.63,10.8,0.827,-18.16,9.93,-18.84,-1.29,55.0,1.73,1.59
Non_Financials,Q5_only,30,20,SUE_RANK,1280,765,59.8,5.1,8.63,10.8,0.827,-18.16,9.93,-18.84,-1.29,55.0,1.73,1.59
Non_Financials,Q5_only,30,40,FIFO,1223,614,50.2,5.1,9.16,13.6,0.717,-16.45,10.26,-18.84,-1.1,52.8,2.39,1.58
Non_Financials,Q5_only,30,40,SUE_RANK,1223,614,50.2,5.1,9.16,13.6,0.717,-16.45,10.26,-18.84,-1.1,52.8,2.39,1.58
Non_Financials,Q5_only,30,60,FIFO,1198,579,48.3,4.97,16.83,16.82,1.017,-25.12,11.05,-18.84,5.78,57.9,4.21,1.96
Non_Financials,Q5_only,30,60,SUE_RANK,1198,579,48.3,4.97,16.83,16.82,1.017,-25.12,11.05,-18.84,5.78,57.9,4.21,1.96
Non_Financials,Q5_only,30,90,FIFO,1174,310,26.4,5.06,10.54,13.44,0.819,-19.75,10.83,-18.84,-0.29,56.1,5.22,1.95
Non_Financials,Q5_only,30,90,SUE_RANK,1174,310,26.4,5.06,10.54,13.44,0.819,-19.75,10.83,-18.84,-0.29,56.1,5.22,1.95
Non_Financials,Q4_Q5,10,20,FIFO,2561,349,13.6,5.1,9.08,14.04,0.695,-23.97,9.93,-18.84,-0.85,56.2,1.38,1.46
Non_Financials,Q4_Q5,10,20,SUE_RANK,2561,349,13.6,5.1,9.08,14.04,0.695,-23.97,9.93,-18.84,-0.85,56.2,1.38,1.46
Non_Financials,Q4_Q5,10,40,FIFO,2449,210,8.6,5.1,4.85,14.82,0.396,-23.92,9.98,-18.84,-5.13,50.5,1.34,1.31
Non_Financials,Q4_Q5,10,40,SUE_RANK,2449,210,8.6,5.1,4.85,14.82,0.396,-23.92,9.98,-18.84,-5.13,50.5,1.34,1.31
Non_Financials,Q4_Q5,10,60,FIFO,2412,200,8.3,4.94,15.06,18.44,0.86,-27.9,11.1,-18.84,3.96,55.5,3.88,1.81
Non_Financials,Q4_Q5,10,60,SUE_RANK,2412,200,8.3,4.94,15.06,18.44,0.86,-27.9,11.1,-18.84,3.96,55.5,3.88,1.81
Non_Financials,Q4_Q5,10,90,FIFO,2361,116,4.9,5.04,11.63,15.99,0.773,-23.63,11.13,-18.84,0.5,56.9,5.23,1.92
Non_Financials,Q4_Q5,10,90,SUE_RANK,2361,116,4.9,5.04,11.63,15.99,0.773,-23.63,11.13,-18.84,0.5,56.9,5.23,1.92
Non_Financials,Q4_Q5,20,20,FIFO,2561,616,24.1,5.1,7.56,12.04,0.67,-22.82,9.93,-18.84,-2.37,55.0,1.26,1.43
Non_Financials,Q4_Q5,20,20,SUE_RANK,2561,616,24.1,5.1,7.56,12.04,0.67,-22.82,9.93,-18.84,-2.37,55.0,1.26,1.43
Non_Financials,Q4_Q5,20,40,FIFO,2449,420,17.1,5.1,5.64,13.68,0.472,-23.79,10.26,-18.84,-4.62,51.2,1.42,1.34
Non_Financials,Q4_Q5,20,40,SUE_RANK,2449,420,17.1,5.1,5.64,13.68,0.472,-23.79,10.26,-18.84,-4.62,51.2,1.42,1.34
Non_Financials,Q4_Q5,20,60,FIFO,2412,400,16.6,4.95,14.35,17.58,0.857,-26.6,10.74,-18.84,3.61,53.2,3.58,1.77
Non_Financials,Q4_Q5,20,60,SUE_RANK,2412,400,16.6,4.95,14.35,17.58,0.857,-26.6,10.74,-18.84,3.61,53.2,3.58,1.77
Non_Financials,Q4_Q5,20,90,FIFO,2361,220,9.3,5.05,11.48,14.69,0.818,-21.32,11.03,-18.84,0.45,55.5,5.83,2.07
Non_Financials,Q4_Q5,20,90,SUE_RANK,2361,220,9.3,5.05,11.48,14.69,0.818,-21.32,11.03,-18.84,0.45,55.5,5.83,2.07
Non_Financials,Q4_Q5,30,20,FIFO,2561,868,33.9,5.1,7.46,11.55,0.686,-24.05,9.93,-18.84,-2.47,54.3,1.3,1.44
Non_Financials,Q4_Q5,30,20,SUE_RANK,2561,868,33.9,5.1,7.46,11.55,0.686,-24.05,9.93,-18.84,-2.47,54.3,1.3,1.44
Non_Financials,Q4_Q5,30,40,FIFO,2449,630,25.7,5.1,8.09,13.54,0.647,-17.57,10.26,-18.84,-2.17,52.4,1.98,1.48
Non_Financials,Q4_Q5,30,40,SUE_RANK,2449,630,25.7,5.1,8.09,13.54,0.647,-17.57,10.26,-18.84,-2.17,52.4,1.98,1.48
Non_Financials,Q4_Q5,30,60,FIFO,2412,597,24.8,4.96,14.94,16.95,0.914,-25.88,10.88,-18.84,4.07,53.3,3.66,1.82
Non_Financials,Q4_Q5,30,60,SUE_RANK,2412,597,24.8,4.96,14.94,16.95,0.914,-25.88,10.88,-18.84,4.07,53.3,3.66,1.82
Non_Financials,Q4_Q5,30,90,FIFO,2361,320,13.6,5.05,11.8,14.37,0.853,-19.99,11.03,-18.84,0.77,56.6,5.93,2.12
Non_Financials,Q4_Q5,30,90,SUE_RANK,2361,320,13.6,5.05,11.8,14.37,0.853,-19.99,11.03,-18.84,0.77,56.6,5.93,2.12
