aum_cr,pct_trades_within_1pct_adv,pct_trades_within_5pct_adv
0.5,0.9841269841269841,1.0
1.0,0.9523809523809523,1.0
2.0,0.8747795414462081,0.9894179894179894
3.0,0.8059964726631393,0.9770723104056437
5.0,0.7178130511463845,0.9523809523809523
7.5,0.6243386243386243,0.9206349206349206
10.0,0.5802469135802469,0.8747795414462081
15.0,0.4973544973544973,0.8059964726631393
20.0,0.43738977072310403,0.7583774250440917
30.0,0.36507936507936506,0.6772486772486772
50.0,0.2345679012345679,0.5802469135802469
75.0,0.14991181657848324,0.4973544973544973
100.0,0.09523809523809523,0.43738977072310403
150.0,0.05114638447971781,0.36507936507936506
