qtr,n_hi,n_lo,q5_mean,q1_mean,spread,period
2021Q3,19,14,-0.004427740075844911,-0.11339422915179667,0.10896648907595176,Discovery
2021Q4,35,90,0.058047629372629715,-0.008320540666924578,0.0663681700395543,Discovery
2022Q1,49,105,0.0397612910665576,-0.045439295337400334,0.08520058640395793,Discovery
2022Q2,64,90,-0.015660307470244876,0.003161399551826246,-0.018821707022071123,Discovery
2022Q3,83,53,0.033378265145759846,-0.01891665800726967,0.05229492315302951,Discovery
2022Q4,63,91,-0.009521982172040172,0.018145846440395658,-0.02766782861243583,Discovery
2023Q1,74,65,0.01255070053344955,-0.032872120582735614,0.04542282111618516,Discovery
2023Q2,82,93,0.013325152380633839,-0.022321740533994865,0.035646892914628706,Discovery
2023Q3,73,55,0.006333439099332067,-0.0072599672558620746,0.01359340635519414,Discovery
2023Q4,93,53,0.03495289731040461,-0.027713119771693735,0.06266601708209835,Discovery
2024Q1,67,79,0.017588574047145596,-0.05092568125861187,0.06851425530575747,Holdout
2024Q2,79,72,-0.0002227199589552112,-0.0391984866646197,0.03897576670566449,Holdout
2024Q3,71,71,-0.009600834900439935,-0.00813800959978972,-0.0014628253006502157,Holdout
2024Q4,68,94,0.014190751218800202,0.004977805042900789,0.009212946175899413,Holdout
2025Q1,70,85,0.008433446618905382,-0.0015944225204473639,0.010027869139352746,Holdout
2025Q2,100,76,0.012365587909905081,-0.002600396039682263,0.014965983949587345,Holdout
2025Q3,68,79,0.010909398685562408,-0.010169293039681108,0.021078691725243515,Holdout
2025Q4,80,69,0.020137567301221838,-0.01587529703668398,0.03601286433790582,Holdout
2026Q1,75,78,0.019446879044361702,-0.008735087077603343,0.028181966121965045,Holdout
2026Q2,114,91,0.02025412213065595,-0.02037756391765434,0.040631686048310287,Holdout
